Ticker,Comment_Count
PD,4
DXC,3
ROG,3
BRZE,32
HEAR,3
AAPL,38755
PANW,372
ARRY,781
TEL,10
GRMN,14
ARQQ,174
TENB,4
ANET,77
BKTI,12
UI,3
ZM,262
MPTI,3
MKSI,2
AGYS,3
FSLR,436
ZETA,92
CDW,2
AOSL,15
INOD,263
ADEA,9
VRSN,1
QTWO,1
UBER,619
MPWR,30
ALIT,9
SNPS,47
NATL,2
NXPI,9
ADI,10
GWRE,8
KVHI,7
MDB,89
FORM,5
FTV,1
TSSI,61
EXTR,49
PLTR,19233
SQ,464
CRDO,9
RELL,5
AMKR,24
BOX,7
CSIQ,331
KD,89
NET,74
KVYO,8
AMBA,32
BL,1
KARO,11
TXN,161
KLAC,131
INTC,19935
DFIN,1
APP,189
BILL,53
SPSC,1
RELY,12
NN,14
CDNS,38
AVT,1
VECO,32
CLMB,1
CTSH,3
ELTK,3
MCHP,33
XRX,45
NTGR,6
DLO,51
MU,6792
APLD,1658
FIS,5
TOST,142
DDOG,45
LASR,2
AMAT,548
JNPR,6
FEIM,7
PAYO,104
NTAP,53
FICO,20
CLBT,14
TTD,184
MSI,19
CRUS,21
AKAM,21
OSIS,1
DT,8
ATOM,70
DMRC,338
CFLT,19
ENPH,1112
LSCC,10
TWLO,120
AVDX,5
BMI,4
VZIO,5
UEIC,3
BKKT,39
ACIW,1
TYL,1
IPGP,6
ASTC,8
LITE,24
BMBL,122
ANSS,2
EPAM,4
ACLS,76
MSTR,7358
CCUR,1
OLED,87
CRWD,1519
SOUN,10228
VSH,6
POWI,1
SYNA,13
ZUO,12
LYFT,542
QLYS,12
RMBS,58
PATH,633
MRAM,7
CXM,30
QCOM,1116
CWAN,1
IT,1
BAND,13
CYBR,6
WEX,6
NTCT,1
VTEX,4
RUM,1058
PCTY,2
ESTC,67
ACFN,3
AIOT,1
BHE,2
MXL,9
AVNW,22
DOCU,50
AATC,1
STX,26
PAY,4
CSPI,73
U,591
CGNT,2
SEDG,1544
SMAR,21
MSFT,3500
DOCN,46
LYTS,3
COHU,6
HPE,205
G,3
QRVO,36
COHR,103
MEI,10
BSY,1
ONTO,8
ACN,38
CRCT,1
MTSI,1
SEMR,1
AVPT,94
WK,1
FIVN,33
HPQ,24
S,305
ALNT,18
GEN,3
ORCL,562
OUST,1287
GFS,39
FFIV,4
DELL,1030
ALAB,305
YEXT,6
PRGS,18
IOT,89
ODD,16
CACI,8
VOXX,68
IBM,870
ZI,54
ADP,12
PEGA,4
DAKT,8
FRSH,11
AMD,11761
WOLF,2196
TCX,1
PENG,11
LRCX,578
CALX,7
SPT,7
PI,37
GILT,20
INFA,6
SMCI,14930
ITRI,3
PLXS,1
PAGS,99
ITRN,3
TER,18
AMPL,1
EBON,5
IDCC,22
STNE,140
BELFB,3
NXT,215
SILC,7
BLKB,1
ASAN,27
GRND,6
SRAD,5
TEAM,25
GDYN,6
CIEN,2
ZS,375
INFN,91
WDAY,76
HUBS,28
ALRM,3
BTDR,55
NOW,147
VRNS,1
DV,2
PAYC,23
VRNT,3
AI,1610
AFRM,1425
NTNX,220
FTNT,46
CORZ,896
KN,1
GB,1
HCP,1
MANH,2
PAYX,14
INTU,54
WDC,133
TASK,1
ACMR,676
APH,10
OKTA,200
LSAK,3
ASYS,4
NEON,81
CHKP,4
ALTR,4
SNX,1
INTA,2
HLIT,33
DOX,1
LDOS,8
VICR,11
INTT,2
AEHR,436
PRTH,1
BLZE,24
CSCO,355
EXOD,3
SCWX,16
NVMI,5
ICHR,6
CRSR,2530
SMTC,27
GDDY,13
KEYS,16
AVGO,2582
CSGS,1
OS,8
FN,24
GLOB,3
UPBD,1
ATGL,4
RAMP,8
NCNO,8
INSG,370
KLIC,17
PSN,13
KOSS,130
AAOI,799
SNOW,1809
DUOL,81
WIX,2
ZBRA,3
YOU,11
ADSK,18
PSFE,334
SNCR,23
PLAB,10
RUN,551
VIAV,3
FROG,36
VYX,3
RBRK,44
SKYT,21
SSNC,4
DBD,13
CCSI,1
CLFD,34
RPD,10
UIS,17
ASTS,9765
DBX,33
NVEC,5
PYCR,1
INST,2
SWKS,17
JBL,11
ON,300
KPLT,416
QUIK,20
CTLP,9
ADBE,571
FLEX,11
INGM,6
PCOR,1
KTCC,4
CAMT,61
TRMB,3
OSPN,16
QXO,153
CVLT,4
TDC,4
AIP,1
APPF,3
VSAT,125
DIOD,3
DGII,2
TTMI,2
BASE,2
ALKT,1
MAXN,1378
RNG,6
VHC,17
SWI,2
NVDA ,106959
UCTT,61
CNXC,78
PGY,280
AIRG,15
SSYS,45
TDY,1
APPN,5
PAR,5
MRVL,383
PLUS,1
WBTN,35
CGNX,7
GTLB,47
GCT,513
AZPN,2
BKSY,239
ALGM,20
GLW,79
MNDY,1
FOUR,33
