Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,"NAZ flat, COHR down $2, AAOI up.  Earnings one week away.",Neutral,0,0.8774798512458801,Main
Yahoo,2024-10-30,"Hey jazzy, I see another one of the stocks you pumped filed bankruptcy. You&#39;re the bankruptcy king, it appears. First it was RAD (Rite Aid), then TUP (Tupperware). You sure know how to pick them. And how about that BDRL that&#39;s down 1/3 since you were pumping it in April? 🤡🤡",Neutral,0,0.6760651469230652,Main
Yahoo,2024-10-30,"I like COHR but the market&#39;s priced in a lot of their expected growth already.Revenue estimates are for about 15% growth in 2025.Compare that to AAOI which is close to 80%.The difference IMO is the market expects COHR to hit those numbers while they are very skeptical that AAOI will.So, the bet is simple.  Markets give you nothing but the way to make large sums of money is to bet against the market.That is also the easy part.  The hard part is being right.",Neutral,0,0.948550283908844,Main
Yahoo,2024-10-29,Sell the January 17.5 calls to buy 15 puts for November. Not too late.,Neutral,0,0.988742470741272,Main
Yahoo,2024-10-29,"Bubba and Lazerator, will AAOI have good earnings and better 4th quarter guidance. I banking and both of you to speak truth. Jim",Positive,1,1.0,Main
Yahoo,2024-10-29,I give winning plays and the reasons.  Lazz only gives losers because he is one.  You can&#39;t make this up.  He told someone NVDA losing share.  Look at AMDs guidance.  Horrendous.  What a clown,Neutral,0,0.7696129083633423,Main
Yahoo,2024-10-29,AMD not gaining on NVDA.  Lazz wrong yet again.  Buy all the COHR you can.  AAOI is dog sit.,Neutral,0,0.9509727954864502,Main
Yahoo,2024-10-29,AMD getting taken to the shed.  Lazz is not good at this game of making money daily.  What a LOSER,Negative,-1,0.9812813401222229,Main
Yahoo,2024-10-29,"What a huge two days for me and my associates.  I want to thank Allah because without him, none of this would be possible",Neutral,0,0.9952099919319153,Main
Yahoo,2024-10-29,Lazerstor and bubba read this article and see if you can find NVDA mentioned. Positive or negative as Lazerator states?,Neutral,0,0.8010750412940979,Main
Yahoo,2024-10-29,"this might be helping shorts today, OpenAI msft is designing its own chips with the help of Broadcom and Taiwan Semiconductormisconceptions",Neutral,0,0.999777615070343,Main
Yahoo,2024-10-29,Laxerator is NVDA a buy?,Positive,1,0.9999879598617554,Main
Yahoo,2024-10-29,"Hopefully the opposite happens this earnings. Last earnings ripped up ahead of earnings and crashed after disappointing forecast. This earnings people do not want to get burned again, more cautious . Let&#39;s hope for a good forecast next Thursday.",Negative,-1,0.9996979236602783,Main
Yahoo,2024-10-29,COHR is ripping again,Neutral,0,0.997275173664093,Main
Yahoo,2024-10-29,Lazz.  Passive investor loser.  Lazz.  Shows his ignorance daily.  Posts never made anyone any money.Lazz.  Is so jealous of me.  He knows I have made so much and this is checkmate. Lazz.  Was told what to do ahead of time and still sat there on his hands losing all gains.Lazz.  Lives in the past.  Ten years ago might have gotten lucky buying 100 shares of AMDRich people do not get jealous of others.  Only poor people do.  I told all what to do days before.  I have been right for weeks on my calls.Go long into close.  Pop occurs and I say sell and short.  It has worked for weeks until yesterday morning.I said to sell that pop and short and to add to that short and do not cover at end of day because pop was gone and that this morning would be epic for shorts.  I said this before anything happened.  Listen to me and make a lot.  All I ask is to donate to a worthy charity.,Neutral,0,0.9939731955528259,Main
Yahoo,2024-10-29,Based on past performance I would expect AAOI guidance to report an increase in 400g as the big boys try to grab all the 800g &amp; beyond they can. I don&#39;t see much 800g in this future. The increase in 400g will be key &amp; could take AAOI higher.Another future includes at least the mention of actual 800g sales &amp; not the paltry ramp we&#39;ve seen in 400g.  This would take AAOI significantly higher.Then there is the future where guidance is underwhelming.,Positive,1,0.9949212670326233,Main
Yahoo,2024-10-29,Corning GLW had great earnings.,Positive,1,1.0,Main
Yahoo,2024-10-29,To hold this into earnins with an unreliable CEO.  HLIT is down so much on light guidance.  If cable is soft as usual.  AAOI gets killed.,Negative,-1,0.9999949932098389,Main
Yahoo,2024-10-29,I own all of you.I decide what this stock does if you haven’t figured it out yet.,Neutral,0,0.9999828338623047,Main
Yahoo,2024-10-29,Stephen.  How are your so called investment buddies doing? Allan.  How much are you down?,Neutral,0,0.9887828230857849,Main
Yahoo,2024-10-29,"I made an absolute fortune last two days.I told all what was happening.  I told all what to do.   I cant make you hit the buttons.Lazz living in the past.  I live for the now.The goal is to make money every day.This is so much fun,  remember you have to be smart to play both sides of a stock.  I told all that the morning it would drop a lot.  Last two days have been so nice.Lazz if you need money to pay rent reach out.  I generally do not help bums because it goes to alcohol and drugs but you are so funny.",Neutral,0,0.7477604746818542,Main
Yahoo,2024-10-29,What a comeback!,Neutral,0,0.9538629055023193,Main
Yahoo,2024-10-29,you can&#39;t go wrong by always selling calls..,Neutral,0,0.9700614213943481,Main
Yahoo,2024-10-29,Lazz is losing it all.  Stephen is a clown. Michael is a foolBubba is a genius,Neutral,0,0.9998773336410522,Main
Yahoo,2024-10-29,You all should thank me.  I said yesterday morning that next two days would be brutal and morning pops would be gone.  Hail Bubba for looking out for retail,Neutral,0,0.9999855756759644,Main
Yahoo,2024-10-29,Covered and went long.  I tried to warn all this morning would be brutal,Neutral,0,0.6296675801277161,Main
Yahoo,2024-10-29,I think it is down because of HLIT Harmonic issued cautious guidance.,Negative,-1,0.9999887943267822,Main
Yahoo,2024-10-28,Curious if you are listening to my posts and making money.  Do a thumbs up.  If you are not listening and losing money and are jealous.  thumbs down.I have so many muted here so you all can vote.Remember I said this morning before open that today and tomorrow would be brutal.  I don&#39;t lie.  I try to help so many make money.  I am like Santa Claus and you all are my animals.  So ignorant and dirty but I still love you all,Neutral,0,0.9283665418624878,Main
Yahoo,2024-10-28,lazz is begging for markets to close.  Get ready after close for an AMD post about him buying ten years ago.  What a fool.  Losing all of this gains yet again,Neutral,0,0.939024031162262,Main
Yahoo,2024-10-28,This and oil only stocks red.  Oil is understandable.  This is red because shorts attacked,Neutral,0,0.9600581526756287,Main
Yahoo,2024-10-28,"Stephen you deserve this for your lies.  Never lie.  Karma gets all.lazz gets this for lying, living in the past, being so jealous and obsessing about me.I have pressed my short into the close.  Tomorrow will be far worse",Negative,-1,0.9986503720283508,Main
Yahoo,2024-10-28,Looks like a close at the low of the day.  Remember I was the only one that gave the correct playbook.  I have killed this and gave you all for free the moves to makeI love this stock,Neutral,0,0.9988706707954407,Main
Yahoo,2024-10-28,"if earnings disappoints, I will not even tell you where the stock is headed.  This ran on nothing but fluff.  If they do not deliver this QTR and on guidance.  You will see what an elevator going straight down looks like.  Blackrock will dump all of this garbage.  Many other smart funds would do so as well.  You can tell much from people about their posts.  You can tell who is experienced and whom is a loser.  I always ask why someone says what to do or a price if they give zero analysis or reasons.  Pumpers are a dime a dozen and easy to spot.  Losers live in the past.Winners live in the now and they give reasons.  Reasons and educated reasoning is so much better.  Lazz&#39;s life is horrible.  Anyone that lives in the past and is always so angry needs to dump the boyfriend and go straight.  I bet he gets beat up by his BF and that is why he is always so angry.  Remember to vote if American and vote for Trump. He is so much better for stocks and normal life again.",Neutral,0,0.9064640998840332,Main
Yahoo,2024-10-28,"A close at the low of the day would be so great if short.  If long, that would be so bad.  It has been closing closer to the low of the high but hasn&#39;t actually closed on the low.  Accumulation is over now and this sells off into earnings as the demand is gone.I told all about this.  I have made more on this in a few weeks than lazz has his whole life in all stocks.  A punk trying to act important and yet he is not experienced enough to know when to sell and lock in gains.  I could write a book about trading and what to look for.  The charts tells all much.  I have said it before.. Charts, volume and price.  Follow those three to see direction of a stock.  I believe in karma which is why I try for free to help you animals out.  Stephen lying about his buds saying low volume after a huge run is bullish.  Where do you people come from?  Stock has been on a downward angle for weeks.  I pointed this out and every other technical analaysis to say to sell and go short.Lazz please be so angry.  Please be so jealous.  Please beg me to unmute you.  I bet you can&#39;t wait to read my posts now and I bet you start to trade off of them.  You so wan to be me.  The stock is going to 15 just like I said weeks ago.",Neutral,0,0.9816169738769531,Main
Yahoo,2024-10-28,"The 6-month chart is showing higher highs and higher lows.  We only have about a week until earnings, which will tell the tale.  I don&#39;t trade stocks for lunch money like the day traders do, I hold for the big gains.  The most important thing we&#39;re looking for is strong Q4 guidance.  AMD reports tomorrow and their guidance will be critical as well.",Positive,1,1.0,Main
Yahoo,2024-10-28,"Finally had it with that clown bubbles and his frantic posts and lies about trades. Don&#39;t need to listen to that garbage.  If AAOI does what analysts think they&#39;re going to do, I&#39;ll make a ton of money while he flips for lunch money.  Muted.",Neutral,0,0.9995741248130798,Main
Yahoo,2024-10-28,Today is only day I wish I didn&#39;t mute lazz.   I bet he is hiding or he is saying AMD ten years ago.  He has no idea about stocks and trading.  he is losing a lot of gains.  I love it.  I want him to be so angry in his posts.pay me respect as the only one here that posts moves to make money,Negative,-1,0.7674508690834045,Main
Yahoo,2024-10-28,With no news….Big players seem manipulating price !!!,Neutral,0,0.9030696749687195,Main
Yahoo,2024-10-28,Its over here.  Only fools are holding.  All gains are vanishing.  I said to short this and to hold into tomorrow.  I knew a fund was dumping their shares.  I try to help out my animals,Neutral,0,0.9054150581359863,Main
Yahoo,2024-10-28,At 2030  I said it was going to 15,Neutral,0,0.9999886751174927,Main
Yahoo,2024-10-28,"If you didn&#39;t listen to me these last two weeks.  Please tell me how much you are down?  Also please tell me what lies Lazz is spilling.  Do you all get that what I say, happens?  I do not need to lie about fake buds or fake buys.  When I speak, you should listen.",Neutral,0,0.9997560381889343,Main
Yahoo,2024-10-28,"If you listened to me, this is no shock and something you embrace because you shorted it this morning.",Neutral,0,0.9907926917076111,Main
