Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
2024-08-01,ADI,Technology,Semiconductors,102.451B,228.0800018310547,231.1999969482422,216.77000427246097,218.06236267089844,218.06236267089844,5404600,5.0,0.9605394634040626,37.0,0.1351351351351351,27023000.0,1.0,0.0,218.06236267089844,218.06236267089844,218.06236267089844,0.0371294677631703,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59
2024-08-02,ADI,Technology,Semiconductors,102.451B,212.47999572753903,213.07000732421875,206.7100067138672,207.1453094482422,207.1453094482422,6796700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0500639041462297,212.6038360595703,7.719522364314686,207.1453094482422,0.0354005261144723,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39
2024-08-05,ADI,Technology,Semiconductors,102.451B,206.02999877929688,209.08999633789065,198.72999572753903,199.7742919921875,199.7742919921875,4879700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0355838009351422,208.32732137044272,9.201154624586518,199.7742919921875,0.0277815502480271,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57
2024-08-06,ADI,Technology,Semiconductors,102.451B,201.36000061035156,208.6999969482422,201.17999267578125,204.0773773193359,204.0773773193359,4671100,1.0,0.9986436321185186,13.0,0.0769230769230769,4671100.0,0.1728564556118861,0.021539735089221,207.264835357666,7.807453942211323,204.0773773193359,0.030056512922658,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71
2024-08-07,ADI,Technology,Semiconductors,102.451B,210.47000122070312,211.4199981689453,200.86000061035156,200.52134704589844,200.52134704589844,4178200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0174249116690335,205.9161376953125,7.403524817072104,200.52134704589844,0.0252792056271721,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85
2024-08-08,ADI,Technology,Semiconductors,102.451B,206.19000244140625,214.13999938964844,204.27000427246097,212.8030548095703,212.8030548095703,4510100,0.0,0.0,0.0,0.0,0.0,0.0,0.061248879207163,207.06395721435547,7.194072675708678,212.8030548095703,0.0406659677869771,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79
2024-08-09,ADI,Technology,Semiconductors,102.451B,209.9499969482422,213.72999572753903,209.16000366210935,210.482177734375,210.482177734375,2482100,-31.0,0.955996900623621,860.0,-0.0360465116279069,-76945100.0,-2.847392961551271,-0.0109062206709024,207.5522744315011,6.69313658295381,210.482177734375,0.0358345695599768,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37
2024-08-12,ADI,Technology,Semiconductors,102.451B,212.1499938964844,213.3999938964844,210.0,211.24916076660156,211.24916076660156,1712100,0.0,0.0,0.0,0.0,0.0,0.0,0.0036439333747035,206.5789598737444,5.249795060837997,-6.813201904296875,0.0308165398299859,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71
2024-08-13,ADI,Technology,Semiconductors,102.451B,213.25,218.6000061035156,213.1999969482422,217.1559295654297,217.1559295654297,4011000,0.0,0.0,0.0,0.0,0.0,0.0,0.0279611468154148,208.0090484619141,6.615607197037892,10.0106201171875,0.0290557572271786,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12
2024-08-14,ADI,Technology,Semiconductors,102.451B,216.9199981689453,218.11000061035156,212.8000030517578,214.4764709472656,214.4764709472656,2409500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0123388692333946,210.10935974121097,5.855691514981131,14.702178955078097,0.0270716332624669,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19
