Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-29,catch up with $RDDT.,Neutral,0,0.9814303517341614,Main
Yahoo,2024-10-29,Nice,Positive,1,0.9999949932098389,Main
Yahoo,2024-10-29,Hi Guys! someone explain me that why should me buy this stock? What is the Astera Labs&#39; future?,Neutral,0,0.9994590878486633,Main
Yahoo,2024-10-26,loadedup low 50&#39;s,Neutral,0,0.9999866485595703,Main
Yahoo,2024-10-25,"in the 40s noone wanted it, in 70s they cant get enough hehehe",Neutral,0,0.9996898174285889,Main
Yahoo,2024-10-25,Might have to consolidate some gains soon,Negative,-1,0.6340892910957336,Main
Yahoo,2024-10-25,Stoked ☺️,Neutral,0,0.9983173608779907,Main
Yahoo,2024-10-25,Nobody here?,Neutral,0,0.9967767596244812,Main
Yahoo,2024-10-25,Did y’all see that Nvda is also going to India? That’s another plus for Alab.,Positive,1,0.5778793096542358,Main
Yahoo,2024-10-24,"I haven’t read a negative review or report in the last 12 months!! 

On Wednesday, the stock Relative Strength 

(RS) Rating for Astera rose to 73, up from 69 

the day before. History shows that the best 

stocks often have an 80 or higher RS Rating 

as they begin their biggest price moves. See 

if Astera Labs can continue to show renewed 

price strength and clear that threshold.",Positive,1,0.9664236903190613,Main
Yahoo,2024-10-22,Nice ascending triangle almost at the apex here.  Looks like it could be ready for a leg higher.,Positive,1,0.6667612195014954,Main
Yahoo,2024-10-17,"Final Words
We were told that the Astera Labs Scorpio PCIe switches are sampling, and we were able to get actual photos of the devices. Our best sense is that they will hit the market in 2025, but these are certainly a step beyond just an idea. For Broadcom, this is another multi-billion dollar market that Astera Labs is pushing into.",Positive,1,0.701572835445404,Main
Yahoo,2024-10-17,Breaking 70 today?,Neutral,0,0.9999226331710815,Main
Yahoo,2024-10-15,"TPST just did a poison pill that will bring the stock over 15.00, Black Rock and Wells Fargo just increased positions Time to make some money The Container store did poison pill last week and went from 7.00 to 17.00 in 2 days Tempest Therapeutics just did a poison pill and is expected to be over 15.00 - 25.00 Roche Partner Benzings 2 min ago",Neutral,0,0.9949854612350464,Main
Yahoo,2024-10-14,I guess 70 is the # to sell,Neutral,0,0.9996057152748108,Main
Yahoo,2024-10-14,Such a good start today - even after insiders sales,Positive,1,0.9997431635856628,Main
Yahoo,2024-10-13,Just ran across this company.  will join the long team. Looks promising,Positive,1,0.9999998807907104,Main
Yahoo,2024-10-12,Will hit 80 or 100 !! Big resistance at,Neutral,0,0.9016250967979431,Main
Yahoo,2024-10-11,i am taking some off the table,Neutral,0,0.9998193383216858,Main
Yahoo,2024-10-11,"Makes them the first 6th generation switch ahead of Broadcom AVGO. It is faster, cheaper to use and cheaper to make than the older generation and NVDA likes them for their Blackwell chips which are now sold out for 2025. simply amazing!!!",Positive,1,0.7273591160774231,Main
Yahoo,2024-10-10,"Dang, I only bought a starter at $44, 100 shares. :(",Neutral,0,0.9995779395103455,Main
Yahoo,2024-10-10,"Hey Guys, can anyone please share how big the impact of those newest news can be? (thanks!!!)",Neutral,0,0.994709849357605,Main
Yahoo,2024-10-10,Lookin strong!,Positive,1,0.9999998807907104,Main
Yahoo,2024-10-09,Nvidia sure talks good about them.,Positive,1,0.9988994598388672,Main
Yahoo,2024-10-09,"Have a feeling, cnbc will mention Alab shortly.",Neutral,0,0.9999620914459229,Main
Yahoo,2024-10-09,finally back to IPO level,Neutral,0,0.9987150430679321,Main
Yahoo,2024-10-09,"Nov 4th when they raise guidance, $75 +",Positive,1,0.9452556371688843,Main
Yahoo,2024-10-09,"Are we going to see record volume here today, and the message board is still a ghost town?",Positive,1,0.9907523393630981,Main
Yahoo,2024-10-09,Added shares in August to my &#34;lottery&#34; portfolio  at $39 and change. Plan to hold this ticket until I see some major shift in the data center / AI expansion. Also got in on GEV back in April at $126 / share. Will have to figure out how these companies will create recurring revenues when that trend starts to slow. Don&#39;t see that happening in the near future as these companies appear to have their sights set at a global level so the sky in their world should be blue (and green) for the foreseeable future.,Neutral,0,0.9978172779083252,Main
Yahoo,2024-10-09,Slow and steady short covering all day?,Negative,-1,0.9939488172531128,Main
Yahoo,2024-10-09,Oh yessss!! 😁,Neutral,0,0.9800218939781189,Main
Yahoo,2024-10-09,$74 next stop?,Neutral,0,0.9988271594047546,Main
Yahoo,2024-10-09,FLYE might be next,Neutral,0,0.9987242817878723,Main
Yahoo,2024-10-09,Would take 4 days to cover the short volume.  How high could a short squeeze take this?,Neutral,0,0.9741611480712891,Main
Yahoo,2024-10-09,Feeling pretty comfortable this morning with 850 shares!!,Positive,1,0.9842482209205627,Main
Yahoo,2024-10-09,"Good morning shorts, how u feeling today? Get ready to cover at $90",Neutral,0,0.9998971223831177,Main
Yahoo,2024-10-09,"Hey Guys what&#39;s the news today??btw. all the best for all the ALAB &#34;longs&#34; :) cheers,Konrad",Neutral,0,0.63191157579422,Main
Yahoo,2024-10-08,Nvidia likes it,Positive,1,0.9686577320098877,Main
Yahoo,2024-10-08,How big of a catalyst is the new switch?,Neutral,0,0.987000048160553,Main
Yahoo,2024-10-04,looking at the chart 60 is soooo next stop,Neutral,0,0.9999961853027344,Main
Yahoo,2024-10-03,"Nvidia (NVDA) stock jumped as much as 5% 

on Thursday after CEO Jensen Huang said 

demand for its next-generation Blackwell 

chips has been &#34;insane.&#34;",Positive,1,0.832292377948761,Main
Yahoo,2024-10-01,Insane mkt cap…….stock worth $5,Neutral,0,0.9999713897705078,Main
Yahoo,2024-09-30,"bring it to papa, need more shares",Neutral,0,0.9969432950019836,Main
Yahoo,2024-09-27,back and fill before heading to new highs,Neutral,0,0.9973311424255371,Main
Yahoo,2024-09-27,"Enter consulting giant Bain &amp; Company and a 

big, new forecast: “The market for AI-related 

hardware and software is expected to grow 

between 40% and 55% annually, reaching 

between $780 billion and $990 billion by 

2027.”",Positive,1,0.9998456239700317,Main
Yahoo,2024-09-26,In da green!!,Neutral,0,0.9990242719650269,Main
Yahoo,2024-09-26,😁 Yep,Neutral,0,0.9999517202377319,Main
Yahoo,2024-09-26,70+ by year end,Neutral,0,0.9999958276748657,Main
Yahoo,2024-09-26,"Prr micron ceo, AI is a 10 to 20 year growth story, ... one wonders where alab be in 10 years? Could it be another brodcom?",Neutral,0,0.9262437224388123,Main
Yahoo,2024-09-26,👍 Pre-market!,Neutral,0,0.9518734216690063,Main
Yahoo,2024-09-25,10% shorts are toast,Neutral,0,0.9999892711639404,Main
Yahoo,2024-09-25,60 here we come,Neutral,0,0.9999909400939941,Main
Yahoo,2024-09-25,"Hmmmmm, is this gonna get run up hard now?  This could be a big q4 AI play.Remember, their revenue  per Blackwell GPU sold will be greater than their revenue per Hopper chip, which is already driving their immense growth rate.The fun is just getting started.",Positive,1,0.9999991655349731,Main
Yahoo,2024-09-25,"Manuel Alba, Director, on September 20, 

2024, sold 100,000 shares in Astera Labs 

($ALAB) for $5,011,810. Following the Form 4 

filing with the SEC, Alba has control over a 

total of 2,239,498 shares of the company, 

with 2,239,498 controlled.",Neutral,0,0.9999940395355225,Main
Yahoo,2024-09-25,"If MU numbers are good, all chips will fly tomw",Neutral,0,0.9986613988876343,Main
Yahoo,2024-09-25,its ready to rock,Neutral,0,0.9997647404670715,Main
Yahoo,2024-09-24,I smell 70 by year end,Neutral,0,0.9999816417694092,Main
Yahoo,2024-09-23,setting up for a ride to 60,Neutral,0,0.9999216794967651,Main
Yahoo,2024-09-23,"Good for Long term holding, setting up a big plant in India with collaboration there for expansion",Positive,1,0.9999988079071045,Main
Yahoo,2024-09-23,"8 mil shares with some  downloading 200k shares in one pick does not feel like we are going to experience a growing price, actually it is signalling the opposite",Negative,-1,0.9068110585212708,Main
Yahoo,2024-09-23,This seems like a no brainer for a growth stock.Looks like a good time to buy in as well.,Positive,1,0.9975341558456421,Main
Yahoo,2024-09-21,Lookin good!  Rallying after the lock up expiration as expected.  The downtrend is broken and it made a higher high on Friday,Positive,1,0.9963679313659668,Main
Yahoo,2024-09-20,Added more shares. Should be $75 EOY. GLTA!,Neutral,0,0.9999825954437256,Main
Yahoo,2024-09-20,"60 next stop, 70 80 buy year end",Neutral,0,0.999988317489624,Main
Yahoo,2024-09-20,"Wow, $50!!! 😀",Neutral,0,0.9952261447906494,Main
Yahoo,2024-09-20,"I think it will drop bog time on Monday. I suspect that what is happening now is that some big players are unloading, and small fish are taking the bait",Negative,-1,0.6114112138748169,Main
Yahoo,2024-09-20,load up for new highs,Positive,1,0.9776410460472107,Main
Yahoo,2024-09-19,Big sell coming,Neutral,0,0.9465848803520203,Main
Yahoo,2024-09-18,we are about to crack 50,Neutral,0,0.9993952512741089,Main
Yahoo,2024-09-18,"Msft and blackrock, 100 bill in AI infrastructure, i wonder who benefits, wink wink, new highs coming",Positive,1,0.3848678171634674,Main
Yahoo,2024-09-18,Let’s go 🚀,Neutral,0,0.999863862991333,Main
Yahoo,2024-09-17,watch how fast we hit $70+,Neutral,0,0.8810028433799744,Main
Yahoo,2024-09-17,"From yesterday-

Evercore ISI Cuts Price Target on Astera Labs to $80 From $98, Keeps Outperform Rating",Positive,1,1.0,Main
Yahoo,2024-09-17,How much do you guys hold anyway? I am asking because it often happens that people talk a lot and dont even have 100 shares. for example all those negative guys that been rumbling here about how bad this stock is.,Negative,-1,0.7244641780853271,Main
Yahoo,2024-09-17,cant fight 600 percent growth,Neutral,0,0.9618968367576599,Main
Yahoo,2024-09-17,Go!!! 🚀,Neutral,0,0.992431640625,Main
Yahoo,2024-09-16,Is this the 180th day of lockup? Or 180+1?,Neutral,0,0.999861478805542,Main
Yahoo,2024-09-13,"Do not fight the fed, do not fight 600% growth = back to new highs",Negative,-1,0.9647120237350464,Main
Yahoo,2024-09-13,"i think when the lock up is done with, I will add some shares. what is everyone thinking?",Neutral,0,0.9995020627975464,Main
Yahoo,2024-09-13,Maybe stock is trying to bottom? Looks like that since very early August lows holding now. Stock needs to get over the 50 day moving average and retest the recent high around 50 to show positive stock movement now. Revenue growth is great and eps growth very good too.,Positive,1,1.0,Main
Yahoo,2024-09-13,"Just broke the downtrend again.  The final lock up expiration is on Monday.

This could be ready to wake up.",Neutral,0,0.9997941851615906,Main
Yahoo,2024-09-12,$60+ here we come,Neutral,0,0.9999909400939941,Main
Yahoo,2024-09-12,New R&amp;D site opened in India.,Neutral,0,0.9998332262039185,Main
Yahoo,2024-09-13,I still need $80 but I’ll take what I can get 🤣,Neutral,0,0.9987200498580933,Main
Yahoo,2024-09-11,Solid day!,Positive,1,0.9999998807907104,Main
Yahoo,2024-09-11,killing it on SOXL,Neutral,0,0.9935919642448425,Main
Yahoo,2024-09-11,Anyone know the short interest ratio for this?,Neutral,0,0.9991692304611206,Main
Yahoo,2024-09-11,IBP short squeeze--join the fun,Neutral,0,0.9992595314979553,Main
Yahoo,2024-09-11,That was me I added to core holding,Neutral,0,0.9997773766517639,Main
Yahoo,2024-09-11,Way to hold the line--37.50 to 40--this could hit the 45-50..,Neutral,0,0.993087112903595,Main
Yahoo,2024-09-11,60+ here we come,Neutral,0,0.9999909400939941,Main
Yahoo,2024-09-10,Lots of support around these numbers,Neutral,0,0.9982295632362366,Main
Yahoo,2024-09-10,Under 38 is a smoking buy,Positive,1,0.9951223731040955,Main
Yahoo,2024-09-10,"Lockup ends Monday, pinch some off now and see what the selling looks like next week… if any.",Neutral,0,0.9999688863754272,Main
Yahoo,2024-09-10,So close to IPO price. Starting a new position. Small chunks at a time is best.,Neutral,0,0.9910809397697449,Main
Yahoo,2024-09-10,I can see only insider sales in the recent report … scam or what?,Neutral,0,0.9369297027587891,Main
Yahoo,2024-09-09,Why the f does Wall st hate this company so much?,Neutral,0,0.9857879877090454,Main
Yahoo,2024-09-09,"AMD CEO, &#39;AI super cycle is just beginning&#39;",Neutral,0,0.9996635913848877,Main
Yahoo,2024-09-09,Can somebody please explain what the expiration of lock up means for us here?Does it means that internals will be able to sell and buy? Anything else?,Neutral,0,0.9987180233001709,Main
Yahoo,2024-09-09,Cough cough scam cough.,Neutral,0,0.9997397065162659,Main
Yahoo,2024-09-09,When lock out ends,Neutral,0,0.99998939037323,Main
Yahoo,2024-09-06,"thank u all, sell sell sell.",Neutral,0,0.4831906855106354,Main
Yahoo,2024-09-05,"Its nearest competitor, CRDO is falling after hours. Something negative is afoot for this sector, likely strong competition from AVGO and MRVL.",Negative,-1,0.9984211921691895,Main
Yahoo,2024-09-04,"I like the confirmation, bought more and Oct. calls.  Now run, baby, run!",Neutral,0,0.9991521835327148,Main
Yahoo,2024-09-04,"Astera Labs (ALAB) has a robust growth trajectory with an attractive entry point due to the recent stock pullback and multiple potential tailwinds, Morgan Stanley said in a note emailed Wednesday.

Tailwinds include &#34;demand for artificial intelligence connectivity solutions, application-specific integrated circuit ramps, new products and broadening retimer applications,&#34; Morgan Stanley said.

Astera is expected to achieve over 50% growth in 2025 despite concerns over &#34;less content in NVIDIA&#39;s (NVDA) rack-scale systems,&#34; the investment firm said.

Morgan Stanley said it expects Astera to trade at a premium due to its &#34;unique&#34; AI exposure.

Morgan Stanley upgraded Astera&#39;s rating to overweight from equalweight and kept the price target at $55.",Positive,1,1.0,Main
Yahoo,2024-09-04,is $30 or $35 a good buy for entry?,Positive,1,0.987919807434082,Main
Yahoo,2024-09-04,this is a 100$ stock and above. by 2030 will be 500$ and only 75BIL USD- only 2.5% NVDA,Neutral,0,0.9999939203262329,Main
Yahoo,2024-09-04,"Morgan Stanley Upgrades Astera Labs to Overweight From Equalweight, Maintains $55 Price Target",Positive,1,0.9998424053192139,Main
Yahoo,2024-09-04,going to load up this morning,Neutral,0,0.9999264478683472,Main
Yahoo,2024-09-03,😭,Neutral,0,0.9673532843589783,Main
Yahoo,2024-09-03,Sale time again!,Neutral,0,0.9994198083877563,Main
Yahoo,2024-09-03,Profit taking is a good thing huh Snitz?,Positive,1,0.9978864789009094,Main
Yahoo,2024-09-03,"In at around $40, will wait it out. Very confident on returns if patient.",Positive,1,0.9998156428337097,Main
Yahoo,2024-08-31,"Profitable in the coming quarter. Very sorry to learn SMCI story, but this is the real mccoy",Negative,-1,0.5466952919960022,Main
