Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
2024-08-01,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.5,3.559999942779541,3.119999885559082,3.125,3.125,195200,0.0,0.9984966516494752,1.0,0.0,0.0,0.0,0.0,3.125,3.125,3.125,0.0534369293847008,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59
2024-08-02,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.0999999046325684,3.119999885559082,2.930000066757202,3.0799999237060547,3.0799999237060547,253800,0.0,0.5326927900314331,1.0,0.0,0.0,0.0,-0.0144000244140625,3.1024999618530273,0.0318198591013607,3.0799999237060547,0.0101823549124354,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39
2024-08-05,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,2.8399999141693115,3.109999895095825,2.759999990463257,2.890000104904175,2.890000104904175,248400,0.0,0.9999662637710572,1.0,0.0,0.0,0.0,-0.0616882543858182,3.0316666762034097,0.1247329739258073,2.890000104904175,0.0336084042625085,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57
2024-08-06,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.059999942779541,3.059999942779541,2.930000066757202,2.9600000381469727,2.9600000381469727,153600,0.0,0.9999910593032836,1.0,0.0,0.0,0.0,0.0242214293086051,3.0137500166893005,0.1079640523916588,2.9600000381469727,0.0343746582320489,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71
2024-08-07,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.059999942779541,3.0799999237060547,2.799999952316284,2.819999933242798,2.819999933242798,187700,0.0,0.9150002837181092,5.0,0.0,0.0,0.0,-0.0472973321283529,2.975,0.127475473812522,2.819999933242798,0.0345519448411883,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85
2024-08-08,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,2.9100000858306885,3.0999999046325684,2.8499999046325684,3.0999999046325684,3.0999999046325684,156100,0.0,0.8114300966262817,1.0,0.0,0.0,0.0,0.0992907723468599,2.9958333174387612,0.1249166115134683,3.0999999046325684,0.0633590464103283,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79
2024-08-09,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.0999999046325684,3.1700000762939453,2.990000009536743,3.0299999713897705,3.0299999713897705,173800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0225806243213723,3.000714268003191,0.1147616324193725,3.0299999713897705,0.056567538704046,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37
2024-08-12,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.0299999713897705,3.0299999713897705,2.869999885559082,2.9200000762939453,2.9200000762939453,98900,0.0,0.0,0.0,0.0,0.0,0.0,-0.0363035960839865,2.971428564616612,0.1033486528365049,-0.2049999237060547,0.0520824419546898,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71
2024-08-13,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,2.950000047683716,3.065000057220459,2.950000047683716,2.9800000190734863,2.9800000190734863,262400,0.0,0.0,0.0,0.0,0.0,0.0,0.0205479250725544,2.9571428639548167,0.0921437512548655,-0.0999999046325683,0.0467194877962205,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12
2024-08-14,ATOM,Technology,Semiconductor Equipment & Materials,166.625M,3.0399999618530273,3.0399999618530273,2.6700000762939453,2.759999990463257,2.759999990463257,219000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0738255124839327,2.938571419034685,0.1175341779246484,-0.1300001144409179,0.0532161729724337,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19
