Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,Why oh why,Positive,1,0.6585025787353516,Main
Yahoo,2024-10-30,this is a good time to sell at highs. it&#39;s up 60% for the year. and technology changes too fast now.,Positive,1,0.9985032081604004,Main
Yahoo,2024-10-30,Chip Maker QORVO is crashing huge !Look if you dare.5% DROP in revenues.So much for growth of semis.,Negative,-1,0.869312584400177,Main
Yahoo,2024-10-30,"An Itsy bitsy profit taking is healthy heah already.     Saying that, I think we will suppass $180 today…. Probably approach 185 this week….  Jmho.",Neutral,0,0.8402013182640076,Main
Yahoo,2024-10-30,AAPL is already using AVGO ASIC Chip indirectly as another Broadcom hyper scalar GOOGL provides TPU servers which is built upon AVGO chips technology,Neutral,0,0.9999990463256836,Main
Yahoo,2024-10-30,"Hey Puffy Thighs, after today’s gain I’ll bet you wish you had enough money left over to buy yourself a short piece of rope.",Neutral,0,0.8992692828178406,Main
Yahoo,2024-10-29,AMD is spreading a little doom and gloom to the semis in ah,Neutral,0,0.9994737505912781,Main
Yahoo,2024-10-29,"Update: Market Chatter: Microsoft-backed OpenAI Drops Foundry Plans; Partners With Broadcom, TSMC to Build AI Chips",Neutral,0,0.9985016584396362,Main
Yahoo,2024-10-29,"WHERE&#39;S PUFFY CRYING EYES??
😭😭😭😭😭😭😭😭😭🤪",Neutral,0,0.9999401569366455,Main
Yahoo,2024-10-29,Volume looks very suspicious :) Congrats longs.,Positive,1,0.8656758069992065,Main
Yahoo,2024-10-29,Wow what’s going on today with avGO?? Msft deal?,Neutral,0,0.9992457628250122,Main
Yahoo,2024-10-29,Glad i bought the dip.....,Neutral,0,0.9917781352996826,Main
Yahoo,2024-10-29,Yea baby....,Neutral,0,0.9994484782218933,Main
Yahoo,2024-10-29,My best investment decision this year along with meta and nvda! Go avGO!,Neutral,0,0.8170387744903564,Main
Yahoo,2024-10-29,Will this pin at 180 this Friday or higher?    Jus askin.,Neutral,0,0.9998552799224854,Main
Yahoo,2024-10-29,"This is only up 70% YTD, why isn&#39;t it doing better? Should I short it?",Neutral,0,0.5884738564491272,Main
Yahoo,2024-10-29,Expect run upto $200 with openai news. Good luck longs. Also expect semi upcycle next year!!,Positive,1,1.0,Main
Yahoo,2024-10-29,OpenAi builds first chip with Broadcom and Taiwan Semi.  Broadcom getting the best lift from this news.Just reported.,Positive,1,1.0,Main
Yahoo,2024-10-29,"Really AVGO, you are going to make me excise my $175 calls this week….i mean I’ll buy back the shares later hopefully but the premiums better be worth it. I thought it would stay flat with other earnings going on and election in a week",Neutral,0,0.997755229473114,Main
Yahoo,2024-10-29,Semiconductor packaging and testing company Amkor Technology dropping 12% on warning.,Negative,-1,0.96026211977005,Main
Yahoo,2024-10-29,"Guys, what happened to this? Business seems great",Neutral,0,0.6621002554893494,Main
Yahoo,2024-10-29,This was leaps and bounds then the split now nothing,Neutral,0,0.9997063279151917,Main
Yahoo,2024-10-28,All you cheerleaders that thought (and still think) this stock is going to $200 are in complete denial of reality. Sarah John and Booby shouldn&#39;t quit their respective day jobs.,Neutral,0,0.9999444484710693,Main
Yahoo,2024-10-28,wtf avgo,Neutral,0,0.9999768733978271,Main
Yahoo,2024-10-28,I’ve beginning to think I fell for the hype,Neutral,0,0.9990696310997009,Main
Yahoo,2024-10-28,185 by Friday,Neutral,0,0.9999889135360718,Main
Yahoo,2024-10-28,What’s wrong with this?,Negative,-1,0.953594982624054,Main
Yahoo,2024-10-28,Bad news for US chipmakers. China is a huge percentage of business.China semiconductor patent applications skyrocket amid US export restrictions — country sees a 42% increase in patent filing,Negative,-1,0.999602735042572,Main
Yahoo,2024-10-28,"Taiwan semi tanking,Huawei&#39;s latest AI processors were allegedly made by TSMC: ReportNvidia ared.",Neutral,0,0.9994701743125916,Main
Yahoo,2024-10-28,Money going out of semis :),Neutral,0,0.999863862991333,Main
Yahoo,2024-10-27,I think the Fair Market Value of this company’s stock is @ 185.     Do not be surprised when it turns into a “trilly” sometime next year!!!,Neutral,0,0.9974827170372009,Main
Yahoo,2024-10-27,"LL you people that are worried about it going down need to look at it this way. Imagine the stock is your &#34;rod&#34;. You get excited and it goes up. You use it until ecstasy and it goes down. but it will go back up again once you&#39;re excited again. See how that works. No worries, it&#39;ll be back up before you know it. 😀",Neutral,0,0.9239003658294678,Main
