Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-08-01,BAND,Technology,Software Infrastructure,510.863M,21.190000534057617,21.190000534057617,15.739999771118164,15.970000267028809,15.970000267028809,1530000,0.0,0.929239809513092,9.0,0.0,0.0,0.0
2024-08-02,BAND,Technology,Software Infrastructure,510.863M,15.699999809265137,15.84000015258789,15.039999961853027,15.210000038146973,15.210000038146973,606800,1.0,0.9996484220027924,4.0,0.25,606800.0,1.0
2024-08-05,BAND,Technology,Software Infrastructure,510.863M,13.770000457763672,15.029999732971191,13.510000228881836,14.93000030517578,14.93000030517578,679200,2.0,0.9711784592696598,14.0,0.1428571428571428,1358400.0,1.0
2024-08-06,BAND,Technology,Software Infrastructure,510.863M,15.229999542236328,15.84000015258789,14.75,15.800000190734863,15.800000190734863,477700,-35.0,0.9409130356285008,356.0,-0.098314606741573,-16719500.0,-12.30823027090695
2024-08-07,BAND,Technology,Software Infrastructure,510.863M,15.920000076293944,16.309999465942383,15.081000328063965,15.43000030517578,15.43000030517578,493400,1.0,0.9979159086942672,4.0,0.25,493400.0,0.3632214369846879
2024-08-08,BAND,Technology,Software Infrastructure,510.863M,15.600000381469728,15.720000267028809,15.01200008392334,15.619999885559082,15.619999885559082,242900,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,BAND,Technology,Software Infrastructure,510.863M,15.630000114440918,15.8100004196167,15.420000076293944,15.779999732971191,15.779999732971191,229200,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,BAND,Technology,Software Infrastructure,510.863M,15.760000228881836,15.760000228881836,15.109999656677246,15.369999885559082,15.369999885559082,268500,-3.0,0.9519256035486856,15.0,-0.2,-805500.0,-0.5929770318021201
2024-08-13,BAND,Technology,Software Infrastructure,510.863M,15.640000343322754,16.299999237060547,15.390000343322754,16.110000610351562,16.110000610351562,251900,-11.0,0.9331146217733024,249.0,-0.0441767068273092,-2770900.0,-2.039826266195524
2024-08-14,BAND,Technology,Software Infrastructure,510.863M,16.06999969482422,16.170000076293945,15.4399995803833,15.470000267028809,15.470000267028809,265400,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,BAND,Technology,Software Infrastructure,510.863M,16.0,16.3700008392334,15.899999618530272,16.139999389648438,16.139999389648438,166200,15.0,0.9473328815763864,201.0,0.0746268656716417,2493000.0,1.0
2024-08-16,BAND,Technology,Software Infrastructure,510.863M,16.030000686645508,16.329999923706055,16.0,16.299999237060547,16.299999237060547,156400,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,BAND,Technology,Software Infrastructure,510.863M,16.360000610351562,17.399999618530273,16.31599998474121,17.299999237060547,17.299999237060547,295400,6.0,0.9784189796447754,25.0,0.24,1772400.0,0.7109506618531889
2024-08-20,BAND,Technology,Software Infrastructure,510.863M,17.43000030517578,17.43000030517578,16.969999313354492,17.170000076293945,17.170000076293945,197500,0.0,0.94260434234949,133.0,0.0,0.0,0.0
2024-08-21,BAND,Technology,Software Infrastructure,510.863M,17.3700008392334,17.3700008392334,16.96500015258789,17.149999618530273,17.149999618530273,210000,0.0,0.0,0.0,0.0,0.0,0.0
