Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days)
2024-08-01,BMBL,Technology,Software Application,1.231B,9.289999961853027,9.300000190734863,8.760000228881836,8.859999656677246,8.859999656677246,3162100,0.0,0.9999700784683228,1.0,0.0,0.0,0.0,0.0,8.859999656677246,8.859999656677246,8.859999656677246
2024-08-02,BMBL,Technology,Software Application,1.231B,8.569999694824219,8.699999809265137,8.390000343322754,8.520000457763672,8.520000457763672,2709000,0.0,0.0,0.0,0.0,0.0,0.0,-0.038374628903889096,8.690000057220459,0.24041573914978218,8.520000457763672
2024-08-05,BMBL,Technology,Software Application,1.231B,7.949999809265137,8.21500015258789,7.730000019073486,8.109999656677246,8.109999656677246,3984200,0.0,0.0,0.0,0.0,0.0,0.0,-0.048122157166414326,8.49666659037272,0.3755440746777449,8.109999656677246
2024-08-06,BMBL,Technology,Software Application,1.231B,8.15999984741211,8.170000076293945,7.864999771118164,7.909999847412109,7.909999847412109,3083700,0.0,0.7316500941912333,3.0,0.0,0.0,0.0,-0.02466088997925786,8.349999904632568,0.42434266991160835,7.909999847412109
2024-08-07,BMBL,Technology,Software Application,1.231B,8.050000190734863,8.430000305175781,7.840000152587891,8.0600004196167,8.0600004196167,9272000,-3.0,0.945210874080658,15.0,-0.2,-27816000.0,-27816000.0,0.018963410252613944,8.292000007629394,0.3897049735282807,8.0600004196167
2024-08-08,BMBL,Technology,Software Application,1.231B,4.980000019073486,5.789999961853027,4.800000190734863,5.710000038146973,5.710000038146973,33402000,-3.0,0.949181857261252,47.0,-0.0638297872340425,-100206000.0,-100206000.0,-0.2915633075837337,7.861666679382324,1.1102326844023942,5.710000038146973
2024-08-09,BMBL,Technology,Software Application,1.231B,5.699999809265137,6.070000171661377,5.650000095367432,5.980000019073486,5.980000019073486,8718000,15.0,0.9458693228905496,153.0,0.0980392156862745,130770000.0,1.0,0.047285460441806704,7.592857156481061,1.238139906666294,5.980000019073486
2024-08-12,BMBL,Technology,Software Application,1.231B,5.929999828338623,5.960000038146973,5.369999885559082,5.744999885559082,5.744999885559082,8666000,0.0,0.999276359875997,3.0,0.0,0.0,0.0,-0.03929768106435794,7.147857189178467,1.2662736771381824,-3.114999771118164
2024-08-13,BMBL,Technology,Software Application,1.231B,5.71999979019165,6.03000020980835,5.679999828338623,5.980000019073486,5.980000019073486,5765100,1.0,0.9879206717014312,2.0,0.5,5765100.0,0.044085799495297,0.04090515895485258,6.784999983651297,1.167629358393845,-2.5400004386901855
2024-08-14,BMBL,Technology,Software Application,1.231B,5.949999809265137,6.079999923706055,5.704999923706055,5.71999979019165,5.71999979019165,5096300,0.0,0.9971275726954142,3.0,0.0,0.0,0.0,-0.043478299005443644,6.4435714312962125,1.060089382670672,-2.3899998664855957
2024-08-15,BMBL,Technology,Software Application,1.231B,5.820000171661377,6.014999866485596,5.800000190734863,5.900000095367432,5.900000095367432,4801700,0.0,0.9999984502792358,1.0,0.0,0.0,0.0,0.031468585975201524,6.156428609575544,0.8476081536395795,-2.0099997520446777
2024-08-16,BMBL,Technology,Software Application,1.231B,5.699999809265137,6.0929999351501465,5.670000076293945,6.0,6.0,4343500,0.0,0.8364229400952657,3.0,0.0,0.0,0.0,0.016949136104436047,5.862142835344587,0.1324719770398975,-2.060000419616699
2024-08-19,BMBL,Technology,Software Application,1.231B,6.099999904632568,6.46999979019165,5.985000133514404,6.440000057220459,6.440000057220459,5323400,0.0,0.99728661775589,2.0,0.0,0.0,0.0,0.07333334287007642,5.966428552355085,0.23802517756650177,0.7300000190734863
2024-08-20,BMBL,Technology,Software Application,1.231B,6.389999866485596,6.724999904632568,6.309999942779541,6.559999942779541,6.559999942779541,4703300,0.0,0.9276881217956544,1.0,0.0,0.0,0.0,0.01863352243677996,6.049285684313093,0.32762315535301045,0.5799999237060547
2024-08-21,BMBL,Technology,Software Application,1.231B,6.610000133514404,6.669000148773193,6.449999809265137,6.489999771118164,6.489999771118164,3409400,0.0,0.0,0.0,0.0,0.0,0.0,-0.010670757968286981,6.155714239392962,0.33325950578368607,0.744999885559082
2024-08-22,BMBL,Technology,Software Application,1.231B,6.5,6.659999847412109,6.445000171661377,6.480000019073486,6.480000019073486,2666800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015407938978948543,6.227142810821533,0.3427688441543272,0.5
2024-08-23,BMBL,Technology,Software Application,1.231B,6.489999771118164,6.690000057220459,6.355000019073486,6.670000076293945,6.670000076293945,2982800,0.0,0.0,0.0,0.0,0.0,0.0,0.029320996398334076,6.362857137407575,0.2929569787131849,0.9500002861022949
2024-08-26,BMBL,Technology,Software Application,1.231B,6.75,7.050000190734863,6.630000114440918,6.889999866485596,6.889999866485596,4167500,0.0,0.0,0.0,0.0,0.0,0.0,0.0329834764130752,6.504285676138742,0.27036128382246516,0.9899997711181641
2024-08-27,BMBL,Technology,Software Application,1.231B,6.909999847412109,6.909999847412109,6.639999866485596,6.650000095367432,6.650000095367432,3374800,0.0,0.8892827033996582,2.0,0.0,0.0,0.0,-0.034833058892435265,6.597142832619803,0.15553286415042097,0.6500000953674316
2024-08-28,BMBL,Technology,Software Application,1.231B,6.590000152587891,6.659999847412109,6.369999885559082,6.539999961853027,6.539999961853027,3999600,0.0,0.0,0.0,0.0,0.0,0.0,-0.016541373223593392,6.6114285332815985,0.142761875221451,0.09999990463256836
2024-08-29,BMBL,Technology,Software Application,1.231B,6.610000133514404,6.710000038146973,6.545000076293945,6.590000152587891,6.590000152587891,1925300,0.0,0.9991161227226256,1.0,0.0,0.0,0.0,0.007645289147784062,6.615714277539935,0.14140451457412417,0.03000020980834961
2024-08-30,BMBL,Technology,Software Application,1.231B,6.659999847412109,6.735000133514404,6.525000095367432,6.710000038146973,6.710000038146973,2594100,0.0,0.0,0.0,0.0,0.0,0.0,0.018209390406760173,6.6471428871154785,0.13300550457348076,0.2200002670288086
2024-09-03,BMBL,Technology,Software Application,1.231B,6.639999866485596,6.914999961853027,6.610000133514404,6.760000228881836,6.760000228881836,3154400,0.0,0.0,0.0,0.0,0.0,0.0,0.0074515932117149575,6.6871429170881,0.11528429348764237,0.2800002098083496
2024-09-04,BMBL,Technology,Software Application,1.231B,6.690000057220459,6.985000133514404,6.690000057220459,6.78000020980835,6.78000020980835,2050700,0.0,0.0,0.0,0.0,0.0,0.0,0.002958576959962933,6.702857221875872,0.11996029492139537,0.1100001335144043
2024-09-05,BMBL,Technology,Software Application,1.231B,6.840000152587891,7.090000152587891,6.789999961853027,6.96999979019165,6.96999979019165,2624100,0.0,0.0,0.0,0.0,0.0,0.0,0.028023536062496968,6.714285782405308,0.14246130032993354,0.07999992370605469
2024-09-06,BMBL,Technology,Software Application,1.231B,6.960000038146973,7.025000095367432,6.78000020980835,6.78000020980835,6.78000020980835,2365600,0.0,0.7812550663948059,1.0,0.0,0.0,0.0,-0.027259624978851926,6.7328572273254395,0.14115167905259515,0.13000011444091797
2024-09-09,BMBL,Technology,Software Application,1.231B,6.789999961853027,6.900000095367432,6.599999904632568,6.599999904632568,6.599999904632568,2594300,-6.0,0.9629705491993162,180.0,-0.0333333333333333,-15565800.0,-15565800.0,-0.026548716755993906,6.7414286477225165,0.12876699733139324,0.059999942779541016
2024-09-10,BMBL,Technology,Software Application,1.231B,6.639999866485596,6.739999771118164,6.310999870300293,6.400000095367432,6.400000095367432,2978400,1.0,0.9999980926513672,1.0,1.0,2978400.0,1.0,-0.030303001841675226,6.714285782405308,0.17699875652652317,-0.19000005722045898
2024-09-11,BMBL,Technology,Software Application,1.231B,6.389999866485596,6.389999866485596,6.190000057220459,6.300000190734863,6.300000190734863,2878900,0.0,0.9857723116874696,1.0,0.0,0.0,0.0,-0.015624984866008385,6.65571437563215,0.23649216861374311,-0.4099998474121094
2024-09-12,BMBL,Technology,Software Application,1.231B,6.340000152587891,6.420000076293945,6.099999904632568,6.119999885559082,6.119999885559082,2461000,0.0,0.996423989534378,2.0,0.0,0.0,0.0,-0.028571476147016606,6.564285755157471,0.3036366803947046,-0.6400003433227539
