Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
2024-08-01,BMBL,Technology,Software Application,1.231B,9.289999961853027,9.300000190734863,8.760000228881836,8.859999656677246,8.859999656677246,3162100,0.0,0.9999700784683228,1.0,0.0,0.0,0.0,0.0,8.859999656677246,8.859999656677246,8.859999656677246,0.1124187462062776,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59
2024-08-02,BMBL,Technology,Software Application,1.231B,8.569999694824219,8.699999809265137,8.390000343322754,8.520000457763672,8.520000457763672,2709000,0.0,0.0,0.0,0.0,0.0,0.0,-0.038374628903889,8.690000057220459,0.2404157391497821,8.520000457763672,0.0271349603234572,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39
2024-08-05,BMBL,Technology,Software Application,1.231B,7.949999809265137,8.21500015258789,7.730000019073486,8.109999656677246,8.109999656677246,3984200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0481221571664143,8.49666659037272,0.3755440746777449,8.109999656677246,0.0287827971693873,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57
2024-08-06,BMBL,Technology,Software Application,1.231B,8.15999984741211,8.170000076293945,7.864999771118164,7.909999847412109,7.909999847412109,3083700,0.0,0.7316500941912333,3.0,0.0,0.0,0.0,-0.0246608899792578,8.349999904632568,0.4243426699116083,7.909999847412109,0.0229033944507811,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71
2024-08-07,BMBL,Technology,Software Application,1.231B,8.050000190734863,8.430000305175781,7.840000152587891,8.0600004196167,8.0600004196167,9272000,-3.0,0.945210874080658,15.0,-0.2,-27816000.0,-27816000.0,0.0189634102526139,8.292000007629394,0.3897049735282807,8.0600004196167,0.0271951944481576,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85
2024-08-08,BMBL,Technology,Software Application,1.231B,4.980000019073486,5.789999961853027,4.800000190734863,5.710000038146973,5.710000038146973,33402000,-3.0,0.949181857261252,47.0,-0.0638297872340425,-100206000.0,-100206000.0,-0.2915633075837337,7.861666679382324,1.1102326844023942,5.710000038146973,0.1371674285944026,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79
2024-08-09,BMBL,Technology,Software Application,1.231B,5.699999809265137,6.070000171661377,5.650000095367432,5.980000019073486,5.980000019073486,8718000,15.0,0.9458693228905496,153.0,0.0980392156862745,130770000.0,1.0,0.0472854604418067,7.592857156481061,1.238139906666294,5.980000019073486,0.1321549526550966,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37
2024-08-12,BMBL,Technology,Software Application,1.231B,5.929999828338623,5.960000038146973,5.369999885559082,5.744999885559082,5.744999885559082,8666000,0.0,0.999276359875997,3.0,0.0,0.0,0.0,-0.0392976810643579,7.147857189178467,1.2662736771381824,-3.114999771118164,0.1137288925161632,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71
2024-08-13,BMBL,Technology,Software Application,1.231B,5.71999979019165,6.03000020980835,5.679999828338623,5.980000019073486,5.980000019073486,5765100,1.0,0.9879206717014312,2.0,0.5,5765100.0,0.044085799495297,0.0409051589548525,6.784999983651297,1.167629358393845,-2.5400004386901855,0.106354801178501,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12
2024-08-14,BMBL,Technology,Software Application,1.231B,5.949999809265137,6.079999923706055,5.704999923706055,5.71999979019165,5.71999979019165,5096300,0.0,0.9971275726954142,3.0,0.0,0.0,0.0,-0.0434782990054436,6.4435714312962125,1.060089382670672,-2.3899998664855957,0.0923269559566261,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19
