Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-01,CRWD,Technology,Software Infrastructure,82.546B,232.0,232.1999969482422,221.66000366210938,224.22000122070312,224.22000122070312,9914200
2024-08-02,CRWD,Technology,Software Infrastructure,82.546B,217.14999389648438,221.47500610351562,211.13999938964844,217.88999938964844,217.88999938964844,8978100
2024-08-05,CRWD,Technology,Software Infrastructure,82.546B,201.53500366210938,224.1199951171875,200.80999755859375,222.0500030517578,222.0500030517578,10942200
2024-08-06,CRWD,Technology,Software Infrastructure,82.546B,230.19000244140625,235.24000549316406,221.55999755859375,231.69000244140625,231.69000244140625,10613400
2024-08-07,CRWD,Technology,Software Infrastructure,82.546B,238.3699951171875,243.5,230.10000610351562,230.6699981689453,230.6699981689453,9349000
2024-08-08,CRWD,Technology,Software Infrastructure,82.546B,233.8800048828125,242.0399932861328,229.72000122070312,240.52000427246094,240.52000427246094,6675000
2024-08-09,CRWD,Technology,Software Infrastructure,82.546B,242.17999267578125,246.00999450683594,238.8000030517578,240.89999389648438,240.89999389648438,5938900
2024-08-12,CRWD,Technology,Software Infrastructure,82.546B,242.0,242.8699951171875,235.60000610351562,239.33999633789062,239.33999633789062,3729400
2024-08-13,CRWD,Technology,Software Infrastructure,82.546B,242.0,248.97000122070312,240.0050048828125,248.11000061035156,248.11000061035156,5126800
2024-08-14,CRWD,Technology,Software Infrastructure,82.546B,250.0,258.9599914550781,249.25599670410156,256.2200012207031,256.2200012207031,5713900
2024-08-15,CRWD,Technology,Software Infrastructure,82.546B,260.25,263.6499938964844,257.5199890136719,260.489990234375,260.489990234375,5898100
2024-08-16,CRWD,Technology,Software Infrastructure,82.546B,260.44000244140625,262.6400146484375,257.8500061035156,262.5400085449219,262.5400085449219,3495600
2024-08-19,CRWD,Technology,Software Infrastructure,82.546B,264.0,270.9800109863281,262.6000061035156,266.7799987792969,266.7799987792969,5466600
2024-08-20,CRWD,Technology,Software Infrastructure,82.546B,269.3599853515625,270.1199951171875,264.3949890136719,266.5299987792969,266.5299987792969,3876500
2024-08-21,CRWD,Technology,Software Infrastructure,82.546B,267.010009765625,274.4200134277344,265.64300537109375,273.2099914550781,273.2099914550781,5258400
2024-08-22,CRWD,Technology,Software Infrastructure,82.546B,275.239990234375,278.5,267.2300109863281,267.6400146484375,267.6400146484375,4420700
2024-08-23,CRWD,Technology,Software Infrastructure,82.546B,270.1000061035156,273.6000061035156,266.80999755859375,271.5400085449219,271.5400085449219,3248600
2024-08-26,CRWD,Technology,Software Infrastructure,82.546B,271.05999755859375,271.739990234375,265.2699890136719,265.8699951171875,265.8699951171875,3558400
2024-08-27,CRWD,Technology,Software Infrastructure,82.546B,261.80999755859375,270.42999267578125,260.75,269.8299865722656,269.8299865722656,3686900
2024-08-28,CRWD,Technology,Software Infrastructure,82.546B,269.79998779296875,270.7200012207031,261.4800109863281,264.20001220703125,264.20001220703125,7072600
2024-08-29,CRWD,Technology,Software Infrastructure,82.546B,262.010009765625,285.7300109863281,261.3299865722656,271.6700134277344,271.6700134277344,13100200
2024-08-30,CRWD,Technology,Software Infrastructure,82.546B,277.7799987792969,284.1099853515625,273.3500061035156,277.2799987792969,277.2799987792969,6617000
2024-09-03,CRWD,Technology,Software Infrastructure,82.546B,275.7799987792969,277.510009765625,265.2900085449219,266.6000061035156,266.6000061035156,5503200
2024-09-04,CRWD,Technology,Software Infrastructure,82.546B,260.44000244140625,267.197998046875,258.4100036621094,259.32000732421875,259.32000732421875,4372200
2024-09-05,CRWD,Technology,Software Infrastructure,82.546B,255.39999389648438,259.0,252.6699981689453,256.42999267578125,256.42999267578125,3928000
2024-09-06,CRWD,Technology,Software Infrastructure,82.546B,255.8000030517578,257.3999938964844,244.49000549316406,246.38999938964844,246.38999938964844,4320100
2024-09-09,CRWD,Technology,Software Infrastructure,82.546B,249.11500549316406,249.5,244.1699981689453,246.5800018310547,246.5800018310547,3198200
2024-09-10,CRWD,Technology,Software Infrastructure,82.546B,248.75,250.3300018310547,243.5500030517578,247.74000549316406,247.74000549316406,2199200
2024-09-11,CRWD,Technology,Software Infrastructure,82.546B,247.72999572753906,254.5800018310547,242.25,253.52999877929688,253.52999877929688,2666100
2024-09-12,CRWD,Technology,Software Infrastructure,82.546B,255.67999267578125,258.3800048828125,252.47999572753906,257.1000061035156,257.1000061035156,2650400
2024-09-13,CRWD,Technology,Software Infrastructure,82.546B,257.0,261.5799865722656,256.0,259.1300048828125,259.1300048828125,2133900
2024-09-16,CRWD,Technology,Software Infrastructure,82.546B,260.7699890136719,270.04998779296875,259.3500061035156,267.80999755859375,267.80999755859375,3698600
2024-09-17,CRWD,Technology,Software Infrastructure,82.546B,270.20001220703125,272.3999938964844,267.32000732421875,268.7200012207031,268.7200012207031,2775400
2024-09-18,CRWD,Technology,Software Infrastructure,82.546B,269.489990234375,272.0199890136719,263.45001220703125,267.1199951171875,267.1199951171875,3178600
2024-09-19,CRWD,Technology,Software Infrastructure,82.546B,276.0,283.989990234375,273.75,277.3800048828125,277.3800048828125,6219000
2024-09-20,CRWD,Technology,Software Infrastructure,82.546B,284.1300048828125,300.45001220703125,283.8800048828125,299.8500061035156,299.8500061035156,17875100
2024-09-23,CRWD,Technology,Software Infrastructure,82.546B,297.7799987792969,302.1579895019531,292.57000732421875,293.1400146484375,293.1400146484375,5519300
2024-09-24,CRWD,Technology,Software Infrastructure,82.546B,294.8900146484375,295.3999938964844,285.2799987792969,288.5400085449219,288.5400085449219,4110700
2024-09-25,CRWD,Technology,Software Infrastructure,82.546B,290.0,291.7300109863281,285.5400085449219,286.4700012207031,286.4700012207031,2953500
2024-09-26,CRWD,Technology,Software Infrastructure,82.546B,291.25,292.375,277.8800048828125,281.4800109863281,281.4800109863281,4532100
2024-09-27,CRWD,Technology,Software Infrastructure,82.546B,283.79998779296875,286.45001220703125,281.1499938964844,285.8599853515625,285.8599853515625,2896400
2024-09-30,CRWD,Technology,Software Infrastructure,82.546B,284.0,285.4100036621094,278.20001220703125,280.4700012207031,280.4700012207031,2853700
2024-10-01,CRWD,Technology,Software Infrastructure,82.546B,282.260009765625,282.9739990234375,272.6700134277344,275.1499938964844,275.1499938964844,3122600
2024-10-02,CRWD,Technology,Software Infrastructure,82.546B,274.885009765625,282.1499938964844,274.86199951171875,280.239990234375,280.239990234375,2592600
2024-10-03,CRWD,Technology,Software Infrastructure,82.546B,279.0,286.8999938964844,278.55999755859375,283.75,283.75,3336400
2024-10-04,CRWD,Technology,Software Infrastructure,82.546B,288.1600036621094,292.55999755859375,283.79998779296875,292.239990234375,292.239990234375,3118400
2024-10-07,CRWD,Technology,Software Infrastructure,82.546B,291.0,293.0,285.7900085449219,286.9700012207031,286.9700012207031,2314300
2024-10-08,CRWD,Technology,Software Infrastructure,82.546B,287.8800048828125,295.25,286.7799987792969,293.010009765625,293.010009765625,2886300
2024-10-09,CRWD,Technology,Software Infrastructure,82.546B,293.739990234375,298.7699890136719,292.5,298.3399963378906,298.3399963378906,2534400
2024-10-10,CRWD,Technology,Software Infrastructure,82.546B,297.7200012207031,315.5299987792969,297.0,314.9200134277344,314.9200134277344,7859900
2024-10-11,CRWD,Technology,Software Infrastructure,82.546B,314.9200134277344,322.5899963378906,313.0,320.2099914550781,320.2099914550781,4606800
2024-10-14,CRWD,Technology,Software Infrastructure,82.546B,321.57000732421875,323.94000244140625,309.6000061035156,310.5199890136719,310.5199890136719,4474200
