Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-01,CSCO,,Communication Equipment,229.037B,48.619998931884766,48.720001220703125,47.20000076293945,47.030574798583984,47.030574798583984,18837500
2024-08-02,CSCO,,Communication Equipment,229.037B,47.68000030517578,47.75,46.349998474121094,46.30611038208008,46.30611038208008,24000200
2024-08-05,CSCO,,Communication Equipment,229.037B,46.54999923706055,46.68000030517578,44.689998626708984,44.40067672729492,44.40067672729492,29669600
2024-08-06,CSCO,,Communication Equipment,229.037B,44.75,45.7400016784668,44.63999938964844,44.81748962402344,44.81748962402344,20524000
2024-08-07,CSCO,,Communication Equipment,229.037B,45.41999816894531,46.209999084472656,45.09000015258789,44.77779006958008,44.77779006958008,18301100
2024-08-08,CSCO,,Communication Equipment,229.037B,45.279998779296875,46.27000045776367,45.279998779296875,45.4824104309082,45.4824104309082,18369100
2024-08-09,CSCO,,Communication Equipment,229.037B,45.70000076293945,46.060001373291016,45.2400016784668,45.12513732910156,45.12513732910156,21217600
2024-08-12,CSCO,,Communication Equipment,229.037B,45.529998779296875,45.7400016784668,44.5,44.5197639465332,44.5197639465332,20289500
2024-08-13,CSCO,,Communication Equipment,229.037B,44.97999954223633,45.38999938964844,44.88999938964844,45.02589416503906,45.02589416503906,20976900
2024-08-14,CSCO,,Communication Equipment,229.037B,45.13999938964844,45.7400016784668,45.040000915527344,45.09536361694336,45.09536361694336,30675600
2024-08-15,CSCO,,Communication Equipment,229.037B,48.75,50.279998779296875,48.15999984741211,48.161930084228516,48.161930084228516,45976400
2024-08-16,CSCO,,Communication Equipment,229.037B,48.63999938964844,49.72999954223633,48.5,49.08487319946289,49.08487319946289,27424900
2024-08-19,CSCO,,Communication Equipment,229.037B,49.33000183105469,49.9900016784668,49.29999923706055,49.60093307495117,49.60093307495117,16436600
2024-08-20,CSCO,,Communication Equipment,229.037B,49.97999954223633,50.369998931884766,49.599998474121094,49.85896301269531,49.85896301269531,18697300
2024-08-21,CSCO,,Communication Equipment,229.037B,50.290000915527344,50.54999923706055,50.029998779296875,50.06736755371094,50.06736755371094,21177600
2024-08-22,CSCO,,Communication Equipment,229.037B,50.720001220703125,50.93000030517578,50.18000030517578,49.839111328125,49.839111328125,19143100
2024-08-23,CSCO,,Communication Equipment,229.037B,50.5099983215332,50.77000045776367,50.31999969482422,50.35517120361328,50.35517120361328,16474100
2024-08-26,CSCO,,Communication Equipment,229.037B,50.790000915527344,51.02000045776367,50.720001220703125,50.404788970947266,50.404788970947266,12016800
2024-08-27,CSCO,,Communication Equipment,229.037B,50.66999816894531,50.84000015258789,50.400001525878906,50.32539367675781,50.32539367675781,10243900
