Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days)
2024-08-01,MSTR,Technology,Software Application,71.807B,161.5,163.43600463867188,148.20199584960938,151.18099975585938,151.18099975585938,11930000,-4,0.9303057233253156,83,-0.0481927710843373,-47720000,1.0,0.0,151.18099975585938,151.18099975585938,151.18099975585938
2024-08-02,MSTR,Technology,Software Application,71.807B,148.58099365234375,159.13999938964844,141.7100067138672,144.7989959716797,144.7989959716797,14126000,-2,0.9093186760341728,91,-0.0219780219780219,-28252000,1.0,-0.042214324514892154,147.98999786376953,4.5127581533516645,144.7989959716797
2024-08-05,MSTR,Technology,Software Application,71.807B,105.16500091552734,135.427001953125,102.4020004272461,130.89999389648438,130.89999389648438,22678000,-15,0.9358443735374344,180,-0.0833333333333333,-340170000,12.040563499929208,-0.09598824896488733,142.29332987467447,10.370080598011844,130.89999389648438
2024-08-06,MSTR,Technology,Software Application,71.807B,132.60000610351562,139.49400329589844,126.21800231933594,136.92100524902344,136.92100524902344,12260000,3,0.959095887208389,59,0.0508474576271186,36780000,1.0,0.045997033103763796,140.95024871826172,8.88300900842081,136.92100524902344
2024-08-07,MSTR,Technology,Software Application,71.807B,140.8780059814453,142.1580047607422,124.01300048828124,124.68499755859376,124.68499755859376,10934000,-2,0.9297657984274404,81,-0.0246913580246913,-21868000,-0.5945622620989668,-0.0893654532273962,137.69719848632812,10.587377665889692,124.68499755859376
2024-08-08,MSTR,Technology,Software Application,71.807B,130.22999572753906,136.75999450683594,128.05999755859375,135.99000549316406,135.99000549316406,10378300,-1,0.9469713940070226,130,-0.0076923076923076,-10378300,-0.2821723762914627,0.09066854999341589,137.41266632080078,9.49525165498324,135.99000549316406
2024-08-09,MSTR,Technology,Software Application,71.807B,135.88999938964844,136.69000244140625,129.5500030517578,135.3699951171875,135.3699951171875,7330400,0,0.9594452307935346,57,0.0,0,0.0,-0.004559234877064,137.12085614885603,8.702255008217007,135.3699951171875
2024-08-12,MSTR,Technology,Software Application,71.807B,133.49000549316406,139.2100067138672,129.22000122070312,131.4600067138672,131.4600067138672,6932300,-6,0.9635464512940608,33,-0.1818181818181818,-41593800,-1.1308809135399671,-0.028883715330975,134.30357142857142,6.2339577995342195,-19.720993041992188
2024-08-13,MSTR,Technology,Software Application,71.807B,132.27999877929688,140.0,130.25999450683594,135.3800048828125,135.3800048828125,8123100,5,0.9587578358857528,69,0.072463768115942,40615500,1.0,0.02981894088502135,132.95800127301897,4.310920984642325,-9.418991088867188
2024-08-14,MSTR,Technology,Software Application,71.807B,136.3699951171875,137.39999389648438,129.3300018310547,130.3699951171875,130.3699951171875,8535900,8,0.9403017663038694,65,0.123076923076923,68287200,1.0,-0.037007014218693235,132.88228716169084,4.357493383608453,-0.529998779296875
