Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
2024-08-01,NCNO,Technology,Software Application,4.648B,32.939998626708984,33.071998596191406,32.02000045776367,32.13999938964844,32.13999938964844,948400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.13999938964844,32.13999938964844,32.13999938964844,0.0168525801351122,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59
2024-08-02,NCNO,Technology,Software Application,4.648B,31.18000030517578,31.68000030517578,30.329999923706055,31.450000762939453,31.450000762939453,1133400,0.0,0.0,0.0,0.0,0.0,0.0,-0.0214685326637317,31.795000076293945,0.4879027079553281,31.450000762939453,0.0151805450286495,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39
2024-08-05,NCNO,Technology,Software Application,4.648B,30.030000686645508,31.010000228881836,29.829999923706055,30.729999542236328,30.729999542236328,1328100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0228935199757315,31.43999989827474,0.7050531223929681,30.729999542236328,0.0144537624793764,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57
2024-08-06,NCNO,Technology,Software Application,4.648B,30.899999618530273,31.350000381469727,30.739999771118164,30.989999771118164,30.989999771118164,599100,0.0,0.0,0.0,0.0,0.0,0.0,0.0084607950782584,31.327499866485596,0.6180816819328568,30.989999771118164,0.0147830102226034,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71
2024-08-07,NCNO,Technology,Software Application,4.648B,31.34000015258789,32.040000915527344,31.06999969482422,31.450000762939453,31.450000762939453,778500,0.0,0.0,0.0,0.0,0.0,0.0,0.0148435300167377,31.352000045776368,0.538070644137098,31.450000762939453,0.0157271540794678,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85
2024-08-08,NCNO,Technology,Software Application,4.648B,31.850000381469727,32.33000183105469,31.600000381469727,32.099998474121094,32.099998474121094,694600,0.0,0.0,0.0,0.0,0.0,0.0,0.0206676532722884,31.47666645050049,0.5699704284142463,32.099998474121094,0.0166645375100316,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79
2024-08-09,NCNO,Technology,Software Application,4.648B,32.2400016784668,32.375,32.0099983215332,32.099998474121094,32.099998474121094,593800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.56571388244629,0.5711637450637604,32.099998474121094,0.014446103764141,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37
2024-08-12,NCNO,Technology,Software Application,4.648B,32.040000915527344,32.15999984741211,31.450000762939453,31.549999237060547,31.549999237060547,286000,0.0,0.0,0.0,0.0,0.0,0.0,-0.017133933433173,31.481428146362305,0.5128486864560537,-0.5900001525878906,0.0158629906734244,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71
2024-08-13,NCNO,Technology,Software Application,4.648B,31.709999084472656,32.36000061035156,31.709999084472656,32.349998474121094,32.349998474121094,500300,0.0,0.0,0.0,0.0,0.0,0.0,0.0253565532933774,31.60999924795968,0.6076999928515525,0.8999977111816406,0.0186035171791611,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12
2024-08-14,NCNO,Technology,Software Application,4.648B,33.630001068115234,33.803001403808594,32.88999938964844,33.099998474121094,33.099998474121094,1736900,0.0,0.0,0.0,0.0,0.0,0.0,0.0231839269049727,31.94857052394322,0.6902994926492944,2.3699989318847656,0.0181438412621641,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19
