Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
2024-08-01,NOW,Technology,Software Application,208.667B,818.8599853515625,838.5900268554688,802.1199951171875,811.3800048828125,811.3800048828125,1338300,-1.0,0.5844649076461792,1.0,-1.0,-1338300.0,1.0,0.0,811.3800048828125,811.3800048828125,811.3800048828125,0.0202725119723591,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59
2024-08-02,NOW,Technology,Software Application,208.667B,790.8599853515625,793.1300048828125,765.4600219726562,790.6400146484375,790.6400146484375,1568900,-1.0,0.9999889135360718,1.0,-1.0,-1568900.0,1.1723081521333034,-0.0255613770484404,801.010009765625,14.665387736469336,790.6400146484375,0.0180746230474183,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39
2024-08-05,NOW,Technology,Software Application,208.667B,757.0399780273438,790.9500122070312,746.0999755859375,781.27001953125,781.27001953125,2019700,-1.0,0.7205401659011841,1.0,-1.0,-2019700.0,1.5091534035716954,-0.0118511521597524,794.4300130208334,15.408629731903476,781.27001953125,0.012897856198353,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57
2024-08-06,NOW,Technology,Software Application,208.667B,787.0,814.2899780273438,781.280029296875,792.9500122070312,792.9500122070312,1545800,0.0,0.993657648563385,1.0,0.0,0.0,0.0,0.0149500075310569,794.0600128173828,12.602837540760952,792.9500122070312,0.015522487634469,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71
2024-08-07,NOW,Technology,Software Application,208.667B,805.6400146484375,816.5399780273438,774.9299926757812,776.280029296875,776.280029296875,1062400,0.0,0.0,0.0,0.0,0.0,0.0,-0.0210227412239497,790.5040161132813,13.50367351341909,776.280029296875,0.0158842012527471,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85
2024-08-08,NOW,Technology,Software Application,208.667B,792.0,802.7000122070312,786.77001953125,796.1400146484375,796.1400146484375,1449100,1.0,1.0,1.0,1.0,1449100.0,1.0,0.0255835324909117,791.443349202474,12.29526081871901,796.1400146484375,0.0205855554240905,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79
2024-08-09,NOW,Technology,Software Application,208.667B,796.1400146484375,816.010009765625,796.1400146484375,811.0800170898438,811.0800170898438,799500,0.0,0.0,0.0,0.0,0.0,0.0,0.0187655464698675,794.2485874720982,13.455979999458362,811.0800170898438,0.0194620285417897,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37
2024-08-12,NOW,Technology,Software Application,208.667B,811.0800170898438,814.8300170898438,800.0700073242188,806.6199951171875,806.6199951171875,539600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054988680261891,793.568586077009,12.534684132534863,-4.760009765625,0.0175435718348127,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71
2024-08-13,NOW,Technology,Software Application,208.667B,812.0,822.8699951171875,810.5999755859375,818.7999877929688,818.7999877929688,765800,0.0,0.0,0.0,0.0,0.0,0.0,0.015100038121435,797.5914393833706,15.585642424375116,28.15997314453125,0.016189039446894,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12
2024-08-14,NOW,Technology,Software Application,208.667B,822.0,827.0499877929688,815.5,819.02001953125,819.02001953125,832900,1.0,0.9999998807907104,1.0,1.0,832900.0,0.5747705472362156,0.0002687246477304,802.9842965262277,15.527869797587227,37.75,0.0142384949122674,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19
2024-08-15,NOW,Technology,Software Application,208.667B,825.0,835.0,823.6799926757812,832.1099853515625,832.1099853515625,1165600,0.0,0.8107872903347015,2.0,0.0,0.0,0.0,0.0159824735759259,808.5785784040179,18.14403208752807,39.15997314453125,0.0134370306900525,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23
2024-08-16,NOW,Technology,Software Application,208.667B,829.25,831.0399780273438,823.8499755859375,827.5599975585938,827.5599975585938,835500,0.0,0.9996471405029296,1.0,0.0,0.0,0.0,-0.0054680124900152,815.9042881556919,12.36036162830103,51.27996826171875,0.0130917449036985,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8
2024-08-19,NOW,Technology,Software Application,208.667B,825.9199829101562,833.719970703125,821.1900024414062,832.8800048828125,832.8800048828125,641500,0.0,0.0,0.0,0.0,0.0,0.0,0.0064285457730115,821.1528581891741,10.176666750051083,36.739990234375,0.0113826547098732,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65
2024-08-20,NOW,Technology,Software Application,208.667B,835.0,843.260009765625,832.0800170898438,838.219970703125,838.219970703125,784700,1.0,0.9921649396419524,2.0,0.5,784700.0,0.942129907551927,0.0064114467738529,825.0299944196429,10.84732056895294,27.13995361328125,0.0098867578154758,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,14.89,15.93,14.78,15.88
2024-08-21,NOW,Technology,Software Application,208.667B,833.530029296875,840.4199829101562,830.0,839.1799926757812,839.1799926757812,609900,0.0,0.9993964433670044,1.0,0.0,0.0,0.0,0.0011453103078074,829.6814226422991,8.324963122164842,32.55999755859375,0.0087639035360434,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.25,17.17,15.92,16.27
2024-08-22,NOW,Technology,Software Application,208.667B,840.0,842.5499877929688,819.52001953125,820.9299926757812,820.9299926757812,706500,-1.0,0.8207928836345673,2.0,-0.5,-706500.0,-0.8482410853643895,-0.0217474202903821,829.9857090541294,7.888428618849469,2.1300048828125,0.0142946952544944,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,18.06,15.76,17.55
2024-08-23,NOW,Technology,Software Application,208.667B,830.0,834.5,815.0,828.27001953125,828.27001953125,702100,0.0,0.0,0.0,0.0,0.0,0.0,0.0089411118133768,831.3071376255581,6.3749230843610505,9.25,0.0134537947834802,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,17.12,17.21,15.61,15.86
2024-08-26,NOW,Technology,Software Application,208.667B,829.6799926757812,836.760009765625,825.489990234375,827.8599853515625,827.8599853515625,536300,0.0,0.8767635226249695,1.0,0.0,0.0,0.0,-0.0004950489212679,830.6999947684152,6.487112906566136,-4.25,0.0116602198603742,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.67,15.81,16.15
2024-08-27,NOW,Technology,Software Application,208.667B,823.1699829101562,835.7100219726562,823.1699829101562,831.739990234375,831.739990234375,481500,1.0,0.9956217408180236,2.0,0.5,481500.0,0.6136102969287626,0.004686788770404,831.297136579241,6.340633024011315,4.17999267578125,0.0103093712506541,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.21,16.81,15.37,15.43
2024-08-28,NOW,Technology,Software Application,208.667B,831.6900024414062,832.6799926757812,808.9600219726562,814.1099853515625,814.1099853515625,864600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0211965338805515,828.615705217634,8.97945747339139,-18.77001953125,0.0138192236467647,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.51,17.89,15.46,17.11
2024-08-29,NOW,Technology,Software Application,208.667B,822.2999877929688,849.0,822.2999877929688,831.27001953125,831.27001953125,1245600,1.0,0.9801275730133056,1.0,1.0,1245600.0,1.0,0.0210782750346405,827.6228550502232,8.079677673787975,-6.949951171875,0.0168499109492025,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.54,16.57,15.19,15.65
2024-08-30,NOW,Technology,Software Application,208.667B,836.760009765625,857.25,835.8400268554688,855.0,855.0,1921000,2.0,0.9999996423721312,2.0,1.0,3842000.0,1.0,0.0285466574172026,829.8828560965402,12.727100679739602,15.82000732421875,0.0191422854618495,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.67,16.04,14.78,15.0
2024-09-03,NOW,Technology,Software Application,208.667B,856.4000244140625,863.8499755859375,830.8699951171875,835.8599853515625,835.8599853515625,1261500,1.0,0.9988053441047668,2.0,0.5,1261500.0,0.3283446121811556,-0.0223859820449561,832.0157121930804,12.217496573043713,14.92999267578125,0.0220439452899682,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.76,21.99,15.71,20.72
2024-09-04,NOW,Technology,Software Application,208.667B,829.719970703125,836.4000244140625,821.239990234375,834.8300170898438,834.8300170898438,708900,0.0,0.9993807077407836,1.0,0.0,0.0,0.0,-0.0012322258270152,832.9528547014509,12.13360197304782,6.55999755859375,0.0191169644472749,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,23.2,23.31,19.34,21.32
2024-09-05,NOW,Technology,Software Application,208.667B,826.6500244140625,840.3599853515625,825.0499877929688,835.4000244140625,835.4000244140625,788900,0.0,0.999997615814209,1.0,0.0,0.0,0.0,0.0006827824976942,834.0300031389509,11.939258499690064,7.5400390625,0.0165563876891556,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,20.75,21.53,19.21,19.9
2024-09-06,NOW,Technology,Software Application,208.667B,839.010009765625,848.4199829101562,818.97998046875,825.0399780273438,825.0399780273438,1070800,0.0,0.9966701865196228,1.0,0.0,0.0,0.0,-0.0124013000765532,833.0728585379464,12.412620412494894,-6.70001220703125,0.0155477668670014,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.98,23.76,18.83,22.38
2024-09-09,NOW,Technology,Software Application,208.667B,833.489990234375,857.0,826.969970703125,855.5800170898438,855.5800170898438,1129100,0.0,0.9780932664871216,4.0,0.0,0.0,0.0,0.037016435416282,838.9971487862723,11.731297136297432,41.47003173828125,0.0229652267822388,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.32,21.41,19.29,19.45
2024-09-10,NOW,Technology,Software Application,208.667B,860.7100219726562,866.4500122070312,847.489990234375,860.1500244140625,860.1500244140625,883900,1.0,0.9899939149618148,4.0,0.25,883900.0,0.230062467464862,0.0053414142838013,843.1228637695312,13.505091305009897,28.8800048828125,0.0199071302379543,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.86,20.74,18.9,19.08
2024-09-11,NOW,Technology,Software Application,208.667B,858.27001953125,877.6199951171875,841.8499755859375,875.9600219726562,875.9600219726562,1002400,0.0,0.0,0.0,0.0,0.0,0.0,0.0183805116663962,846.1171526227679,18.11434597496114,20.96002197265625,0.0180816554501318,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.41,21.41,17.55,17.69
2024-09-12,NOW,Technology,Software Application,208.667B,880.030029296875,889.52001953125,871.280029296875,886.1300048828125,886.1300048828125,941700,1.0,0.9126577178637186,3.0,0.3333333333333333,941700.0,1.0,0.0116100993824506,853.298583984375,22.743443565666286,50.27001953125,0.0156863242053707,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.62,18.59,16.89,17.07
2024-09-13,NOW,Technology,Software Application,208.667B,881.77001953125,884.5,872.8800048828125,878.9500122070312,878.9500122070312,912900,1.0,0.9856246411800385,2.0,0.5,912900.0,0.9694170117871934,-0.0081026402855309,859.6014404296875,22.88526149614151,44.1199951171875,0.0160396506150603,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.03,17.18,16.23,16.56
2024-09-16,NOW,Technology,Software Application,208.667B,885.0,897.989990234375,879.72998046875,892.4600219726562,892.4600219726562,1082300,0.0,0.8509064018726349,2.0,0.0,0.0,0.0,0.015370623559924,867.7528686523438,22.990101246157405,57.05999755859375,0.0146271642363347,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.16,17.69,16.91,17.14
2024-09-17,NOW,Technology,Software Application,208.667B,890.6500244140625,899.6099853515625,882.7999877929688,885.8300170898438,885.8300170898438,1033900,-1.0,0.9930808345476786,3.0,-0.3333333333333333,-1033900.0,-1.097908038653499,-0.0074289096649481,876.4371599469866,13.818721569596129,60.7900390625,0.0145838082429542,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.16,18.08,16.67,17.61
2024-09-18,NOW,Technology,Software Application,208.667B,887.760009765625,899.7100219726562,882.2999877929688,890.3900146484375,890.3900146484375,981200,0.0,0.0,0.0,0.0,0.0,0.0,0.0051477117173952,881.4100167410714,11.047616697756816,34.80999755859375,0.0126384070418445,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.58,19.39,17.11,18.23
2024-09-19,NOW,Technology,Software Application,208.667B,908.0,921.969970703125,902.8599853515624,919.25,919.25,1484300,1.0,0.9973669052124025,2.0,0.5,1484300.0,1.0,0.0324127459616194,889.8528703962054,14.219725868201442,59.0999755859375,0.0170697180996127,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.21,17.27,16.21,16.33
2024-09-20,NOW,Technology,Software Application,208.667B,920.4199829101562,940.1199951171876,917.3099975585938,937.3599853515624,937.3599853515624,3609200,0.0,0.9885374506314596,6.0,0.0,0.0,0.0,0.0197008271433911,898.6242937360491,21.364118223535797,61.399963378906136,0.0152831696858105,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,16.35,16.68,15.81,16.15
2024-09-23,NOW,Technology,Software Application,208.667B,936.8800048828124,945.4600219726562,922.9199829101562,925.5499877929688,925.5499877929688,1213000,-1.0,0.8675526777903239,3.0,-0.3333333333333333,-1213000.0,-0.8172202384962609,-0.0125992124084155,904.2557198660714,22.67689098880444,39.41998291015625,0.0179992290619098,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,16.71,16.95,15.75,15.89
2024-09-24,NOW,Technology,Software Application,208.667B,925.5499877929688,926.9199829101562,907.489990234375,923.5999755859376,923.5999755859376,1001300,-1.0,0.9981217086315156,2.0,-0.5,-1001300.0,-0.6745940847537559,-0.0021068686000212,910.634286063058,20.55264359165711,44.64996337890637,0.0161544568883854,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.87,16.67,15.27,15.39
2024-09-25,NOW,Technology,Software Application,208.667B,898.469970703125,901.0,886.510009765625,890.030029296875,890.030029296875,2288800,2.0,0.9645063281059264,14.0,0.1428571428571428,4577600.0,1.0,-0.0363468462282771,910.287144252232,20.927871850857453,-2.42999267578125,0.0237524370893055,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.82,15.82,15.17,15.41
2024-09-26,NOW,Technology,Software Application,208.667B,893.6500244140625,894.219970703125,871.4299926757812,884.8599853515625,884.8599853515625,1599500,-1.0,0.9168086051940918,3.0,-0.3333333333333333,-1599500.0,-0.3494189094722125,-0.0058088421459181,910.1485682896206,21.11914549595635,-0.97003173828125,0.0205705271101908,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.06,15.83,14.9,15.37
