Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-01,NTAP,Technology,Computer Hardware,24.003B,126.43000030517578,128.1199951171875,121.37000274658203,121.9908447265625,121.9908447265625,1801000
2024-08-02,NTAP,Technology,Computer Hardware,24.003B,120.20999908447266,120.58000183105469,117.61000061035156,118.5455093383789,118.5455093383789,2385900
2024-08-05,NTAP,Technology,Computer Hardware,24.003B,113.81999969482422,116.02999877929688,113.18000030517578,115.12008666992188,115.12008666992188,2204600
2024-08-06,NTAP,Technology,Computer Hardware,24.003B,116.29000091552734,118.86000061035156,115.80999755859375,116.58385467529297,116.58385467529297,1561400
2024-08-07,NTAP,Technology,Computer Hardware,24.003B,118.16999816894531,119.87999725341797,115.91999816894531,115.73745727539062,115.73745727539062,1859200
2024-08-08,NTAP,Technology,Computer Hardware,24.003B,117.94999694824219,119.37999725341797,116.2300033569336,118.71479034423828,118.71479034423828,1186000
2024-08-09,NTAP,Technology,Computer Hardware,24.003B,118.80999755859375,122.80999755859375,118.01000213623047,121.9709243774414,121.9709243774414,1300100
2024-08-12,NTAP,Technology,Computer Hardware,24.003B,122.48999786376953,124.02999877929688,122.38999938964844,122.40906524658203,122.40906524658203,1169500
2024-08-13,NTAP,Technology,Computer Hardware,24.003B,123.83999633789062,126.54000091552734,123.7300033569336,125.33660888671875,125.33660888671875,1492200
2024-08-14,NTAP,Technology,Computer Hardware,24.003B,126.27999877929688,127.73999786376953,126.18000030517578,126.57135009765625,126.57135009765625,1163100
2024-08-15,NTAP,Technology,Computer Hardware,24.003B,128.8300018310547,131.5800018310547,128.7899932861328,130.87303161621094,130.87303161621094,1888500
2024-08-16,NTAP,Technology,Computer Hardware,24.003B,130.66000366210938,131.44000244140625,129.3800048828125,129.94699096679688,129.94699096679688,1374900
2024-08-19,NTAP,Technology,Computer Hardware,24.003B,129.94000244140625,131.9499969482422,129.58999633789062,131.1418914794922,131.1418914794922,1459000
2024-08-20,NTAP,Technology,Computer Hardware,24.003B,131.75,132.10000610351562,131.11000061035156,130.83322143554688,130.83322143554688,1404600
2024-08-21,NTAP,Technology,Computer Hardware,24.003B,131.91000366210938,133.86000061035156,131.60000610351562,132.84466552734375,132.84466552734375,1074000
2024-08-22,NTAP,Technology,Computer Hardware,24.003B,133.4199981689453,134.3699951171875,131.24000549316406,131.07220458984375,131.07220458984375,1177500
2024-08-23,NTAP,Technology,Computer Hardware,24.003B,133.00999450683594,133.5500030517578,132.24000549316406,132.55587768554688,132.55587768554688,1223800
2024-08-26,NTAP,Technology,Computer Hardware,24.003B,132.6699981689453,133.75,131.75,131.93850708007812,131.93850708007812,981000
2024-08-27,NTAP,Technology,Computer Hardware,24.003B,131.5500030517578,133.3000030517578,130.82000732421875,132.55587768554688,132.55587768554688,1878600
2024-08-28,NTAP,Technology,Computer Hardware,24.003B,131.24000549316406,133.64999389648438,130.99000549316406,131.35101318359375,131.35101318359375,1916300
2024-08-29,NTAP,Technology,Computer Hardware,24.003B,125.08000183105469,126.11000061035156,119.1500015258789,118.69486999511719,118.69486999511719,4074400
2024-08-30,NTAP,Technology,Computer Hardware,24.003B,119.69999694824219,121.11000061035156,118.29000091552734,120.20843505859375,120.20843505859375,3020400
2024-09-03,NTAP,Technology,Computer Hardware,24.003B,122.69999694824219,122.73999786376953,118.02999877929688,118.44593048095703,118.44593048095703,2571600
2024-09-04,NTAP,Technology,Computer Hardware,24.003B,118.3499984741211,119.25,116.69000244140625,118.57538604736328,118.57538604736328,1519400
2024-09-05,NTAP,Technology,Computer Hardware,24.003B,117.88999938964844,118.52999877929688,115.94999694824219,116.32495880126953,116.32495880126953,2455600
2024-09-06,NTAP,Technology,Computer Hardware,24.003B,116.63999938964844,117.56999969482422,113.68000030517578,113.6961441040039,113.6961441040039,1730700
2024-09-09,NTAP,Technology,Computer Hardware,24.003B,115.6500015258789,116.2300033569336,114.0999984741211,114.11436462402344,114.11436462402344,2272200
2024-09-10,NTAP,Technology,Computer Hardware,24.003B,114.69000244140625,115.30000305175781,113.52999877929688,114.48279571533203,114.48279571533203,1388300
2024-09-11,NTAP,Technology,Computer Hardware,24.003B,115.1500015258789,115.8499984741211,112.87000274658203,115.15991973876953,115.15991973876953,1717500
2024-09-12,NTAP,Technology,Computer Hardware,24.003B,115.83000183105469,117.27999877929688,114.9800033569336,115.96648406982422,115.96648406982422,1588000
2024-09-13,NTAP,Technology,Computer Hardware,24.003B,116.41999816894531,118.12000274658203,116.12999725341797,116.82283782958984,116.82283782958984,1529300
2024-09-16,NTAP,Technology,Computer Hardware,24.003B,116.48999786376953,118.06999969482422,116.01000213623047,117.36054992675781,117.36054992675781,1444300
2024-09-17,NTAP,Technology,Computer Hardware,24.003B,118.7699966430664,120.31999969482422,118.29000091552734,118.53555297851562,118.53555297851562,1218600
2024-09-18,NTAP,Technology,Computer Hardware,24.003B,119.72000122070312,121.2699966430664,118.95999908447266,118.84423828125,118.84423828125,1204000
2024-09-19,NTAP,Technology,Computer Hardware,24.003B,122.0,122.01000213623047,119.9000015258789,119.5711441040039,119.5711441040039,1219400
2024-09-20,NTAP,Technology,Computer Hardware,24.003B,119.77999877929688,122.2699966430664,119.66000366210938,121.70207214355469,121.70207214355469,3193700
2024-09-23,NTAP,Technology,Computer Hardware,24.003B,122.72000122070312,123.16000366210938,121.77999877929688,122.39910888671875,122.39910888671875,1321000
2024-09-24,NTAP,Technology,Computer Hardware,24.003B,123.5999984741211,123.73999786376953,121.63999938964844,122.4289779663086,122.4289779663086,1693400
2024-09-25,NTAP,Technology,Computer Hardware,24.003B,122.8499984741211,123.4000015258789,121.1500015258789,121.16436004638672,121.16436004638672,1511300
2024-09-26,NTAP,Technology,Computer Hardware,24.003B,123.5,125.04000091552734,123.12999725341797,123.92262268066406,123.92262268066406,1619900
2024-09-27,NTAP,Technology,Computer Hardware,24.003B,124.44999694824219,124.69000244140625,121.0999984741211,120.72622680664062,120.72622680664062,1302100
2024-09-30,NTAP,Technology,Computer Hardware,24.003B,121.26000213623047,123.68000030517578,121.12000274658203,122.98661041259766,122.98661041259766,1673000
2024-10-01,NTAP,Technology,Computer Hardware,24.003B,123.51000213623047,123.7300033569336,120.91999816894531,120.79592895507812,120.79592895507812,1366000
2024-10-02,NTAP,Technology,Computer Hardware,24.003B,121.26000213623047,124.18000030517578,121.26000213623047,122.4986801147461,122.4986801147461,1122500
2024-10-03,NTAP,Technology,Computer Hardware,24.003B,122.41000366210938,123.44999694824219,121.91999816894531,122.18999481201172,122.18999481201172,999200
2024-10-04,NTAP,Technology,Computer Hardware,24.003B,123.91000366210938,123.91000366210938,122.0999984741211,123.38999938964844,123.38999938964844,845000
