Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-08-01,PAGS,Technology,Software Infrastructure,2.438B,12.829999923706056,12.963000297546388,12.350000381469728,12.390000343322754,12.390000343322754,2344700,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-02,PAGS,Technology,Software Infrastructure,2.438B,12.029999732971191,12.154999732971191,11.835000038146973,12.039999961853027,12.039999961853027,2646900,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,PAGS,Technology,Software Infrastructure,2.438B,11.31999969482422,11.8149995803833,11.220000267028809,11.75,11.75,2695400,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,PAGS,Technology,Software Infrastructure,2.438B,11.729999542236328,12.0,11.640000343322754,11.699999809265137,11.699999809265137,3182200,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,PAGS,Technology,Software Infrastructure,2.438B,11.949999809265137,12.03499984741211,11.579999923706056,11.619999885559082,11.619999885559082,2128100,0.0,0.999976634979248,1.0,0.0,0.0,0.0
2024-08-08,PAGS,Technology,Software Infrastructure,2.438B,11.739999771118164,12.329999923706056,11.670000076293944,12.210000038146973,12.210000038146973,2917500,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,PAGS,Technology,Software Infrastructure,2.438B,12.25,12.640000343322754,12.170000076293944,12.520000457763672,12.520000457763672,2640400,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,PAGS,Technology,Software Infrastructure,2.438B,12.529999732971191,12.65999984741211,12.369999885559082,12.420000076293944,12.420000076293944,1851900,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,PAGS,Technology,Software Infrastructure,2.438B,12.770000457763672,13.005000114440918,12.664999961853027,12.850000381469728,12.850000381469728,2455300,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,PAGS,Technology,Software Infrastructure,2.438B,12.9399995803833,13.15999984741211,12.869999885559082,13.130000114440918,13.130000114440918,2729700,0.0,0.9982020854949952,1.0,0.0,0.0,0.0
2024-08-15,PAGS,Technology,Software Infrastructure,2.438B,13.359999656677246,13.970000267028809,13.300000190734863,13.890000343322754,13.890000343322754,4514200,0.0,0.9999903440475464,1.0,0.0,0.0,0.0
2024-08-16,PAGS,Technology,Software Infrastructure,2.438B,13.890000343322754,14.40999984741211,13.890000343322754,14.170000076293944,14.170000076293944,3920400,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-19,PAGS,Technology,Software Infrastructure,2.438B,14.239999771118164,14.739999771118164,14.239999771118164,14.600000381469728,14.600000381469728,4854800,0.0,0.9960004687309264,1.0,0.0,0.0,0.0
2024-08-20,PAGS,Technology,Software Infrastructure,2.438B,14.600000381469728,14.81999969482422,14.5,14.59000015258789,14.59000015258789,5190100,0.0,0.9880415797233582,2.0,0.0,0.0,0.0
2024-08-21,PAGS,Technology,Software Infrastructure,2.438B,13.75,14.005000114440918,12.43000030517578,12.470000267028809,12.470000267028809,11705300,2.0,0.9457011222839355,18.0,0.1111111111111111,23410600.0,1.0
2024-08-22,PAGS,Technology,Software Infrastructure,2.438B,12.5600004196167,12.574999809265137,11.619999885559082,11.729999542236328,11.729999542236328,9475100,0.0,0.9446332097053528,10.0,0.0,0.0,0.0
2024-08-23,PAGS,Technology,Software Infrastructure,2.438B,11.800000190734863,11.970000267028809,11.399999618530272,11.739999771118164,11.739999771118164,11750000,-1.0,0.9643550117810568,6.0,-0.1666666666666666,-11750000.0,-0.5019093914722391
2024-08-26,PAGS,Technology,Software Infrastructure,2.438B,11.75,11.904999732971191,11.295000076293944,11.3100004196167,11.3100004196167,9440000,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,PAGS,Technology,Software Infrastructure,2.438B,11.050000190734863,11.30500030517578,10.869999885559082,10.989999771118164,10.989999771118164,8621300,-3.0,0.8738612830638885,6.0,-0.5,-25863900.0,-1.1047944093701143
