Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-01,PANW,Technology,Software Infrastructure,126.646B,323.4100036621094,325.6400146484375,312.3699951171875,315.6199951171875,315.6199951171875,3358800
2024-08-02,PANW,Technology,Software Infrastructure,126.646B,305.9200134277344,309.0,299.54998779296875,305.6000061035156,305.6000061035156,3524600
2024-08-05,PANW,Technology,Software Infrastructure,126.646B,287.2099914550781,301.3999938964844,284.0199890136719,294.17999267578125,294.17999267578125,4480200
2024-08-06,PANW,Technology,Software Infrastructure,126.646B,300.1199951171875,305.3399963378906,294.8500061035156,301.92999267578125,301.92999267578125,3220800
2024-08-07,PANW,Technology,Software Infrastructure,126.646B,311.1499938964844,314.7799987792969,304.1700134277344,304.2099914550781,304.2099914550781,3566200
2024-08-08,PANW,Technology,Software Infrastructure,126.646B,311.70001220703125,317.80999755859375,306.3500061035156,317.3699951171875,317.3699951171875,2219300
2024-08-09,PANW,Technology,Software Infrastructure,126.646B,318.1600036621094,333.1400146484375,317.489990234375,331.4800109863281,331.4800109863281,2820100
2024-08-12,PANW,Technology,Software Infrastructure,126.646B,330.6700134277344,332.42999267578125,325.1499938964844,331.1000061035156,331.1000061035156,2039600
2024-08-13,PANW,Technology,Software Infrastructure,126.646B,331.3500061035156,336.0799865722656,330.5199890136719,333.2300109863281,333.2300109863281,3498100
2024-08-14,PANW,Technology,Software Infrastructure,126.646B,335.989990234375,344.3299865722656,335.510009765625,339.9100036621094,339.9100036621094,2673300
2024-08-15,PANW,Technology,Software Infrastructure,126.646B,340.510009765625,345.7799987792969,340.0899963378906,343.2699890136719,343.2699890136719,3179300
2024-08-16,PANW,Technology,Software Infrastructure,126.646B,338.4800109863281,340.1300048828125,332.7200012207031,334.1099853515625,334.1099853515625,4533400
2024-08-19,PANW,Technology,Software Infrastructure,126.646B,336.0,344.4800109863281,335.1099853515625,343.3599853515625,343.3599853515625,8062300
2024-08-20,PANW,Technology,Software Infrastructure,126.646B,348.69000244140625,375.3699951171875,348.0,368.010009765625,368.010009765625,12853000
2024-08-21,PANW,Technology,Software Infrastructure,126.646B,364.30999755859375,368.5899963378906,358.5299987792969,359.75,359.75,5009300
2024-08-22,PANW,Technology,Software Infrastructure,126.646B,359.3500061035156,359.3599853515625,348.8299865722656,349.4800109863281,349.4800109863281,3074600
2024-08-23,PANW,Technology,Software Infrastructure,126.646B,351.20001220703125,355.1400146484375,346.2300109863281,350.75,350.75,3506700
2024-08-26,PANW,Technology,Software Infrastructure,126.646B,349.7300109863281,354.6400146484375,345.4700012207031,347.1199951171875,347.1199951171875,3481400
2024-08-27,PANW,Technology,Software Infrastructure,126.646B,344.25,351.3399963378906,343.3599853515625,350.19000244140625,350.19000244140625,1736500
2024-08-28,PANW,Technology,Software Infrastructure,126.646B,349.4700012207031,352.7799987792969,346.0799865722656,350.44000244140625,350.44000244140625,1653300
2024-08-29,PANW,Technology,Software Infrastructure,126.646B,352.9200134277344,366.04998779296875,352.2200012207031,358.2099914550781,358.2099914550781,2728500
2024-08-30,PANW,Technology,Software Infrastructure,126.646B,358.4200134277344,362.9700012207031,354.57000732421875,362.7200012207031,362.7200012207031,2988600
2024-09-03,PANW,Technology,Software Infrastructure,126.646B,359.54998779296875,365.5,352.95001220703125,355.07000732421875,355.07000732421875,2615800
