Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-01,PAYO,,Software Infrastructure,3.698B,5.519999980926514,5.619999885559082,5.510000228881836,5.610000133514404,5.610000133514404,4069700
2024-08-02,PAYO,,Software Infrastructure,3.698B,5.429999828338623,5.599999904632568,5.369999885559082,5.380000114440918,5.380000114440918,4336600
2024-08-05,PAYO,,Software Infrastructure,3.698B,5.070000171661377,5.340000152587891,5.03000020980835,5.210000038146973,5.210000038146973,4374000
2024-08-06,PAYO,,Software Infrastructure,3.698B,5.210000038146973,5.289999961853027,5.15500020980835,5.25,5.25,4325500
2024-08-07,PAYO,,Software Infrastructure,3.698B,5.900000095367432,6.559999942779541,5.809999942779541,6.46999979019165,6.46999979019165,14463600
2024-08-08,PAYO,,Software Infrastructure,3.698B,6.489999771118164,6.71999979019165,6.309999942779541,6.710000038146973,6.710000038146973,5964200
2024-08-09,PAYO,,Software Infrastructure,3.698B,6.710000038146973,6.840000152587891,6.610000133514404,6.730000019073486,6.730000019073486,4088900
2024-08-12,PAYO,,Software Infrastructure,3.698B,6.699999809265137,7.199999809265137,6.690000057220459,6.920000076293945,6.920000076293945,9044300
2024-08-13,PAYO,,Software Infrastructure,3.698B,6.889999866485596,7.159999847412109,6.85099983215332,7.099999904632568,7.099999904632568,5542800
2024-08-14,PAYO,,Software Infrastructure,3.698B,7.090000152587891,7.139999866485596,6.75,6.860000133514404,6.860000133514404,3089400
2024-08-15,PAYO,,Software Infrastructure,3.698B,6.920000076293945,7.039999961853027,6.804999828338623,7.0,7.0,3766000
2024-08-16,PAYO,,Software Infrastructure,3.698B,6.949999809265137,7.190000057220459,6.920000076293945,7.139999866485596,7.139999866485596,3098500
2024-08-19,PAYO,,Software Infrastructure,3.698B,7.119999885559082,7.210000038146973,7.019999980926514,7.139999866485596,7.139999866485596,2955400
2024-08-20,PAYO,,Software Infrastructure,3.698B,7.159999847412109,7.179999828338623,6.940000057220459,6.949999809265137,6.949999809265137,2688600
2024-08-21,PAYO,,Software Infrastructure,3.698B,6.940000057220459,7.0,6.900000095367432,6.960000038146973,6.960000038146973,1959900
2024-08-22,PAYO,,Software Infrastructure,3.698B,6.940000057220459,7.005000114440918,6.880000114440918,6.960000038146973,6.960000038146973,1715900
2024-08-23,PAYO,,Software Infrastructure,3.698B,7.010000228881836,7.079999923706055,6.934999942779541,7.03000020980835,7.03000020980835,1926200
2024-08-26,PAYO,,Software Infrastructure,3.698B,7.039999961853027,7.190000057220459,7.019999980926514,7.130000114440918,7.130000114440918,2236500
2024-08-27,PAYO,,Software Infrastructure,3.698B,7.099999904632568,7.230000019073486,7.099999904632568,7.21999979019165,7.21999979019165,1918200
2024-08-28,PAYO,,Software Infrastructure,3.698B,7.179999828338623,7.179999828338623,7.019999980926514,7.099999904632568,7.099999904632568,1461300
2024-08-29,PAYO,,Software Infrastructure,3.698B,7.159999847412109,7.434999942779541,7.119999885559082,7.389999866485596,7.389999866485596,2797400
2024-08-30,PAYO,,Software Infrastructure,3.698B,7.369999885559082,7.570000171661377,7.340000152587891,7.429999828338623,7.429999828338623,4060200
2024-09-03,PAYO,,Software Infrastructure,3.698B,7.340000152587891,7.460000038146973,7.170000076293945,7.210000038146973,7.210000038146973,2111500
2024-09-04,PAYO,,Software Infrastructure,3.698B,7.139999866485596,7.199999809265137,7.039999961853027,7.079999923706055,7.079999923706055,1786100
2024-09-05,PAYO,,Software Infrastructure,3.698B,7.090000152587891,7.119999885559082,6.980000019073486,7.059999942779541,7.059999942779541,1459800
2024-09-06,PAYO,,Software Infrastructure,3.698B,7.070000171661377,7.135000228881836,6.885000228881836,7.019999980926514,7.019999980926514,1844000
2024-09-09,PAYO,,Software Infrastructure,3.698B,7.019999980926514,7.159999847412109,6.940000057220459,7.139999866485596,7.139999866485596,2715800
2024-09-10,PAYO,,Software Infrastructure,3.698B,7.190000057220459,7.190000057220459,6.85099983215332,7.119999885559082,7.119999885559082,2248000
2024-09-11,PAYO,,Software Infrastructure,3.698B,7.099999904632568,7.260000228881836,7.050000190734863,7.21999979019165,7.21999979019165,2319100
2024-09-12,PAYO,,Software Infrastructure,3.698B,7.21999979019165,7.590000152587891,7.135000228881836,7.480000019073486,7.480000019073486,3227400
2024-09-13,PAYO,,Software Infrastructure,3.698B,7.489999771118164,7.510000228881836,7.269999980926514,7.380000114440918,7.380000114440918,2706700
2024-09-16,PAYO,,Software Infrastructure,3.698B,7.380000114440918,7.454999923706055,7.25,7.389999866485596,7.389999866485596,1944800
2024-09-17,PAYO,,Software Infrastructure,3.698B,7.460000038146973,7.610000133514404,7.420000076293945,7.460000038146973,7.460000038146973,2622200
2024-09-18,PAYO,,Software Infrastructure,3.698B,7.489999771118164,7.644999980926514,7.420000076293945,7.420000076293945,7.420000076293945,2227300
2024-09-19,PAYO,,Software Infrastructure,3.698B,7.599999904632568,7.670000076293945,7.489999771118164,7.579999923706055,7.579999923706055,1279800
2024-09-20,PAYO,,Software Infrastructure,3.698B,7.550000190734863,7.650000095367432,7.494999885559082,7.579999923706055,7.579999923706055,4213600
2024-09-23,PAYO,,Software Infrastructure,3.698B,7.599999904632568,7.650000095367432,7.519999980926514,7.610000133514404,7.610000133514404,1447300
