Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class
2024-08-01,PI,Technology,Communication Equipment,4.993B,157.8000030517578,159.02000427246094,143.77999877929688,144.52000427246094,144.52000427246094,563600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.52000427246094,144.52000427246094,144.52000427246094,0.03455720862572454,Medium
2024-08-02,PI,Technology,Communication Equipment,4.993B,137.11000061035156,141.3300018310547,134.5800018310547,139.33999633789062,139.33999633789062,626500,0.0,0.9536250631014506,9.0,0.0,0.0,0.0,-0.03584284376856606,141.93000030517578,3.66281873713479,139.33999633789062,0.025344717885763045,Medium
2024-08-05,PI,Technology,Communication Equipment,4.993B,130.91000366210938,140.5800018310547,129.5500030517578,137.66000366210938,137.66000366210938,470800,0.0,0.0,0.0,0.0,0.0,0.0,-0.01205678713890146,140.5066680908203,3.5757159182209897,137.66000366210938,0.017646463893977348,Medium
2024-08-06,PI,Technology,Communication Equipment,4.993B,138.9600067138672,144.24000549316406,136.60000610351562,140.25,140.25,433100,0.0,0.0,0.0,0.0,0.0,0.0,0.018814443331324204,140.44250106811523,2.922379027280796,140.25,0.020275974561048345,Medium
2024-08-07,PI,Technology,Communication Equipment,4.993B,145.14999389648438,145.2899932861328,137.75,138.47000122070312,138.47000122070312,1078000,0.0,0.0,0.0,0.0,0.0,0.0,-0.012691613399621215,140.04800109863282,2.6801819926874657,138.47000122070312,0.01750500481870452,Medium
2024-08-08,PI,Technology,Communication Equipment,4.993B,143.3300018310547,149.4199981689453,139.8249969482422,148.61000061035156,148.61000061035156,231600,0.0,0.0,0.0,0.0,0.0,0.0,0.07322885318305583,141.4750010172526,4.238475317562464,148.61000061035156,0.04052313818647107,Medium
2024-08-09,PI,Technology,Communication Equipment,4.993B,147.50999450683594,150.63999938964844,146.00999450683594,150.14999389648438,150.14999389648438,294900,0.0,0.0,0.0,0.0,0.0,0.0,0.01036264908019624,142.71428571428572,5.071621710073773,150.14999389648438,0.034699604501630614,Medium
2024-08-12,PI,Technology,Communication Equipment,4.993B,151.97999572753906,156.16000366210938,149.98500061035156,150.92999267578125,150.92999267578125,324100,1.0,0.99914813041687,1.0,1.0,324100.0,1.0,0.0051947972760799654,143.6299983433315,5.953928600140415,6.4099884033203125,0.03009066549585207,Medium
2024-08-13,PI,Technology,Communication Equipment,4.993B,154.8699951171875,159.50999450683594,153.0,155.5500030517578,155.5500030517578,231600,0.0,0.0,0.0,0.0,0.0,0.0,0.030610286889107607,145.94571358816964,7.057386556289886,16.210006713867188,0.027485635015254386,Medium
2024-08-14,PI,Technology,Communication Equipment,4.993B,156.77999877929688,158.63900756835938,152.66000366210938,154.64999389648438,154.64999389648438,168800,0.0,0.0,0.0,0.0,0.0,0.0,-0.005785979669662655,148.37285505022322,6.642221352812769,16.989990234375,0.025890333668220473,Medium
2024-08-15,PI,Technology,Communication Equipment,4.993B,159.94000244140625,163.8800048828125,157.9320068359375,162.5800018310547,162.5800018310547,238600,0.0,0.0,0.0,0.0,0.0,0.0,0.05127713060162353,151.56285531180245,7.408825377003579,22.330001831054688,0.029375487599862818,Medium
2024-08-16,PI,Technology,Communication Equipment,4.993B,162.22000122070312,164.02000427246094,160.6199951171875,160.85000610351562,160.85000610351562,175400,0.0,0.0,0.0,0.0,0.0,0.0,-0.010640888842754381,154.75999886648995,5.363773765018961,22.3800048828125,0.029384729660499476,Medium
2024-08-19,PI,Technology,Communication Equipment,4.993B,161.0,163.38999938964844,160.25,162.92999267578125,162.92999267578125,204100,0.0,0.0,0.0,0.0,0.0,0.0,0.01293121848517087,156.8057120186942,5.3580490572513915,14.319992065429688,0.02543798676230428,Medium
2024-08-20,PI,Technology,Communication Equipment,4.993B,162.6300048828125,163.30499267578125,157.4600067138672,157.6300048828125,157.6300048828125,257400,0.0,0.0,0.0,0.0,0.0,0.0,-0.03252923360473803,157.87428501674108,4.4840471941820965,7.480010986328125,0.03062696991095539,Medium
2024-08-21,PI,Technology,Communication Equipment,4.993B,159.52999877929688,164.72999572753906,159.27499389648438,164.60000610351562,164.60000610351562,259700,0.0,0.0,0.0,0.0,0.0,0.0,0.044217477667940486,159.827144077846,3.893511565637237,13.670013427734377,0.033181270943077525,Medium
2024-08-22,PI,Technology,Communication Equipment,4.993B,164.85000610351562,167.0,157.7100067138672,158.42999267578125,158.42999267578125,234500,0.0,0.0,0.0,0.0,0.0,0.0,-0.037484891852641256,160.2385711669922,3.4983278102060584,2.8799896240234375,0.03696908594495446,Medium
2024-08-23,PI,Technology,Communication Equipment,4.993B,160.52999877929688,165.27000427246094,159.45399475097656,163.6699981689453,163.6699981689453,211800,0.0,0.9603955149650574,1.0,0.0,0.0,0.0,0.03307458016417053,161.52714320591517,2.6567321678709748,9.020004272460938,0.03559488188916055,Medium
2024-08-26,PI,Technology,Communication Equipment,4.993B,162.08999633789062,164.6199951171875,161.27499389648438,162.5,162.5,177800,0.0,0.0,0.0,0.0,0.0,0.0,-0.007148519472320203,161.51571437290735,2.651615218456522,-0.0800018310546875,0.03164266894582584,Medium
2024-08-27,PI,Technology,Communication Equipment,4.993B,160.7899932861328,165.4499969482422,160.3000030517578,164.66000366210938,164.66000366210938,279300,0.0,0.0,0.0,0.0,0.0,0.0,0.013292330228365401,162.05999973842077,2.873906786964685,3.80999755859375,0.027723263169388057,Medium
