Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days)
2024-08-01,PLTR,Technology,Software Infrastructure,149.825B,27.020000457763672,27.53499984741211,25.829999923706055,26.079999923706055,26.079999923706055,31189600,4.0,0.9295865849393312,61.0,0.0655737704918032,124758400.0,1.0,0.0,26.079999923706055,26.079999923706055,26.079999923706055
2024-08-02,PLTR,Technology,Software Infrastructure,149.825B,24.75,24.8700008392334,23.75,24.739999771118164,24.739999771118164,56092600,16.0,0.9458322153263484,194.0,0.0824742268041237,897481600.0,1.0,-0.05138037409922935,25.40999984741211,0.9475231946859058,24.739999771118164
2024-08-05,PLTR,Technology,Software Infrastructure,149.825B,21.739999771118164,24.420000076293945,21.229999542236328,24.09000015258789,24.09000015258789,88023500,57.0,0.953995892867236,710.0,0.080281690140845,5017339500.0,1.0,-0.026273226537742,24.96999994913737,1.0147412644015403,24.09000015258789
2024-08-06,PLTR,Technology,Software Infrastructure,149.825B,27.049999237060547,27.420000076293945,25.56999969482422,26.59000015258789,26.59000015258789,99622700,52.0,0.9537588371441208,441.0,0.1179138321995464,5180380400.0,1.0,0.10377750038044042,25.375,1.1586918143238476,26.59000015258789
2024-08-07,PLTR,Technology,Software Infrastructure,149.825B,27.06999969482422,28.36000061035156,26.239999771118164,26.31999969482422,26.31999969482422,75975400,13.0,0.9489328030576096,235.0,0.0553191489361702,987680200.0,0.1906578520758823,-0.010154210463116264,25.563999938964844,1.0888204282981608,26.31999969482422
2024-08-08,PLTR,Technology,Software Infrastructure,149.825B,27.040000915527344,29.375,26.690000534057617,29.280000686645508,29.280000686645508,96892900,47.0,0.9550468385766404,436.0,0.1077981651376146,4553966300.0,0.8790795170177078,0.11246204506618462,26.18333339691162,1.8027388975826166,29.280000686645508
2024-08-09,PLTR,Technology,Software Infrastructure,149.825B,29.280000686645508,30.36000061035156,29.100000381469727,30.010000228881836,30.010000228881836,88131100,28.0,0.9544632107019424,450.0,0.0622222222222222,2467670800.0,0.476349342994194,0.024931677770392957,26.73000008719308,2.190920864817079,30.010000228881836
2024-08-12,PLTR,Technology,Software Infrastructure,149.825B,30.219999313354492,31.200000762939453,29.270000457763672,29.3799991607666,29.3799991607666,67890300,11.0,0.9555547595024108,165.0,0.0666666666666666,746793300.0,0.1441580043040854,-0.020993037764422184,27.2014285496303,2.375046902216909,3.299999237060547
2024-08-13,PLTR,Technology,Software Infrastructure,149.825B,29.788999557495117,30.850000381469727,29.559999465942383,30.38999938964844,30.38999938964844,57294200,15.0,0.956178500198982,142.0,0.1056338028169014,859413000.0,0.1658976626504107,0.03437713606985304,28.00857135227748,2.359134112672522,5.649999618530277
2024-08-14,PLTR,Technology,Software Infrastructure,149.825B,30.6200008392334,31.3700008392334,30.329999923706055,31.0,31.0,49885600,29.0,0.9662150850608237,168.0,0.1726190476190476,1446682400.0,0.279261808650191,0.020072412721381605,28.99571418762207,1.833274430957904,6.909999847412109
2024-08-15,PLTR,Technology,Software Infrastructure,149.825B,31.309999465942383,31.4950008392334,30.829999923706055,31.219999313354492,31.219999313354492,43407600,-14.0,0.9508888673508304,261.0,-0.053639846743295,-607706400.0,-0.1334455197878825,0.007096752043693311,29.657142639160156,1.6463566827943519,4.629999160766602
2024-08-16,PLTR,Technology,Software Infrastructure,149.825B,31.040000915527344,32.75,30.979999542236328,32.08000183105469,32.08000183105469,64870600,18.0,0.9643470130486196,358.0,0.0502793296089385,1167670800.0,0.2564074310343491,0.02754652583647954,30.48000008719308,1.0211925166379119,5.760002136230469
