Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days)
2024-08-01,QXO,Technology,Software Application,6.305B,12.5,12.699999809265137,12.010000228881836,12.350000381469728,12.350000381469728,4673600,1.0,0.9425441225369772,9.0,0.1111111111111111,4673600.0,1.0,0.0,12.350000381469728,12.350000381469728,12.350000381469728
2024-08-02,QXO,Technology,Software Application,6.305B,11.800000190734863,12.470000267028809,11.279999732971191,11.989999771118164,11.989999771118164,3455500,0.0,0.9822214126586916,5.0,0.0,0.0,0.0,-0.029149846091642173,12.170000076293945,0.25455887281088646,11.989999771118164
2024-08-05,QXO,Technology,Software Application,6.305B,11.25,11.960000038146973,11.050000190734863,11.449999809265137,11.449999809265137,3462300,0.0,0.9283600747585296,2.0,0.0,0.0,0.0,-0.04503752895423685,11.929999987284342,0.45299032885617574,11.449999809265137
2024-08-06,QXO,Technology,Software Application,6.305B,11.899999618530272,12.0,11.210000038146973,11.369999885559082,11.369999885559082,3506400,0.0,0.8423726558685303,2.0,0.0,0.0,0.0,-0.006986893016480256,11.789999961853027,0.463896741931391,11.369999885559082
2024-08-07,QXO,Technology,Software Application,6.305B,11.380000114440918,11.770000457763672,10.609999656677246,10.989999771118164,10.989999771118164,2238400,0.0,0.9963671416044236,4.0,0.0,0.0,0.0,-0.03342129448246978,11.629999923706055,0.537959293456376,10.989999771118164
2024-08-08,QXO,Technology,Software Application,6.305B,11.390000343322754,11.5,10.800000190734863,11.149999618530272,11.149999618530272,1889800,0.0,0.9999639987945556,1.0,0.0,0.0,0.0,0.014558676136881221,11.549999872843424,0.5195384585966738,11.149999618530272
2024-08-09,QXO,Technology,Software Application,6.305B,11.350000381469728,11.5,10.920000076293944,11.15999984741211,11.15999984741211,3446700,0.0,0.9986205101013184,3.0,0.0,0.0,0.0,0.0008968815447507605,11.494285583496094,0.4966508658637238,11.15999984741211
2024-08-12,QXO,Technology,Software Application,6.305B,11.399999618530272,11.399999618530272,10.760000228881836,10.760000228881836,10.760000228881836,1304400,0.0,0.9952555894851683,3.0,0.0,0.0,0.0,-0.035842260214997146,11.267142704554967,0.3927981775529277,-1.5900001525878924
2024-08-13,QXO,Technology,Software Application,6.305B,10.949999809265137,11.140000343322754,10.710000038146973,10.949999809265137,10.949999809265137,1666200,-2.0,0.9637214541435242,11.0,-0.1818181818181818,-3332400.0,-3332400.0,0.017657953191609232,11.118571281433105,0.2412762775694746,-1.0399999618530273
2024-08-14,QXO,Technology,Software Application,6.305B,11.270000457763672,11.289999961853027,10.649999618530272,10.75,10.75,2766300,1.0,0.8893381208181381,4.0,0.25,2766300.0,1.0,-0.0182648230820891,11.018571308680944,0.2255679540219901,-0.6999998092651367
2024-08-15,QXO,Technology,Software Application,6.305B,10.979999542236328,11.4399995803833,10.619999885559082,11.350000381469728,11.350000381469728,3254300,1.0,0.9962207873662312,3.0,0.3333333333333333,3254300.0,1.0,0.0558139889739282,11.015714236668178,0.22044328707917807,-0.019999504089353692
2024-08-16,QXO,Technology,Software Application,6.305B,11.1899995803833,12.880000114440918,11.15999984741211,12.619999885559082,12.619999885559082,3800200,0.0,0.9959630966186525,2.0,0.0,0.0,0.0,0.1118942256744575,11.248571395874023,0.6435688865297039,1.630000114440918
2024-08-19,QXO,Technology,Software Application,6.305B,12.420000076293944,13.0,12.140000343322754,12.260000228881836,12.260000228881836,2386100,-1.0,0.930885285139084,4.0,-0.25,-2386100.0,-0.7332145161785945,-0.02852612202391458,11.407142911638532,0.7441262079246987,1.1100006103515643
