Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,Short are making last push effort to rob you from your shares!! Be smart !!,Neutral,0,0.7004410028457642,Main
Yahoo,2024-10-30,Tim Waltz and AOC played a game of Madden in an attempt to appeal to young men.AOC was the Buffalo Bills and Waltz the MN Vikings.....the final score ended up being 0 - 0Upon completion of the game Tim Waltz tweeted    &#34;AOC can run a mean pick 6&#34;,Neutral,0,0.9999957084655762,Main
Yahoo,2024-10-30,"The real opportunity here at Rumble runs through the cloud division.RUMBLE CLOUD = The America First alternative to AWS, Azure, and Google Cloud.The opportunity is massive...the cloud market is forecasted to reach $3 TRILLION by 2030!!!",Positive,1,0.9950397610664368,Main
Yahoo,2024-10-30,"Seems like the shorts are winning for now. Strangely, this stock would likely do better if the dark side wins (not that I want that), but RUM and X would become more vital as the alternative channels to communicate for conservatives and libertarians.",Positive,1,0.9999897480010986,Main
Yahoo,2024-10-30,One opportunity to save your country....this is it....don&#39;t miss it!If the left wins FREE SPEECH and OPEN INTERNET are all but DOA !!You will likely see DJT get tossed in jail...Elon Musk will be robbed of his companies...we can&#39;t let it happen!!,Neutral,0,0.9997926354408264,Main
Yahoo,2024-10-30,Gold continues to skyrocket as Kamala/Biden openly support policies that are all but guaranteed to collapse our great nation.  Importing the worlds poverty and immediately placing them onto US government aid/welfare is unsustainable and the moral equivalence of taking money/food/resources out of the mouths of our own impoverished citizens.Similar to the lefts covid policies these policies are unsustainable.  SAVE AMERICA....DO YOUR PART...invest in Rumble is you want to help support free speech!,Positive,1,0.8373530507087708,Main
Yahoo,2024-10-30,Big Tech and the corrupt media will continue to abuse the powers they&#39;ve been given until WE THE PEOPLE make them powerless.ELON+DJT = an unstoppable forceI truly do fear for the safety of these two men...that is how corrupt our govt have become.,Negative,-1,0.9990330934524536,Main
Yahoo,2024-10-30,"come on baby, drop like a rock so I can scoop up cheap shares babybeeeeeee",Neutral,0,0.9998262524604797,Main
Yahoo,2024-10-30,"Wow, Yahoo censors reject every comment. Just trying to make a comment about the Rumble app being available on LG G TV&#39;s, and they deny.",Neutral,0,0.9943476319313049,Main
Yahoo,2024-10-30,ER 11/12... upside risk. Downside already priced in.,Positive,1,0.8894160985946655,Main
Yahoo,2024-10-30,Sultan Aka mommies little hot pocket aka scooter boyz with pink hair.,Neutral,0,0.9999960660934448,Main
Yahoo,2024-10-30,Block sultan.,Neutral,0,0.9941419959068298,Main
Yahoo,2024-10-30,Here comes ZERO for the ZEROS,Neutral,0,0.9912021160125732,Main
Yahoo,2024-10-30,Shorties doing what they do....but they&#39;re about to realize....Will the election less than 1 week out.....THIS IS OUR TIME TO FLY !!!,Neutral,0,0.9991375207901001,Main
Yahoo,2024-10-30,Yahoo getting scared and starting to censor!!,Negative,-1,0.999729335308075,Main
Yahoo,2024-10-30,WHY ARE WE DOWN HERE,Neutral,0,0.6515623331069946,Main
Yahoo,2024-10-30,"Lies, smears, and fears is all they have left over there on the left!Get in now before the rest of the world starts piling into any/every DJT-ELON friendly ticker on the market!",Neutral,0,0.9995704293251038,Main
Yahoo,2024-10-30,This will get absolutely  decimated on Nov 5th and 6th.  Enjoy 0,Neutral,0,0.9999984502792358,Main
Yahoo,2024-10-30,"I do expect up and down fluctuations due to the election uncertainty. Trump is highly expected to win (if 2020 doesn&#39;t repeat), itll give a good boost but god knows for how long. For now, we are still struggling.",Negative,-1,0.9669055938720703,Main
Yahoo,2024-10-30,"Rumble share price has and continues to be manipulated by the same corrupt group that is responsible for nearly all of planet earths geopolitical propblems.Fortunately, with the help of DJT, Elon, and many others...we&#39;re getting ready to BREAKOUT !!!TRUTH is how we defeat the EVIL DEMOCRATS...do your part on election day, sit back and enjoy the ride!",Neutral,0,0.9986804127693176,Main
Yahoo,2024-10-30,"Rumble seems to have hit a wall and can’t hold small gains for very long. The thing to do might be to sell by the end of the year, take the loss for taxes, then get back in a couple of months later.",Neutral,0,0.9858740568161011,Main
Yahoo,2024-10-30,"RUM reminds me of GOOG in the early 2000’s. Yahoo search was the thing at that time, but then Google came along and vaulted ahead. Youtube is obviously successful, but the market is ready for a new platform and Rumble is it. Well into double digits next year. Part of the new media being embraced while “legacy” media implodes.",Positive,1,1.0,Main
Yahoo,2024-10-30,"Harris/Waltz are the real threat to democracy...electing Harris is a vote for: higher taxes, open borders, more crime, forced vaccines, climate change lockdowns, currency collapsing inflation, endless wars, taxpayer funded    s  e  x    change operations, the list goes on and on and on!!Its no surprise RFK Jr is now supporting DJT...he knows more than anyone the dangers of the deep state.",Negative,-1,0.9247933626174927,Main
Yahoo,2024-10-30,The partisan New York judge Juan Merchan has President Trump scheduled for sentencing on November 26th.  A corrupt case that is nothing more than accounting expense turned into a game of semantics in effort to weaponize the DOJ against a political opponent.  Make no mistake people....if DJT does not win in convincing fashion this corrupt judge will send him straight to Rykers Island on Nov 26th!!!!  We must save DJT and SAVE AMERICA !!!,Neutral,0,0.9441781044006348,Main
