Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
2024-08-01,RUM,Technology,Software Application,1.592B,6.389999866485596,6.389999866485596,6.010000228881836,6.150000095367432,6.150000095367432,821200,1,0.9830613632996876,6,0.1666666666666666,821200,1.0,0.0,6.150000095367432,6.150000095367432,6.150000095367432,0.030398532395586,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59
2024-08-02,RUM,Technology,Software Application,1.592B,5.949999809265137,6.139999866485596,5.840000152587891,6.019999980926514,6.019999980926514,1115900,1,0.9528857707977296,5,0.2,1115900,1.0,-0.0211382296626048,6.085000038146973,0.0919239624762003,6.019999980926514,0.0149469855367064,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39
2024-08-05,RUM,Technology,Software Application,1.592B,5.510000228881836,5.994999885559082,5.480000019073486,5.909999847412109,5.909999847412109,1412300,3,0.941629946231842,18,0.1666666666666666,4236900,1.0,-0.0182724474855354,6.026666641235352,0.1201389321760815,5.909999847412109,0.0126971348379913,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57
2024-08-06,RUM,Technology,Software Application,1.592B,5.940000057220459,5.945000171661377,5.670000076293945,5.829999923706055,5.829999923706055,1037800,1,0.9778933942317962,10,0.1,1037800,0.2449432368004909,-0.0135363664588055,5.977499961853027,0.138894533593694,5.829999923706055,0.0103545628733373,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71
2024-08-07,RUM,Technology,Software Application,1.592B,5.889999866485596,5.974999904632568,5.539999961853027,5.539999961853027,5.539999961853027,903000,-1,0.9752342530659268,7,-0.1428571428571428,-903000,-0.2131275224810592,-0.0497427042278034,5.889999961853027,0.2296737220420684,5.539999961853027,0.0214852108101443,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85
2024-08-08,RUM,Technology,Software Application,1.592B,5.590000152587891,5.849999904632568,5.539999961853027,5.809999942779541,5.809999942779541,765100,3,0.9214579926596748,18,0.1666666666666666,2295300,0.5417404234227855,0.0487364589865815,5.876666625340779,0.2080064471419548,5.809999942779541,0.0376578633137957,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79
2024-08-09,RUM,Technology,Software Application,1.592B,5.949999809265137,5.949999809265137,5.704999923706055,5.849999904632568,5.849999904632568,774600,3,0.9485019511646696,18,0.1666666666666666,2323800,0.5484670395808257,0.0068846750855373,5.872857093811035,0.1901503512763392,5.849999904632568,0.0325121901644449,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37
2024-08-12,RUM,Technology,Software Application,1.592B,5.860000133514404,5.945000171661377,5.559999942779541,5.75,5.75,2285300,3,0.9613692164421082,30,0.1,6855900,1.0,-0.0170940010705605,5.815714223044259,0.1485324908198072,-0.4000000953674316,0.0290635308575784,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71
2024-08-13,RUM,Technology,Software Application,1.592B,6.0,6.15500020980835,5.590000152587891,6.059999942779541,6.059999942779541,2092200,5,0.9199744117887396,19,0.2631578947368421,10461000,1.0,0.0539130335268767,5.821428503308978,0.1581590317661667,0.0399999618530273,0.0371715081348659,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12
2024-08-14,RUM,Technology,Software Application,1.592B,6.119999885559082,6.210000038146973,5.835000038146973,6.050000190734863,6.050000190734863,1487500,6,0.9698605209589004,20,0.3,8925000,0.8531689131058217,-0.0016501241153628,5.841428552355085,0.1787390069061696,0.1400003433227539,0.0325917888185896,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19
2024-08-15,RUM,Technology,Software Application,1.592B,6.099999904632568,6.369999885559082,6.099999904632568,6.289999961853027,6.289999961853027,1031500,3,0.9800406369295988,11,0.2727272727272727,3094500,0.2958130197877832,0.0396693824052611,5.907142843518939,0.2458125691669781,0.4600000381469726,0.0320361603361351,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23
2024-08-16,RUM,Technology,Software Application,1.592B,6.380000114440918,6.449999809265137,6.250999927520752,6.300000190734863,6.300000190734863,752700,2,0.935901512702306,6,0.3333333333333333,1505400,0.1439059363349584,0.0015898615170881,6.015714304787772,0.2234470777209,0.7600002288818359,0.0284583681456172,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8
2024-08-19,RUM,Technology,Software Application,1.592B,6.260000228881836,6.460000038146973,6.25,6.409999847412109,6.409999847412109,658300,3,0.9556738896803424,11,0.2727272727272727,1974900,0.1887869228563234,0.0174602624360262,6.101428576878139,0.2453859934057312,0.5999999046325684,0.0247742868333313,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65
2024-08-20,RUM,Technology,Software Application,1.592B,6.400000095367432,6.46999979019165,6.130000114440918,6.170000076293945,6.170000076293945,635200,-1,0.9855371117591858,7,-0.1428571428571428,-635200,-0.0607207723926966,-0.0374414628441931,6.1471428871154785,0.2191433323724975,0.3200001716613769,0.0319846509571821,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,14.89,15.93,14.78,15.88
2024-08-21,RUM,Technology,Software Application,1.592B,6.159999847412109,6.355000019073486,6.119999885559082,6.289999961853027,6.289999961853027,614300,4,0.9374153964659748,17,0.2352941176470588,2457200,0.2348915017684733,0.0194489277269442,6.224285738808768,0.1348896677439752,0.5399999618530273,0.0290667030222514,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.25,17.17,15.92,16.27
