Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class
2024-08-01,SEDG,Technology,Solar,616.589M,29.040000915527344,29.520000457763672,26.38999938964844,26.540000915527344,26.540000915527344,3029600,2,0.93903785943985,6,0.3333333333333333,6059200,1.0,0.0,26.540000915527344,26.540000915527344,26.540000915527344,0.025271039145756277,Low
2024-08-02,SEDG,Technology,Solar,616.589M,25.1200008392334,26.829999923706055,24.924999237060547,25.31999969482422,25.31999969482422,3238100,2,0.8018243114153544,3,0.6666666666666666,6476200,1.0,-0.045968394070000085,25.93000030517578,0.8626711362150454,25.31999969482422,0.032504563167152535,Low
2024-08-05,SEDG,Technology,Solar,616.589M,23.469999313354492,26.114999771118164,23.21299934387207,25.020000457763672,25.020000457763672,2655300,0,0.9669242898623148,6,0.0,0,0.0,-0.01184831124314234,25.62666702270508,0.8050676899445368,25.020000457763672,0.02252072345223056,Low
2024-08-06,SEDG,Technology,Solar,616.589M,24.84000015258789,24.959999084472656,23.650999069213867,23.899999618530273,23.899999618530273,2870600,0,0.9046114161610604,8,0.0,0,0.0,-0.044764221372580515,25.195000171661377,1.085096495596142,23.899999618530273,0.024685032874842194,Low
2024-08-07,SEDG,Technology,Solar,616.589M,25.3700008392334,26.06999969482422,23.530000686645508,23.59000015258789,23.59000015258789,5202900,-2,0.9901943802833556,26,-0.0769230769230769,-10405800,-1.6067755782712083,-0.012970689158590343,24.87400016784668,1.1824892455373326,23.59000015258789,0.020713832382685385,Low
2024-08-08,SEDG,Technology,Solar,616.589M,19.850000381469727,23.100000381469727,19.805999755859375,22.8700008392334,22.8700008392334,9951500,-6,0.9686117437150744,45,-0.1333333333333333,-59709000,-9.219758500355146,-0.030521378071102112,24.540000279744465,1.337146291234773,22.8700008392334,0.0185023579887098,Low
2024-08-09,SEDG,Technology,Solar,616.589M,22.86000061035156,23.0,20.520000457763672,21.200000762939453,21.200000762939453,5013300,-5,0.8922021263524106,19,-0.2631578947368421,-25066500,-3.870556808004694,-0.07302142610458795,24.062857491629465,1.7560249196846631,21.200000762939453,0.02925529880945995,Low
2024-08-12,SEDG,Technology,Solar,616.589M,21.209999084472656,22.420000076293945,21.149999618530273,21.440000534057617,21.440000534057617,3629500,-3,0.9311476647853852,12,-0.25,-10888500,-1.6813100274852537,0.011320743513260512,23.33428600856236,1.608786568974348,-5.100000381469727,0.03307719721287181,Low
2024-08-13,SEDG,Technology,Solar,616.589M,21.549999237060547,22.1299991607666,21.010000228881836,21.8799991607666,21.8799991607666,2906300,5,0.940677098929882,16,0.3125,14531500,1.0,0.020522323495750117,22.842857360839844,1.4148346150888054,-3.440000534057617,0.035057504632084964,Low
2024-08-14,SEDG,Technology,Solar,616.589M,22.18000030517578,22.700000762939453,21.049999237060547,22.3700008392334,22.3700008392334,3837800,1,0.9423297680914402,16,0.0625,3837800,0.2641021229742284,0.02239495874138009,22.46428598676409,1.0401097023051922,-2.6499996185302734,0.03431640290117521,Low
2024-08-15,SEDG,Technology,Solar,616.589M,23.059999465942383,25.625,23.049999237060547,24.56999969482422,24.56999969482422,3407300,6,0.9606445056420786,27,0.2222222222222222,20443800,1.0,0.09834594425818599,22.560000283377512,1.2110324217250918,0.6700000762939453,0.056143391006735724,Medium
2024-08-16,SEDG,Technology,Solar,616.589M,24.350000381469727,25.299999237060547,24.049999237060547,25.290000915527344,25.290000915527344,2541500,-1,0.9741445705294608,8,-0.125,-2541500,-0.1243164186697189,0.029304079350672474,22.802857535226003,1.5694342593406758,1.7000007629394531,0.048706380811172484,Medium
2024-08-19,SEDG,Technology,Solar,616.589M,25.559999465942383,27.90999984741211,25.450000762939453,27.530000686645508,27.530000686645508,3952700,1,0.9682085591813792,23,0.0434782608695652,3952700,0.1933446815171347,0.08857254606672904,23.46857179914202,2.3811023059647476,4.659999847412109,0.051911106917749535,Medium
2024-08-20,SEDG,Technology,Solar,616.589M,27.399999618530273,28.34000015258789,26.459999084472656,26.6299991607666,26.6299991607666,3372600,1,0.9152730206648508,6,0.1666666666666666,3372600,0.1649693305549849,-0.03269166376430521,24.24428585597447,2.4032606835846626,5.429998397827148,0.05637372091595341,Medium
2024-08-21,SEDG,Technology,Solar,616.589M,26.63999938964844,27.420000076293945,26.440000534057617,26.850000381469727,26.850000381469727,2023200,0,0.5685821771621704,1,0.0,0,0.0,0.008261405468883654,25.01714297703334,2.213539646292096,5.409999847412109,0.04922758211622524,Medium
2024-08-22,SEDG,Technology,Solar,616.589M,26.56999969482422,26.81999969482422,24.829999923706055,25.049999237060547,25.049999237060547,1761300,-3,0.9228769275877212,9,-0.3333333333333333,-5283900,-0.2584597775364658,-0.06703914781511267,25.47000013078962,1.7379296875001506,3.1700000762939453,0.058451363043309945,Medium
2024-08-23,SEDG,Technology,Solar,616.589M,25.38999938964844,28.780000686645508,25.200000762939453,28.770000457763672,28.770000457763672,3565500,1,0.9206911325454712,14,0.0714285714285714,3565500,0.1744049540692043,0.1485030472655473,26.38428579057966,1.5028293465250766,6.399999618530273,0.08705275251640247,High
2024-08-26,SEDG,Technology,Solar,616.589M,30.989999771118164,31.06999969482422,26.010000228881836,26.1299991607666,26.1299991607666,7580100,2,0.9740808262274816,26,0.0769230769230769,15160200,1.0,-0.09176229596773111,26.607142857142858,1.2894667513286255,1.5599994659423828,0.09589162146365673,High
2024-08-27,SEDG,Technology,Solar,616.589M,25.8700008392334,26.299999237060547,24.309999465942383,25.690000534057617,25.690000534057617,3438400,-1,0.9791121184825896,14,-0.0714285714285714,-3438400,-0.2268043957203731,-0.016838830495242707,26.66428565979004,1.2288054540801587,0.3999996185302734,0.08357410525003299,High
2024-08-28,SEDG,Technology,Solar,616.589M,25.65999984741211,26.5,25.190000534057617,25.690000534057617,25.690000534057617,2158100,0,0.9926624033186172,9,0.0,0,0.0,0.0,26.401428495134628,1.2093999089967578,-1.8400001525878904,0.07238148765230143,High
2024-08-29,SEDG,Technology,Solar,616.589M,25.559999465942383,26.024999618530273,24.86000061035156,24.90999984741211,24.90999984741211,1970300,-2,0.9332801520824432,10,-0.2,-3940600,-0.259930607775623,-0.03036203466058518,26.155714307512557,1.3244731951079507,-1.7199993133544922,0.06413861971682705,Medium
2024-08-30,SEDG,Technology,Solar,616.589M,25.15999984741211,25.31999969482422,24.13999938964844,24.329999923706055,24.329999923706055,2080200,2,0.9956775126249894,23,0.0869565217391304,4160400,0.2744290972414612,-0.023283818838172765,25.795714242117747,1.4416064532616637,-2.520000457763672,0.05596956011251888,Medium
2024-09-03,SEDG,Technology,Solar,616.589M,23.809999465942383,23.989999771118164,22.040000915527344,22.06999969482422,22.06999969482422,2904900,-5,0.963683101038138,24,-0.2083333333333333,-14524500,-0.9580678355166818,-0.0928894466078396,25.37000002179827,2.021781591978789,-2.979999542236328,0.06141381309813732,Medium
2024-09-04,SEDG,Technology,Solar,616.589M,21.920000076293945,22.549999237060547,21.540000915527344,21.719999313354492,21.719999313354492,2102500,3,0.9495987445116044,12,0.25,6307500,0.4160565164047968,-0.01585864913046675,24.362857001168383,1.7882835156016983,-7.05000114440918,0.0537466546014988,Medium
2024-09-05,SEDG,Technology,Solar,616.589M,22.13999938964844,22.479999542236328,20.59000015258789,20.65999984741211,20.65999984741211,2727100,-6,0.901392447948456,25,-0.24,-16362600,-2.5941498216409036,-0.048802923547545674,23.58142852783203,2.061621290366145,-5.469999313354492,0.04752573618318825,Medium
2024-09-06,SEDG,Technology,Solar,616.589M,20.65999984741211,20.93000030517578,19.43000030517578,19.489999771118164,19.489999771118164,2925600,-4,0.9564871607404768,33,-0.1212121212121212,-11702400,-1.8553151010701543,-0.056631175456688165,22.69571413312639,2.320343994334013,-6.200000762939453,0.04256757007671001,Medium
2024-09-09,SEDG,Technology,Solar,616.589M,19.61000061035156,20.200000762939453,17.860000610351562,17.940000534057617,17.940000534057617,5460500,0,0.9354554494986168,52,0.0,0,0.0,-0.0795279248467442,21.588571275983536,2.4958192093632836,-7.75,0.04140675456901314,Medium
2024-09-10,SEDG,Technology,Solar,616.589M,17.979999542236328,18.10099983215332,17.1200008392334,17.850000381469727,17.850000381469727,4211900,-3,0.9599656734777532,46,-0.0652173913043478,-12635700,-2.003281807372176,-0.005016730764139776,20.579999923706055,2.3522752292451052,-7.059999465942383,0.04140905036595701,Medium
2024-09-11,SEDG,Technology,Solar,616.589M,19.1299991607666,19.868999481201172,18.59000015258789,19.36000061035156,19.36000061035156,6202400,0,0.9494803940707988,44,0.0,0,0.0,0.08459384854968288,19.87000002179827,1.6880161839835728,-4.969999313354496,0.0677175890078862,Medium
2024-09-12,SEDG,Technology,Solar,616.589M,19.270000457763672,19.40999984741211,18.020000457763672,18.149999618530273,18.149999618530273,3299300,0,0.9538304151558294,41,0.0,0,0.0,-0.06250004926003527,19.310000010899135,1.473069050475993,-3.9200000762939458,0.06403526555172455,Medium
2024-09-13,SEDG,Technology,Solar,616.589M,18.579999923706055,19.770000457763672,18.479999542236328,19.700000762939453,19.700000762939453,4165100,-4,0.9228250245253246,30,-0.1333333333333333,-16660400,-16660400.0,0.08539951388355416,19.02142878941127,1.0630682844547377,-2.019998550415039,0.07459317951235238,High
2024-09-16,SEDG,Technology,Solar,616.589M,19.700000762939453,22.18000030517578,19.549999237060547,21.950000762939453,21.950000762939453,5521300,0,0.9464443536365732,17,0.0,0,0.0,0.1142131935463071,19.205714634486608,1.43959339442497,1.2900009155273438,0.08223804673651695,High
2024-09-17,SEDG,Technology,Solar,616.589M,21.079999923706055,23.15999984741211,21.07799911499023,22.520000457763672,22.520000457763672,5397300,-3,0.9649085664749144,25,-0.12,-16191900,-16191900.0,0.02596809453358251,19.638571875435964,1.9160153787570713,3.030000686645508,0.07128784238998573,High
2024-09-18,SEDG,Technology,Solar,616.589M,22.38999938964844,23.790000915527344,21.670000076293945,21.690000534057617,21.690000534057617,4609200,-2,0.954841529068194,19,-0.1052631578947368,-9218400,-9218400.0,-0.03685612374931879,20.174286161150253,1.885955812403678,3.75,0.06940512980622601,High
2024-09-19,SEDG,Technology,Solar,616.589M,22.959999084472656,23.084999084472656,21.135000228881836,21.200000762939453,21.200000762939453,4139700,-3,0.9524286411426686,27,-0.1111111111111111,-12419100,-12419100.0,-0.022591044677420236,20.652857644217356,1.601434115925385,3.3500003814697266,0.062494879524054706,Medium
2024-09-20,SEDG,Technology,Solar,616.589M,21.13999938964844,21.149999618530273,20.049999237060547,20.3700008392334,20.3700008392334,3848100,-1,0.9639695203966564,36,-0.0277777777777777,-3848100,-3848100.0,-0.03915093838850281,20.797143391200475,1.5083295059176345,1.0100002288818395,0.05790247831685935,Medium
2024-09-23,SEDG,Technology,Solar,616.589M,20.350000381469727,20.924999237060547,19.739999771118164,20.63999938964844,20.63999938964844,2432800,0,0.9053088713575292,27,0.0,0,0.0,0.013254714741838258,21.152857644217356,0.981660418710053,2.4899997711181676,0.0509598169925719,Medium
