Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score
2024-08-01,TWLO,Technology,Software Infrastructure,14.815B,59.58000183105469,59.68000030517578,56.15999984741211,56.27000045776367,56.27000045776367,3408900,6.0,0.9302875846624374,16.0,0.375
2024-08-02,TWLO,Technology,Software Infrastructure,14.815B,59.70000076293945,63.25,58.59000015258789,62.86000061035156,62.86000061035156,8081600,2.0,0.8895216584205627,4.0,0.5
2024-08-05,TWLO,Technology,Software Infrastructure,14.815B,58.0,60.84000015258789,57.650001525878906,59.91999816894531,59.91999816894531,3530900,0.0,0.999324917793274,1.0,0.0
2024-08-06,TWLO,Technology,Software Infrastructure,14.815B,60.209999084472656,61.099998474121094,58.78499984741211,58.86000061035156,58.86000061035156,2523600,-2.0,0.9098904371261597,5.0,-0.4
2024-08-07,TWLO,Technology,Software Infrastructure,14.815B,59.58000183105469,61.18000030517578,58.91999816894531,59.0099983215332,59.0099983215332,2063500,1.0,0.9852114915847778,1.0,1.0
2024-08-08,TWLO,Technology,Software Infrastructure,14.815B,59.27000045776367,60.790000915527344,59.2400016784668,60.630001068115234,60.630001068115234,1662100,1.0,0.9999992847442628,1.0,1.0
2024-08-09,TWLO,Technology,Software Infrastructure,14.815B,60.689998626708984,61.10499954223633,59.72999954223633,60.40999984741211,60.40999984741211,1845900,0.0,0.9985066056251526,1.0,0.0
2024-08-12,TWLO,Technology,Software Infrastructure,14.815B,60.52000045776367,60.900001525878906,59.150001525878906,59.25,59.25,1592500,-2.0,0.9429736356986198,19.0,-0.10526315789473684
2024-08-13,TWLO,Technology,Software Infrastructure,14.815B,59.5,61.5099983215332,59.31999969482422,61.45000076293945,61.45000076293945,1993600,1.0,0.9999727010726928,3.0,0.3333333333333333
2024-08-14,TWLO,Technology,Software Infrastructure,14.815B,61.36000061035156,61.779998779296875,60.41999816894531,60.61000061035156,60.61000061035156,1911800,0.0,0.9608411192893982,1.0,0.0
2024-08-15,TWLO,Technology,Software Infrastructure,14.815B,61.029998779296875,61.029998779296875,60.09000015258789,60.70000076293945,60.70000076293945,2837600,-2.0,0.9412235617637634,8.0,-0.25
2024-08-16,TWLO,Technology,Software Infrastructure,14.815B,60.060001373291016,61.2400016784668,60.05500030517578,61.189998626708984,61.189998626708984,2451900,0.0,0.8913237452507019,1.0,0.0
2024-08-19,TWLO,Technology,Software Infrastructure,14.815B,61.369998931884766,62.2400016784668,61.04999923706055,61.880001068115234,61.880001068115234,1983700,,,,
2024-08-20,TWLO,Technology,Software Infrastructure,14.815B,61.7400016784668,62.33000183105469,60.494998931884766,60.59000015258789,60.59000015258789,2053900,,,,
2024-08-21,TWLO,Technology,Software Infrastructure,14.815B,60.869998931884766,60.869998931884766,59.18000030517578,59.25,59.25,2169800,-3.0,0.8906794786453247,5.0,-0.6
2024-08-22,TWLO,Technology,Software Infrastructure,14.815B,59.380001068115234,59.869998931884766,58.650001525878906,58.900001525878906,58.900001525878906,1928400,-1.0,0.9358927607536316,1.0,-1.0
2024-08-23,TWLO,Technology,Software Infrastructure,14.815B,59.20000076293945,60.880001068115234,59.16999816894531,60.7599983215332,60.7599983215332,1877400,0.0,0.9756269603967668,4.0,0.0
2024-08-26,TWLO,Technology,Software Infrastructure,14.815B,60.7599983215332,61.31999969482422,60.560001373291016,60.66999816894531,60.66999816894531,1520100,,,,
2024-08-27,TWLO,Technology,Software Infrastructure,14.815B,60.16999816894531,62.119998931884766,60.130001068115234,61.9900016784668,61.9900016784668,1715400,-1.0,0.9930949807167052,1.0,-1.0
2024-08-28,TWLO,Technology,Software Infrastructure,14.815B,61.9900016784668,62.33000183105469,60.154998779296875,60.93000030517578,60.93000030517578,1814000,1.0,0.9958348870277404,2.0,0.5
2024-08-29,TWLO,Technology,Software Infrastructure,14.815B,61.380001068115234,62.970001220703125,61.28499984741211,62.36000061035156,62.36000061035156,1721300,3.0,0.9846666852633158,3.0,1.0
2024-08-30,TWLO,Technology,Software Infrastructure,14.815B,62.790000915527344,62.90999984741211,61.63999938964844,62.7599983215332,62.7599983215332,2753400,0.0,0.9971647063891091,3.0,0.0
