Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,$95-$100 tomorrow,Neutral,0,0.9999353885650635,Main
Yahoo,2024-10-30,Earnings will miss and UBER will announce layoffs,Negative,-1,0.9999850988388062,Main
Yahoo,2024-10-30,My bet it will touch $90 tomorrow.,Neutral,0,0.9999094009399414,Main
Yahoo,2024-10-30,Soup Kitchen will be open tomorrow for the bagholders sell in the AH before it’s too late.,Neutral,0,0.999995231628418,Main
Yahoo,2024-10-30,In 10 years or less Uber will be no longer.  Autonomous cars will put them in BK.They won&#39;t be feeling so SUPER PUMPED!!!,Neutral,0,0.9996042847633362,Main
Yahoo,2024-10-30,So how much is uber predicted to move on earnings?,Neutral,0,0.9995449185371399,Main
Yahoo,2024-10-30,👽,Neutral,0,0.9673532843589783,Main
Yahoo,2024-10-30,Uber will catch the falling knife from Chucky&#39;s Halloween present.,Neutral,0,0.9999728202819824,Main
Yahoo,2024-10-30,"A good company with the best CEO and CFO are winnersLike UBER to winThe drivers who have diamond status and have been with the company for Five Years Should be rewarded with a T Shirt and one pair of decals or sticker for their car windows. It has been five years since any driver got anything, not even a smell of the f=a=r=t from management.do you all agree?",Positive,1,0.9999955892562866,Main
Yahoo,2024-10-30,This is going down in history,Negative,-1,0.9992538094520569,Main
Yahoo,2024-10-29,Break above 87 with strong earnings.,Positive,1,1.0,Main
Yahoo,2024-10-29,"There are many issues in this election, but one central issue hasalways been what most significantly divides the Republicans fromthe Democrats. Republicans favor Free Enterprise Capitalism andseek to empower investors and industry to expand, grow, andemploy while limiting government spending. Democrats lean towardSocialism and seek to tax investors and industry for the purposesof distributing wealth to the masses via large social spending programs.Throughout history, societies that favor Free Enterprise Capitalism andgrow their economies via private sector incentives are societies that growand prosper. Societies that over-tax investors and private sector industrytend to stagnate and decline. Even China, which is an authoritarian, one-party state, greatly accelerated it&#39;s wealth and prosperity over the last 25years though capitalist reforms and incentives.In this election, the choice between a Free-enterprise capitalist candidateand a big government socialist candidate has never been more stark.Mr. Trump governed as the former and expanded GDP faster, 8 to 10 yearsfollowing the most recent recession, at all time record rates and he did itwith minimal inflation and very high employment.Biden/Harris passed record social spending and gunned inflation to the highestlevels in over 40 years, which led to high interest rates and everything from eggsto housing extremely unaffordable and wages/salaries significantly lagging thecost of living.The choice, should be very clear.",Neutral,0,0.9394843578338623,Main
Yahoo,2024-10-29,Time to buyout Sabre!,Neutral,0,0.9995379447937012,Main
Yahoo,2024-10-29,see you at 84,Neutral,0,0.9999668598175049,Main
Yahoo,2024-10-29,Why are we up,Neutral,0,0.9415985345840454,Main
Yahoo,2024-10-29,Setting up nicely for a strong earnings report.,Positive,1,1.0,Main
Yahoo,2024-10-29,Tesla / Musk should buy Uber,Neutral,0,0.989648163318634,Main
Yahoo,2024-10-28,Robotaxi will never be able to pick up and drop off at arenas airports rush hour in major cities etc,Neutral,0,0.9252641797065735,Main
Yahoo,2024-10-27,"Questions about Tesla Robotaxi would be in all of the earnings call of Uber, Tesla, Dash and Lyft and it will be spun disproportionately.",Neutral,0,0.9986916184425354,Main
Yahoo,2024-10-27,uber will be in the &#34;INSTANT&#34; air travel business soon....huge opportunity,Neutral,0,0.9344174265861511,Main
Yahoo,2024-10-27,"Tesla&#39;s robotaxi is going to kill UBER. It will be cheaper than UBER/LYFT. Secondly costwise everything Tesla has terrific advantage- induction charging, insurnace, robotic cleaning, 24 hr service. No employee/independent contractor law suits,  Importantly Tesla will get advertisement revenue while passengers are in the car. Most Importantly, there wont be any tips paid by customers.  Thats the big benefit that customers will prefer. Tips are reluctantly paid by customers. Drivers dont demand it  but customers feel they are obligated.  This will not be there with robotaxi.",Positive,1,0.9999983310699463,Main
Yahoo,2024-10-26,"Why isn&#39;t this company more profitable? The drivers cover all the vehicles costs and Uber just has to pay them per ride. Honestly other than app development and IT infrastructure, what more is there? They should be printing money, but the margins are not impressive.",Positive,1,0.9418023228645325,Main
Yahoo,2024-10-26,"Tesla will make everyone Tesla owner a business owner using its FSD technology. 
All it needs is an app. Who can’t develop an app!! Why pay a big cut to the middle man like Uber and Lyft. With owner direct run the ride sharing business overhead will be less and cost will come down for riders as well. That’s the real real real threat!!! Forgot to mention that Tesla already has the app to control the car. Just add a riding hailing feature on top of that and whoa la !",Neutral,0,0.8405406475067139,Main
Yahoo,2024-10-26,Uber is heading to zero. soon,Neutral,0,0.9989929795265198,Main
Yahoo,2024-10-25,ATH after earning,Neutral,0,0.9992352724075317,Main
