Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days)_USP1_2,Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Volatility (7 Days)_USP3,Close
2024-08-01,BASE,Technology,Software Infrastructure,987.993M,19.059999465942383,19.1299991607666,17.65999984741211,17.950000762939453,291000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.950000762939453,17.950000762939453,17.950000762939453,0.0250859065897229,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0.3968507288009362,0.9999999999999998,0.1828122463414927,0.0,17.950000762939453,17.950000762939453
2024-08-02,BASE,Technology,Software Infrastructure,987.993M,17.049999237060547,17.469999313354492,16.6299991607666,17.239999771118164,407100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0395543711222116,17.59500026702881,0.5020465159660079,17.239999771118164,0.0279691640460851,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0.3968507288009362,0.018153787394797,0.2291016844717745,0.0,0.5020465159660079,17.239999771118164
2024-08-05,BASE,Technology,Software Infrastructure,987.993M,16.34000015258789,17.06999969482422,16.34000015258789,16.889999389648438,378600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0203016465264735,17.359999974568684,0.5400932923725624,16.889999389648438,0.0202531411447857,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0.3968507288009362,0.0202947881555648,0.1052243096250006,0.0,0.5400932923725624,16.889999389648438
2024-08-06,BASE,Technology,Software Infrastructure,987.993M,17.139999389648438,17.469999313354492,16.54800033569336,17.229999542236328,471900,0.0,0.0,0.0,0.0,0.0,0.0,0.0201302643501735,17.327499866485596,0.445749037477599,17.229999542236328,0.0232170840884729,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0.3968507288009362,0.0149857675083019,0.1528091179849859,0.0,0.445749037477599,17.229999542236328
2024-08-07,BASE,Technology,Software Infrastructure,987.993M,17.670000076293945,17.889999389648438,17.110000610351562,17.139999389648438,200300,0.0,0.9998892545700072,1.0,0.0,0.0,0.0,-0.0052234564700521,17.289999771118165,0.3950322000444861,17.139999389648438,0.0192219898048423,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0.3968507288009362,0.0121317862309465,0.0886696255998391,0.0,0.3950322000444861,17.139999389648438
2024-08-08,BASE,Technology,Software Infrastructure,987.993M,17.5,17.920000076293945,17.059999465942383,17.739999771118164,218600,0.0,0.0,0.0,0.0,0.0,0.0,0.0350058578083785,17.364999771118164,0.3982340408071483,17.739999771118164,0.0250418848071329,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0.3968507288009362,0.0123119629543427,0.1821054958648441,0.0,0.3982340408071483,17.739999771118164
2024-08-09,BASE,Technology,Software Infrastructure,987.993M,17.6299991607666,17.81999969482422,17.334999084472656,17.469999313354492,223300,0.0,0.0,0.0,0.0,0.0,0.0,-0.0152198681650069,17.379999705723353,0.3656960654903344,17.469999313354492,0.0235325668659685,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0.3968507288009362,0.0104809581626951,0.1578740560736147,0.0,0.3656960654903344,17.469999313354492
2024-08-12,BASE,Technology,Software Infrastructure,987.993M,17.40999984741211,17.440000534057617,16.969999313354492,17.290000915527344,216600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103032859130998,17.28571401323591,0.2656349965162348,-0.6599998474121094,0.020833175967167,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0.3968507288009362,0.004850236061364,0.1145365151530856,0.0,0.2656349965162348,17.290000915527344
2024-08-13,BASE,Technology,Software Infrastructure,987.993M,17.459999084472656,17.770000457763672,17.18000030517578,17.760000228881836,277900,0.0,0.0,0.0,0.0,0.0,0.0,0.0271833018199789,17.359999792916433,0.3182244206073272,0.5200004577636719,0.0227315753611398,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0.3968507288009362,0.0078095931376175,0.1450144875935838,0.0,0.3182244206073272,17.760000228881836
2024-08-14,BASE,Technology,Software Infrastructure,987.993M,17.940000534057617,18.309999465942383,17.389999389648438,17.549999237060547,135000,0.0,0.0,0.0,0.0,0.0,0.0,-0.011824380017731,17.45428548540388,0.245143345233408,0.6599998474121094,0.0211638516148299,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0.3968507288009362,0.0036971123244904,0.1198453681311318,0.0,0.245143345233408,17.549999237060547
2024-08-15,BASE,Technology,Software Infrastructure,987.993M,18.049999237060547,18.260000228881836,17.829999923706055,17.90999984741211,177900,0.0,0.0,0.0,0.0,0.0,0.0,0.020512856182429,17.551428386143275,0.2744344947836437,0.6800003051757812,0.0205085641297497,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0.3968507288009362,0.0053454089581052,0.1093250139979152,0.0,0.2744344947836437,17.90999984741211
2024-08-16,BASE,Technology,Software Infrastructure,987.993M,17.950000762939453,18.270000457763672,17.950000762939453,18.11000061035156,267000,0.0,0.0,0.0,0.0,0.0,0.0,0.0111669885339695,17.689999989100865,0.2769477201084224,0.9700012207031214,0.0179315714164907,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0.3968507288009362,0.0054868353242928,0.0679525224434862,0.0,0.2769477201084224,18.11000061035156
2024-08-19,BASE,Technology,Software Infrastructure,987.993M,17.6299991607666,18.309999465942383,17.510000228881836,18.299999237060547,236700,0.0,0.0,0.0,0.0,0.0,0.0,0.01049136500859,17.76999991280692,0.3617087750751748,0.5599994659423828,0.0156053140151332,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0.3968507288009362,0.0102565819442992,0.0306054767200324,0.0,0.3617087750751748,18.299999237060547
