Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days)_USP1_2,Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Volatility (7 Days)_USP3,Close
2024-08-01,FIS,,Information Technology Services,47.278B,77.12999725341797,77.33999633789062,74.61000061035156,74.76189422607422,2193100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.76189422607422,74.76189422607422,74.76189422607422,0.0232253160376496,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0.5348147802338881,1.0,0.6781635790960148,0.0,74.76189422607422,74.76189422607422
2024-08-02,FIS,,Information Technology Services,47.278B,74.45999908447266,74.5999984741211,73.33000183105469,74.03508758544922,2291200,-8.0,0.9490432459375132,115.0,-0.0695652173913043,-18329600.0,-18329600.0,-0.0097216188560872,74.39849090576172,0.5139299041973515,74.03508758544922,0.0068742226172502,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0.0,0.0024309758650812,0.0415110698994163,0.0,0.5139299041973515,74.03508758544922
2024-08-05,FIS,,Information Technology Services,47.278B,72.86000061035156,74.12999725341797,72.01000213623047,72.4819107055664,5640300,0.0,0.0,0.0,0.0,0.0,0.0,-0.0209789294581461,73.75963083902995,1.164683874623377,72.4819107055664,0.0115229187284564,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0.5348147802338881,0.0111742728585927,0.2225145029786705,0.0,1.164683874623377,72.4819107055664
2024-08-06,FIS,,Information Technology Services,47.278B,74.94999694824219,77.69000244140625,72.68000030517578,76.20556640625,5744000,0.0,0.0,0.0,0.0,0.0,0.0,0.0513735863808793,74.37111473083496,1.549185555365517,76.20556640625,0.0314910140570114,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0.5348147802338881,0.0163402995630199,1.0,0.0,1.549185555365517,76.20556640625
2024-08-07,FIS,,Information Technology Services,47.278B,77.7699966430664,77.97000122070312,76.19999694824219,76.11595153808594,5885300,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011759622346526,74.72008209228515,1.5520544483047078,76.11595153808594,0.0264175113101449,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0.5348147802338881,0.0163788449797977,0.8024561311490879,0.0,1.5520544483047078,76.11595153808594
2024-08-08,FIS,,Information Technology Services,47.278B,76.94000244140625,77.61000061035156,75.94999694824219,76.0960464477539,3194000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002615101030705,74.94940948486328,1.4975462351199826,76.0960464477539,0.0225045272719571,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0.5348147802338881,0.0156464921734865,0.6500986684212129,0.0,1.4975462351199826,76.0960464477539
2024-08-09,FIS,,Information Technology Services,47.278B,76.33999633789062,77.70999908447266,75.47000122070312,77.25096893310547,2576000,0.0,0.0,0.0,0.0,0.0,0.0,0.0151771680562209,75.27820369175502,1.620373419513954,77.25096893310547,0.0199653740774892,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0.5348147802338881,0.0172967541785423,0.5512332157612856,0.0,1.620373419513954,77.25096893310547
2024-08-12,FIS,,Information Technology Services,47.278B,77.5199966430664,77.79000091552734,75.81999969482422,75.79735565185547,2815600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0188167643891785,75.42612675258091,1.6126290533297836,1.03546142578125,0.0209871940498651,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0.5348147802338881,0.0171927036515353,0.5910191941441565,0.0,1.6126290533297836,75.79735565185547
2024-08-13,FIS,,Information Technology Services,47.278B,76.58999633789062,78.37000274658203,76.54000091552734,77.91805267333984,4334900,0.0,0.0,0.0,0.0,0.0,0.0,0.0279785093193083,75.98083605085101,1.7187312555489165,3.882965087890625,0.0222756436907436,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0.5348147802338881,0.0186182547934825,0.6411867686144588,0.0,1.7187312555489165,77.91805267333984
2024-08-14,FIS,,Information Technology Services,47.278B,78.33999633789062,78.44000244140625,77.68000030517578,77.74878692626953,3007700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021723559722409,76.73324693952289,0.8798237968554331,5.266876220703125,0.0197516189398948,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0.5348147802338881,0.0073469950013567,0.5429103628973078,0.0,0.8798237968554331,77.74878692626953
2024-08-15,FIS,,Information Technology Services,47.278B,78.51000213623047,79.25,78.0,78.13709259033203,3125300,0.0,0.0,0.0,0.0,0.0,0.0,0.0049943629915503,77.0091792515346,0.9835229925709535,1.9315261840820312,0.017084274594837,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0.5348147802338881,0.0087402602096128,0.4390536099260484,0.0,0.9835229925709535,78.13709259033203
2024-08-16,FIS,,Information Technology Services,47.278B,78.4800033569336,79.06999969482422,78.16999816894531,78.65481567382812,2167800,0.0,0.0,0.0,0.0,0.0,0.0,0.0066258298886354,77.3718741280692,1.0640594699506167,2.5388641357421875,0.014806409653912,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0.5348147802338881,0.0098223194402013,0.3503617779509706,0.0,1.0640594699506167,78.65481567382812
2024-08-19,FIS,,Information Technology Services,47.278B,79.87000274658203,80.19999694824219,78.94000244140625,78.81411743164062,1922300,0.0,0.0,0.0,0.0,0.0,0.0,0.0020253274570383,77.76016998291016,1.0157303705692742,2.7180709838867188,0.0129120403346497,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0.5348147802338881,0.0091729869911908,0.2766018800992014,0.0,1.0157303705692742,78.81411743164062
2024-08-20,FIS,,Information Technology Services,47.278B,79.41000366210938,79.41999816894531,78.36000061035156,78.17691040039062,1738700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0080849351869312,77.89244733537946,0.9985118005300312,0.9259414672851562,0.0126401494440901,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,14.89,15.93,14.78,15.88,0.5348147802338881,0.0089416444585312,0.2660154310311219,0.0,0.9985118005300312,78.17691040039062
2024-08-21,FIS,,Information Technology Services,47.278B,78.68000030517578,79.31999969482422,78.13999938964844,78.86389923095703,1890600,0.0,0.0,0.0,0.0,0.0,0.0,0.0087876180709614,78.33052498953683,0.4459223213991579,3.0665435791015625,0.0114821065220964,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.25,17.17,15.92,16.27,0.5348147802338881,0.0015172503693671,0.2209254230977784,0.0,0.4459223213991579,78.86389923095703
2024-08-22,FIS,,Information Technology Services,47.278B,79.22000122070312,79.44999694824219,78.55000305175781,78.35612487792969,1791300,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064386158683367,78.39310673304966,0.4074692055115255,0.4380722045898437,0.0109222642385878,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,18.06,15.76,17.55,0.5348147802338881,0.0010006080931603,0.1991271870174052,0.0,0.4074692055115255,78.35612487792969
2024-08-23,FIS,,Information Technology Services,47.278B,79.0999984741211,79.44000244140625,78.5,78.92362976074219,2002400,0.0,0.0,0.0,0.0,0.0,0.0,0.0072426358972781,78.56094142368862,0.3329950466275521,1.1748428344726562,0.0099257528816253,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,17.12,17.21,15.61,15.86,0.5348147802338881,0.0,0.1603266346909428,0.0,0.3329950466275521,78.92362976074219
2024-08-26,FIS,,Information Technology Services,47.278B,79.66999816894531,81.0,79.41000366210938,80.02877807617188,2116800,0.0,0.0,0.0,0.0,0.0,0.0,0.0140027558131823,78.83118220738002,0.5956789184221375,1.891685485839844,0.0101611992101802,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.67,15.81,16.15,0.5348147802338881,0.0035293263059186,0.1694940641711385,0.0,0.5956789184221375,80.02877807617188
2024-08-27,FIS,,Information Technology Services,47.278B,80.16999816894531,81.9000015258789,80.0,81.17375946044922,3126800,0.0,0.8326148390769958,2.0,0.0,0.0,0.0,0.0143071206608644,79.19103131975446,1.0550769000266291,2.5189437866210938,0.0097534127041622,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.21,16.81,15.37,15.43,0.5348147802338881,0.0097016328517522,0.1536163307622536,0.0,1.0550769000266291,81.17375946044922
2024-08-28,FIS,,Information Technology Services,47.278B,81.27999877929688,81.80000305175781,80.83999633789062,80.88502502441406,1694000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035569922836435,79.48687526157924,1.210647809837852,2.0709075927734375,0.0099192225927526,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.51,17.89,15.46,17.11,0.5348147802338881,0.0117918278099786,0.1600723688330158,0.0,1.210647809837852,80.88502502441406
2024-08-29,FIS,,Information Technology Services,47.278B,81.26000213623047,81.83000183105469,80.4800033569336,80.9746322631836,1814000,0.0,0.0,0.0,0.0,0.0,0.0,0.0011078347165309,79.8865498134068,1.167136341893768,2.7977218627929688,0.0087604880889247,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.54,16.57,15.19,15.65,0.5348147802338881,0.0112072233294102,0.1149554332013992,0.0,1.167136341893768,80.9746322631836
2024-08-30,FIS,,Information Technology Services,47.278B,81.55999755859375,82.4800033569336,81.19999694824219,82.08973693847656,4283800,0.0,0.0,0.0,0.0,0.0,0.0,0.0137710372264323,80.34738377162388,1.3225535388268823,3.2258377075195312,0.0088899432329041,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.67,16.04,14.78,15.0,0.5348147802338881,0.0132953530565261,0.1199959488491215,0.0,1.3225535388268823,82.08973693847656
2024-09-03,FIS,,Information Technology Services,47.278B,82.0,83.13999938964844,81.98999786376953,82.26895141601562,2993700,0.0,0.0,0.0,0.0,0.0,0.0,0.002183153268884,80.90635899135044,1.1572254415021763,3.9128265380859375,0.0079406534600772,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.76,21.99,15.71,20.72,0.5348147802338881,0.0110740640256873,0.0830340344201504,0.0,1.1572254415021763,82.26895141601562
2024-09-04,FIS,,Information Technology Services,47.278B,82.69999694824219,83.29000091552734,82.12999725341797,82.03996276855469,2020200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027834151708461,81.35154942103794,0.8166501725285334,3.1163330078125,0.0078478062913714,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,23.2,23.31,19.34,21.32,0.5348147802338881,0.0064982168382592,0.0794189010826696,0.0,0.8166501725285334,82.03996276855469
2024-09-05,FIS,,Information Technology Services,47.278B,82.80999755859375,82.91999816894531,81.6500015258789,82.10965728759766,2317700,0.0,0.0,0.0,0.0,0.0,0.0,0.0008495191451949,81.64881787981305,0.6066202513666008,2.0808792114257812,0.0068908089425387,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,20.75,21.53,19.21,19.9,0.5348147802338881,0.0036763301319201,0.0421568814877778,0.0,0.6066202513666008,82.10965728759766
2024-09-06,FIS,,Information Technology Services,47.278B,82.2699966430664,83.11000061035156,81.08000183105469,81.00450134277344,2725100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134595123318234,81.62463814871651,0.6315720410915692,-0.1692581176757812,0.0096197524192914,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.98,23.76,18.83,22.38,0.5348147802338881,0.0040115734312307,0.1484120821193608,0.0,0.6315720410915692,81.00450134277344
2024-09-09,FIS,,Information Technology Services,47.278B,81.86000061035156,82.95999908447266,81.29000091552734,82.02999877929688,3340400,0.0,0.0,0.0,0.0,0.0,0.0,0.0126597586495103,81.7882058279855,0.5512574150378702,1.1449737548828125,0.0106020933090115,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.32,21.41,19.29,19.45,0.5348147802338881,0.0029324949155044,0.1866608876424501,0.0,0.5512574150378702,82.02999877929688
2024-09-10,FIS,,Information Technology Services,47.278B,82.23999786376953,83.47000122070312,81.05000305175781,83.41999816894531,2980600,0.0,0.9998574256896972,1.0,0.0,0.0,0.0,0.0169450129261643,82.13754381452289,0.7035497521628076,2.4453659057617188,0.0114987638439509,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.86,20.74,18.9,19.08,0.5348147802338881,0.0049786401467776,0.2215739990359436,0.0,0.7035497521628076,83.41999816894531
2024-09-11,FIS,,Information Technology Services,47.278B,82.94000244140625,83.61000061035156,81.62999725341797,83.52999877929688,3340900,0.0,0.9978269934654236,1.0,0.0,0.0,0.0,0.001318635971782,82.34329550606864,0.8765655084969345,1.4402618408203125,0.0101807261882153,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.41,21.41,17.55,17.69,0.5348147802338881,0.0073032178073579,0.1702543741542962,0.0,0.8765655084969345,83.52999877929688
2024-09-12,FIS,,Information Technology Services,47.278B,83.54000091552734,84.4000015258789,83.18000030517578,84.25,2417600,0.0,0.0,0.0,0.0,0.0,0.0,0.008619672347961,82.62630244663784,1.131337484919127,1.981048583984375,0.0090040957517223,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.62,18.59,16.89,17.07,0.5348147802338881,0.0107262427241707,0.1244406355540515,0.0,1.131337484919127,84.25
2024-09-13,FIS,,Information Technology Services,47.278B,84.41000366210938,84.7699966430664,84.12000274658203,84.13999938964844,2639900,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013056452267248,82.92630767822266,1.2245413612883786,2.10003662109375,0.0084563592437042,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.03,17.18,16.23,16.56,0.5348147802338881,0.011978496585195,0.1031137546389654,0.0,1.2245413612883786,84.13999938964844
2024-09-16,FIS,,Information Technology Services,47.278B,84.55000305175781,85.26000213623047,83.61000061035156,85.02999877929688,3049200,0.0,0.0,0.0,0.0,0.0,0.0,0.0105776015700558,83.34349931989398,1.3866786217495863,2.9203414916992188,0.0079540861169565,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.16,17.69,16.91,17.14,0.5348147802338881,0.0141569146761343,0.0835570535533365,0.0,1.3866786217495863,85.02999877929688
2024-09-17,FIS,,Information Technology Services,47.278B,84.73999786376953,85.62999725341797,84.56999969482422,85.04000091552734,1866300,0.0,0.0,0.0,0.0,0.0,0.0,0.0001176306759269,83.91999925885882,1.0502385816035076,4.035499572753906,0.0073502144936546,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.16,18.08,16.67,17.61,0.5348147802338881,0.0096366269403863,0.0600444740381259,0.0,1.0502385816035076,85.04000091552734
2024-09-18,FIS,,Information Technology Services,47.278B,84.87999725341797,85.18000030517578,84.08000183105469,84.43000030517578,2688100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0071731021141155,84.26285661969867,0.6433179015925756,2.4000015258789062,0.0083042658935318,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.58,19.39,17.11,18.23,0.5348147802338881,0.0041693866009873,0.0971917890229798,0.0,0.6433179015925756,84.43000030517578
2024-09-19,FIS,,Information Technology Services,47.278B,85.06999969482422,85.13999938964844,83.66000366210938,84.41000366210938,3150000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002368428638414,84.40428597586495,0.5250989715665407,0.9900054931640624,0.0072312964125786,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.21,17.27,16.21,16.33,0.5348147802338881,0.0025810394491503,0.0554142335545491,0.0,0.5250989715665407,84.41000366210938
2024-09-20,FIS,,Information Technology Services,47.278B,83.48999786376953,84.0999984741211,83.31999969482422,84.05999755859375,6188700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041465002763971,84.48000008719308,0.4017465215045857,0.529998779296875,0.0067049457338569,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,16.35,16.68,15.81,16.15,0.5348147802338881,0.0009237201629339,0.034920039575605,0.0,0.4017465215045857,84.05999755859375
2024-09-23,FIS,,Information Technology Services,47.278B,84.36000061035156,84.63999938964844,83.62000274658203,84.38999938964844,2172300,0.0,0.0,0.0,0.0,0.0,0.0,0.0039257892057951,84.5,0.391748583300972,0.1399993896484375,0.0061346208889231,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,16.71,16.95,15.75,15.89,0.5348147802338881,0.0007893914503795,0.0127136504217599,0.0,0.391748583300972,84.38999938964844
2024-09-24,FIS,,Information Technology Services,47.278B,84.12000274658203,84.61000061035156,83.56999969482422,84.02999877929688,3728700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042659155463357,84.48428562709263,0.4103603766828497,-0.1100006103515625,0.0058080972629928,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.87,16.67,15.27,15.39,0.5348147802338881,0.0010394528322764,0.0,0.0,0.4103603766828497,84.02999877929688
2024-09-25,FIS,,Information Technology Services,47.278B,83.76000213623047,84.11000061035156,81.81999969482422,82.30999755859375,3385900,0.0,0.0,0.0,0.0,0.0,0.0,-0.0204688949861903,84.09571402413505,0.8547109022412711,-2.720001220703125,0.0106070391758312,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.82,15.82,15.17,15.41,0.5348147802338881,0.0070095871545254,0.186853461829384,0.0,0.8547109022412711,82.30999755859375
2024-09-26,FIS,,Information Technology Services,47.278B,82.93000030517578,83.47000122070312,82.55999755859375,82.94000244140625,3170500,0.0,0.0,0.0,0.0,0.0,0.0,0.0076540505588524,83.79571424211774,0.8363787821302205,-2.0999984741210938,0.0110542677477851,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.06,15.83,14.9,15.37,0.5348147802338881,0.0067632833624076,0.2042669268007013,0.0,0.8363787821302205,82.94000244140625
2024-09-27,FIS,,Information Technology Services,47.278B,83.26000213623047,84.06999969482422,82.94000244140625,83.12999725341797,2075800,0.0,0.0,0.0,0.0,0.0,0.0,0.0022907500171096,83.60999952043805,0.8161502514345149,-1.3000030517578125,0.0098016671684325,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.64,16.97,15.2,16.96,0.5348147802338881,0.0064915000777061,0.1554951852808938,0.0,0.8161502514345149,83.12999725341797
2024-09-30,FIS,,Information Technology Services,47.278B,83.16000366210938,83.83000183105469,82.66000366210938,83.75,2386400,0.0,0.0,0.0,0.0,0.0,0.0,0.0074582312891455,83.51571328299386,0.7431881371369333,-0.660003662109375,0.0093814161586586,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.01,17.79,16.47,16.73,0.5348147802338881,0.0055112072734061,0.1391321291239788,0.0,0.7431881371369333,83.75
2024-10-01,FIS,,Information Technology Services,47.278B,83.75,84.19000244140625,82.83000183105469,83.66999816894531,2695500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009552457439365,83.45999908447266,0.7094365831461076,-0.3899993896484375,0.0081786422295139,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,16.96,20.73,16.61,19.26,0.5348147802338881,0.0050577334969171,0.0923004573636739,0.0,0.7094365831461076,83.66999816894531
2024-10-02,FIS,,Information Technology Services,47.278B,83.33999633789062,83.75,82.87999725341797,83.45999908447266,2235600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025098492777378,83.32714189801898,0.5818567695264345,-0.9300003051757812,0.0072261108141416,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,19.65,20.36,18.58,18.9,0.5348147802338881,0.0033436168698247,0.0552123250844719,0.0,0.5818567695264345,83.45999908447266
2024-10-03,FIS,,Information Technology Services,47.278B,83.26000213623047,83.77999877929688,82.7699966430664,83.70999908447266,2219000,0.0,0.0,0.0,0.0,0.0,0.0,0.0029954469535395,83.28142765590123,0.5274604388948967,-0.3199996948242187,0.0064355541496663,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,19.63,20.75,19.16,20.49,0.5348147802338881,0.0026127672773782,0.024430904468749,0.0,0.5274604388948967,83.70999908447266
2024-10-04,FIS,,Information Technology Services,47.278B,84.16000366210938,84.77999877929688,83.9000015258789,84.62999725341797,2108400,0.0,0.0,0.0,0.0,0.0,0.0,0.010990301983123,83.61285618373326,0.5439571872798293,2.3199996948242188,0.0073981460214599,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,20.48,20.48,18.48,19.21,0.5348147802338881,0.0028344116731278,0.0619107545774323,0.0,0.5439571872798293,84.62999725341797
2024-10-07,FIS,,Information Technology Services,47.278B,84.5999984741211,84.77999877929688,84.12000274658203,84.30000305175781,2556500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038992580925178,83.80714198521206,0.5050654051108777,1.3600006103515625,0.0072138022302803,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,20.76,23.03,20.65,22.64,0.5348147802338881,0.0023118756340661,0.0547330732938745,0.0,0.5050654051108777,84.30000305175781
2024-10-08,FIS,,Information Technology Services,47.278B,84.62000274658203,86.16000366210938,84.16000366210938,85.91000366210938,3786300,0.0,0.0,0.0,0.0,0.0,0.0,0.0190984644373388,84.20428575788226,0.8553738356035328,2.7800064086914062,0.0103643970479398,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,22.92,23.14,21.14,21.42,0.5348147802338881,0.0070184940894602,0.1774058539179683,0.0,0.8553738356035328,85.91000366210938
2024-10-09,FIS,,Information Technology Services,47.278B,86.22000122070312,86.66999816894531,85.87999725341797,86.37000274658203,2436300,0.0,0.0,0.0,0.0,0.0,0.0,0.0053544298086851,84.57857186453683,1.1469750280408684,2.6200027465820312,0.0089786694989622,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,21.98,22.01,20.71,20.86,0.5348147802338881,0.0109363431461054,0.1234506291243293,0.0,1.1469750280408684,86.37000274658203
2024-10-10,FIS,,Information Technology Services,47.278B,86.08000183105469,86.66000366210938,85.8499984741211,86.48999786376953,2515300,0.0,0.0,0.0,0.0,0.0,0.0,0.0013893147316386,84.98142896379743,1.263942020225159,2.8199996948242188,0.0080348140389411,Medium,4.83,315.454,23386.248,4.1,102.2805,5792.319548,20.91,21.39,20.64,20.93,0.5348147802338881,0.0125078697100317,0.0867003072044717,0.0,1.263942020225159,86.48999786376953
