Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days)_USP1_2,Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Volatility (7 Days)_USP3,Close
2024-08-01,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,85.4749984741211,87.98500061035156,81.25499725341797,82.78120422363281,28880000,9.0,0.9581847749059162,63.0,0.1428571428571428,259920000.0,1.0,0.0,82.78120422363281,82.78120422363281,82.78120422363281,0.0451171515455586,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0.9240291625043612,1.0,0.6865190482482382,0.0,82.78120422363281,82.78120422363281
2024-08-02,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,80.0,80.54299926757812,75.80000305175781,76.0686264038086,27073000,-3.0,0.911014594413616,27.0,-0.1111111111111111,-81219000.0,-0.3124769159741459,-0.0810881876239713,79.4249153137207,4.7465092956401165,76.0686264038086,0.0573380073430371,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0.0,0.0498032330339461,0.9671216538240776,0.0,4.7465092956401165,76.0686264038086
2024-08-05,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,74.06800079345703,79.38500213623047,72.0,76.80538177490234,23639000,-2.0,0.906883430480957,10.0,-0.2,-47278000.0,-0.1818944290550938,0.0096854039033478,78.55173746744792,3.681303288302088,76.80538177490234,0.0431885891896434,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0.0919345891397949,0.0368326523805664,0.642237401279051,0.0,3.681303288302088,76.80538177490234
2024-08-06,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,77.50399780273438,79.49800109863281,76.58599853515625,76.783447265625,12832000,1.0,0.9583974509012132,21.0,0.0476190476190476,12832000.0,0.0493690366266543,-0.000285585577084,78.10966491699219,3.1331095033169385,76.783447265625,0.0347119715950676,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0.2547520710405367,0.0301575194458579,0.4476061067997612,0.0,3.1331095033169385,76.783447265625
2024-08-07,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,79.79900360107422,80.32599639892578,74.33599853515625,74.57815551757812,12823000,-3.0,0.923185972067026,13.0,-0.2307692307692307,-38469000.0,-0.1480032317636195,-0.0287209265353491,77.40336303710937,3.13952115735205,74.57815551757812,0.0302295965511873,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0.1157951647189604,0.0302355915513577,0.3446864637465765,0.0,3.13952115735205,74.57815551757812
2024-08-08,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,78.0199966430664,80.11799621582031,76.0,79.67066955566406,14911000,-1.0,0.949261466662089,21.0,-0.0476190476190476,-14911000.0,-0.0573676515851031,0.0682842583427212,77.78124745686848,2.9566965157332303,79.67066955566406,0.0473207343793334,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0.1796057492908731,0.02800941019,0.7371154299588365,0.0,2.9566965157332303,79.67066955566406
2024-08-09,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,80.80000305175781,81.63400268554688,79.15599822998047,80.54500579833984,12528000,0.0,0.9971560388803482,4.0,0.0,0.0,0.0,0.0109743805035416,78.17607007707868,2.894173379130045,80.54500579833984,0.0405184460661433,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0.2199945610130817,0.0272480913648833,0.5809283464852674,0.0,2.894173379130045,80.54500579833984
2024-08-12,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,80.74400329589844,82.2509994506836,79.8219985961914,80.84310150146484,7256000,0.0,0.999969244003296,1.0,0.0,0.0,0.0,0.0037009830736289,77.89919825962612,2.4367542407404064,-1.9381027221679688,0.0348860638801743,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0.2199945610130817,0.0216782844111008,0.4516034331426244,0.0,2.4367542407404064,80.84310150146484
2024-08-13,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,81.5,84.2239990234375,81.27400207519531,83.82103729248047,15018000,-1.0,0.7820295989513397,2.0,-0.5,-15018000.0,-1.17035536159601,0.0368359913920628,79.00668552943638,3.1293800030459056,7.752410888671875,0.0333006696334313,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0.1793159227967227,0.0301121068367203,0.415201256087821,0.0,3.1293800030459056,83.82103729248047
2024-08-14,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,84.8759994506836,85.66899871826172,82.7249984741211,84.27665710449219,8602000,1.0,0.9994150201479594,3.0,0.3333333333333333,8602000.0,0.67035536159601,0.0054356260281283,80.07401057652065,3.505013031597692,7.471275329589844,0.0290600785545609,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0.2432944442157132,0.0346860375687483,0.3178332054674866,0.0,3.505013031597692,84.27665710449219
2024-08-15,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,86.46700286865234,89.51000213623047,85.86699676513672,88.74008178710938,12064000,0.0,0.9228524168332418,6.0,0.0,0.0,0.0,0.0529615772144724,81.78210122244698,4.426448272431902,11.956634521484377,0.031644888709707,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0.2199945610130817,0.0459059800266149,0.3771829332175297,0.0,4.426448272431902,88.74008178710938
2024-08-16,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,87.15399932861328,88.14099884033203,86.0,86.8498306274414,11232000,2.0,0.9430612683296205,5.0,0.4,22464000.0,1.0,-0.0213009850971599,83.53519766671317,3.411555936674328,12.27167510986328,0.0341225621207425,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0.2808418728317186,0.0335480485046767,0.4340726982572241,0.0,3.411555936674328,86.8498306274414
2024-08-19,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,86.5,88.19599914550781,84.80999755859375,87.86075592041016,10306000,0.0,0.9998791217803956,1.0,0.0,0.0,0.0,0.0116399224461969,84.70521000453404,3.266640936415999,8.190086364746094,0.0295398612566501,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0.2199945610130817,0.0317834774397496,0.3288494778585105,0.0,3.266640936415999,87.86075592041016
2024-08-20,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,88.06500244140625,88.20500183105469,85.6259994506836,86.02434539794922,9951000,0.0,0.8851035833358765,3.0,0.0,0.0,0.0,-0.0209013740346654,85.48797280447823,2.7132223765264185,5.479339599609375,0.0297058847543632,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,14.89,15.93,14.78,15.88,0.2199945610130817,0.0250447245443698,0.3326615370806414,0.0,2.7132223765264185,86.02434539794922
2024-08-21,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,86.94999694824219,87.6989974975586,86.04399871826172,87.06816864013672,8452000,0.0,0.99752014875412,2.0,0.0,0.0,0.0,0.0121340445819002,86.37726811000279,1.8053494796197975,6.225067138671875,0.0260512360254088,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.25,17.17,15.92,16.27,0.2199945610130817,0.0139899252367951,0.2487472864910366,0.0,1.8053494796197975,87.06816864013672
2024-08-22,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,87.4990005493164,87.69999694824219,83.0,83.31857299804688,13665000,-1.0,0.99948521455129,3.0,-0.3333333333333333,-13665000.0,-0.6083066239316239,-0.043065056962291,86.30548749651227,1.9296352445268636,-0.5024642944335938,0.0320226883827475,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,18.06,15.76,17.55,0.1829807381853719,0.0155033024865373,0.385857577153901,0.0,1.9296352445268636,83.31857299804688
2024-08-23,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,85.0999984741211,86.20700073242188,83.52899932861328,84.48004150390625,10671000,1.0,0.8606069485346476,3.0,0.3333333333333333,10671000.0,0.4750267094017094,0.013940091195352,86.33454241071429,1.8952196028245865,0.2033843994140625,0.029352039905147,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,17.12,17.21,15.61,15.86,0.2488986593222285,0.015084237203989,0.3245369189438213,0.0,1.8952196028245865,84.48004150390625
2024-08-26,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,84.0999984741211,84.33999633789062,81.50399780273438,81.64266967773438,11154000,-1.0,0.950517639517784,8.0,-0.125,-11154000.0,-0.4965277777777778,-0.0335862977297505,85.32062639508929,2.25765417714533,-7.097412109375,0.029522735941275,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.67,15.81,16.15,0.1897821804920224,0.0194974557226758,0.3284562641429414,0.0,2.25765417714533,81.64266967773438
2024-08-27,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,81.06700134277344,82.88500213623047,79.94000244140625,81.79520416259766,8911000,0.0,0.9971206784248352,1.0,0.0,0.0,0.0,0.0018683181902965,84.59853690011161,2.4840242203359386,-5.05462646484375,0.0261149940744753,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.21,16.81,15.37,15.43,0.2199945610130817,0.0222538717421933,0.2502112326328595,0.0,2.4840242203359386,81.79520416259766
2024-08-28,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,81.99299621582031,82.15499877929688,79.94300079345703,80.26685333251953,11739000,0.0,0.9465667963027954,5.0,0.0,0.0,0.0,-0.0186850909625455,83.51369367327008,2.4801032830937935,-7.593902587890625,0.0233044338678591,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.51,17.89,15.46,17.11,0.2199945610130817,0.0222061280828582,0.1856780665294679,0.0,2.4801032830937935,80.26685333251953
2024-08-29,LRCX,Technology,Semiconductor Equipment & Materials,90.133B,81.83999633789062,82.69599914550781,79.3740005493164,79.49021911621094,12437000,3.0,0.9220965845244272,7.0,0.4285714285714285,37311000.0,1.0,-0.0096756529509292,82.5802470615932,2.604201450207793,-6.534126281738281,0.0201821530171252,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.54,16.57,15.19,15.65,0.3210573303892018,0.0237172210305137,0.1139874945618116,0.0,2.604201450207793,79.49021911621094
