Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days)_USP1_2,Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Volatility (7 Days)_USP3,Close
2024-08-01,PLTR,Technology,Software Infrastructure,149.825B,27.020000457763672,27.53499984741211,25.829999923706055,26.079999923706055,31189600,4.0,0.9295865849393312,61.0,0.0655737704918032,124758400.0,1.0,0.0,26.079999923706055,26.079999923706055,26.079999923706055,0.0633934210077212,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0.0785496260712192,1.0,0.8989880640813137,0.0,26.079999923706055,26.079999923706055
2024-08-02,PLTR,Technology,Software Infrastructure,149.825B,24.75,24.8700008392334,23.75,24.739999771118164,56092600,16.0,0.9458322153263484,194.0,0.0824742268041237,897481600.0,1.0,-0.0513803740992293,25.40999984741211,0.9475231946859058,24.739999771118164,0.0363314109454667,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0.1529092920819168,0.0242077079199334,0.3940190939494762,0.0,0.9475231946859058,24.739999771118164
2024-08-05,PLTR,Technology,Software Infrastructure,149.825B,21.739999771118164,24.420000076293945,21.229999542236328,24.09000015258789,88023500,57.0,0.953995892867236,710.0,0.080281690140845,5017339500.0,1.0,-0.026273226537742,24.96999994913737,1.0147412644015403,24.09000015258789,0.0262923373667424,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0.5493659501135815,0.0268175133531273,0.2066929997508465,0.0,1.0147412644015403,24.09000015258789
2024-08-06,PLTR,Technology,Software Infrastructure,149.825B,27.049999237060547,27.420000076293945,25.56999969482422,26.59000015258789,99622700,52.0,0.9537588371441208,441.0,0.1179138321995464,5180380400.0,1.0,0.1037775003804404,25.375,1.1586918143238476,26.59000015258789,0.0652830125455417,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0.5650554840502919,0.0324065302482541,0.934247273971045,0.0,1.1586918143238476,26.59000015258789
2024-08-07,PLTR,Technology,Software Infrastructure,149.825B,27.06999969482422,28.36000061035156,26.239999771118164,26.31999969482422,75975400,13.0,0.9489328030576096,235.0,0.0553191489361702,987680200.0,0.1906578520758823,-0.0101542104631162,25.563999938964844,1.0888204282981608,26.31999969482422,0.0553102566294394,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0.1615891631801735,0.0296937072879093,0.7481586474150164,0.0,1.0888204282981608,26.31999969482422
2024-08-08,PLTR,Technology,Software Infrastructure,149.825B,27.040000915527344,29.375,26.690000534057617,29.280000686645508,96892900,47.0,0.9550468385766404,436.0,0.1077981651376146,4553966300.0,0.8790795170177078,0.1124620450661846,26.18333339691162,1.8027388975826169,29.280000686645508,0.068752057805802,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0.5047752397656741,0.0574122702856013,0.9989786153749008,0.0,1.8027388975826169,29.280000686645508
2024-08-09,PLTR,Technology,Software Infrastructure,149.825B,29.280000686645508,30.36000061035156,29.100000381469727,30.010000228881836,88131100,28.0,0.9544632107019424,450.0,0.0622222222222222,2467670800.0,0.476349342994194,0.0249316777703929,26.73000008719308,2.190920864817079,30.010000228881836,0.0589354693226664,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0.3040096401568863,0.07248380404791,0.8158040261580024,0.0,2.190920864817079,30.010000228881836
2024-08-12,PLTR,Technology,Software Infrastructure,149.825B,30.219999313354492,31.200000762939453,29.270000457763672,29.3799991607666,67890300,11.0,0.9555547595024108,165.0,0.0666666666666666,746793300.0,0.1441580043040854,-0.0209930377644221,27.2014285496303,2.375046902216909,3.299999237060547,0.0564528195112778,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0.1384084570355253,0.0796326724226109,0.769478527217941,0.0,2.375046902216909,29.3799991607666
2024-08-13,PLTR,Technology,Software Infrastructure,149.825B,29.788999557495117,30.850000381469727,29.559999465942383,30.38999938964844,57294200,15.0,0.956178500198982,142.0,0.1056338028169014,859413000.0,0.1658976626504107,0.034377136069853,28.00857135227748,2.359134112672522,5.649999618530277,0.049262854196002,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0.1492459254565911,0.0790148432468268,0.6353159364796246,0.0,2.359134112672522,30.38999938964844
2024-08-14,PLTR,Technology,Software Infrastructure,149.825B,30.6200008392334,31.3700008392334,30.329999923706055,31.0,49885600,29.0,0.9662150850608237,168.0,0.1726190476190476,1446682400.0,0.279261808650191,0.0200724127213816,28.99571418762207,1.833274430957904,6.909999847412109,0.0425838779876357,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0.2057592492992074,0.0585978413864293,0.51068824882024,0.0,1.833274430957904,31.0
2024-08-15,PLTR,Technology,Software Infrastructure,149.825B,31.309999465942383,31.4950008392334,30.829999923706055,31.219999313354492,43407600,-14.0,0.9508888673508304,261.0,-0.053639846743295,-607706400.0,-0.1334455197878825,0.0070967520436933,29.657142639160156,1.646356682794352,4.629999160766602,0.0374792639080956,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0.008064052592136,0.0513405821883993,0.4154376850692079,0.0,1.646356682794352,31.219999313354492
2024-08-16,PLTR,Technology,Software Infrastructure,149.825B,31.040000915527344,32.75,30.979999542236328,32.08000183105469,64870600,18.0,0.9643470130486196,358.0,0.0502793296089385,1167670800.0,0.2564074310343491,0.0275465258364795,30.48000008719308,1.021192516637912,5.760002136230469,0.0327297466003648,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0.1789097779890276,0.0270679893517481,0.3268131203014436,0.0,1.021192516637912,32.08000183105469
2024-08-19,PLTR,Technology,Software Infrastructure,149.825B,32.41999816894531,32.59000015258789,31.81399917602539,32.5,52353600,3.0,0.9556952686910344,266.0,0.0112781954887218,157060800.0,0.0636473876499247,0.0130922115016445,30.939999989100865,1.1117708587626374,3.219999313354492,0.0285466908834325,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0.0816581074463662,0.0305847795601974,0.2487585584812333,0.0,1.1117708587626374,32.5
