Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days)_USP1_2,Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Volatility (7 Days)_USP3,Close
2024-08-01,RELL,Technology,Electronic Components,199.747M,11.989999771118164,12.100000381469728,11.43000030517578,11.629826545715332,121300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.629826545715332,11.629826545715332,11.629826545715332,0.0253896432260022,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0.3424051481431827,1.0,0.4282073450137055,0.0,11.629826545715332,11.629826545715332
2024-08-02,RELL,Technology,Electronic Components,199.747M,11.260000228881836,11.609999656677246,11.229999542236328,11.312829971313477,116000,0.0,0.0,0.0,0.0,0.0,0.0,-0.0272572056991377,11.471328258514404,0.2241504273724579,11.312829971313477,0.0192737549860568,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0.3424051481431827,0.0132421948210977,0.2555903597376499,0.0,0.2241504273724579,11.312829971313477
2024-08-05,RELL,Technology,Electronic Components,199.747M,11.0,11.390000343322754,11.0,11.124611854553224,153500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0166375802727988,11.355756123860678,0.2553281456692253,11.124611854553224,0.0144633412927406,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0.3424051481431827,0.0159395234632399,0.1198195481901988,0.0,0.2553281456692253,11.124611854553224
2024-08-06,RELL,Technology,Electronic Components,199.747M,11.18000030517578,11.18000030517578,10.84000015258789,10.74817943572998,112900,0.0,0.0,0.0,0.0,0.0,0.0,-0.0338378024999742,11.203861951828005,0.3684413105284069,10.74817943572998,0.0170613151468106,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0.3424051481431827,0.0257254666318157,0.1931456779233317,0.0,0.3684413105284069,10.74817943572998
2024-08-07,RELL,Technology,Electronic Components,199.747M,10.979999542236328,11.260000228881836,10.81999969482422,10.817522048950195,92900,0.0,0.0,0.0,0.0,0.0,0.0,0.0064515682525452,11.126593971252442,0.3628545901446532,10.817522048950195,0.0177658438422072,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0.3424051481431827,0.0252421336065025,0.2130305441387614,0.0,0.3628545901446532,10.817522048950195
2024-08-08,RELL,Technology,Electronic Components,199.747M,11.100000381469728,11.390000343322754,10.9399995803833,11.233580589294434,64800,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,11.14442507425944,0.3274728267779062,11.233580589294434,0.0277293773042249,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0.3424051481431827,0.0221810935768823,0.4942448242947296,0.0,0.3274728267779062,11.233580589294434
2024-08-09,RELL,Technology,Electronic Components,199.747M,11.3100004196167,11.489999771118164,11.220000267028809,11.402880668640137,72400,0.0,0.0,0.0,0.0,0.0,0.0,0.0150708919564832,11.181347302028112,0.3144966346752723,11.402880668640137,0.0244887146256524,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0.3424051481431827,0.0210584631684857,0.4027792186582201,0.0,0.3144966346752723,11.402880668640137
2024-08-12,RELL,Technology,Electronic Components,199.747M,11.510000228881836,11.510000228881836,11.199999809265137,11.373003959655762,78200,0.0,0.0,0.0,0.0,0.0,0.0,-0.002620101871849,11.144658361162458,0.2644569571323683,-0.2568225860595703,0.0213938597571885,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0.3424051481431827,0.0167292991740175,0.3154289440452995,0.0,0.2644569571323683,11.373003959655762
2024-08-13,RELL,Technology,Electronic Components,199.747M,11.5,11.760000228881836,11.470000267028809,11.62197494506836,64300,0.0,0.0,0.0,0.0,0.0,0.0,0.0218914005741832,11.188821928841728,0.3176794450631936,0.3091449737548828,0.0204024638087477,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0.3424051481431827,0.0213338228192507,0.2874474353713813,0.0,0.3176794450631936,11.62197494506836
2024-08-14,RELL,Technology,Electronic Components,199.747M,11.739999771118164,11.739999771118164,11.350000381469728,11.313250541687012,45100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0265638503645502,11.215770312717982,0.3193215247974015,0.1886386871337873,0.0239539200805008,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0.3424051481431827,0.0214758867335372,0.3876849889234117,0.0,0.3193215247974015,11.313250541687012
2024-08-15,RELL,Technology,Electronic Components,199.747M,11.649999618530272,11.8100004196167,11.59000015258789,11.62197494506836,57300,0.0,0.0,0.0,0.0,0.0,0.0,0.027288744489814,11.340598242623466,0.2735825005681433,0.8737955093383789,0.024502350792089,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0.3424051481431827,0.0175187921526291,0.4031640906258984,0.0,0.2735825005681433,11.62197494506836
2024-08-16,RELL,Technology,Electronic Components,199.747M,11.68000030517578,11.779999732971191,11.520000457763672,11.492509841918944,63500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0111396818321616,11.43702507019043,0.1491452344713607,0.6749877929687482,0.0227301615749096,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0.3424051481431827,0.0067531485991837,0.3531451975385107,0.0,0.1491452344713607,11.492509841918944
