Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Event_Flag
2024-08-01,CRWD,Technology,Software Infrastructure,82.546B,232.0,232.1999969482422,221.66000366210935,224.22000122070312,224.22000122070312,9914200,-13.0,0.949831207244717,171.0,-0.0760233918128654,-128884600.0,1.0,0.0,224.22000122070312,224.22000122070312,224.22000122070312,0.0261598686433789,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0
2024-08-02,CRWD,Technology,Software Infrastructure,82.546B,217.1499938964844,221.4750061035156,211.13999938964844,217.88999938964844,217.88999938964844,8978100,-15.0,0.9540654632869184,149.0,-0.1006711409395973,-134671500.0,1.0448998561503855,-0.028231209511162,221.05500030517575,4.4759872196620325,217.88999938964844,0.0199624796864408,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0
2024-08-05,CRWD,Technology,Software Infrastructure,82.546B,201.53500366210935,224.1199951171875,200.80999755859375,222.0500030517578,222.0500030517578,10942200,-26.0,0.9460926307034372,197.0,-0.1319796954314721,-284497200.0,2.2073793145185694,0.0190922193481222,221.38666788736975,3.216712755364425,222.0500030517578,0.0202510209450333,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0
2024-08-06,CRWD,Technology,Software Infrastructure,82.546B,230.19000244140625,235.2400054931641,221.55999755859375,231.69000244140625,231.69000244140625,10613400,1.0,0.9393271319568156,72.0,0.0138888888888888,10613400.0,1.0,0.0434136422299504,223.9625015258789,5.782545837845407,231.69000244140625,0.0277385928033833,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0
2024-08-07,CRWD,Technology,Software Infrastructure,82.546B,238.3699951171875,243.5,230.1000061035156,230.6699981689453,230.6699981689453,9349000,-6.0,0.957423629640024,158.0,-0.0379746835443038,-56094000.0,-5.285205494940358,-0.0044024526812238,225.3040008544922,5.837506275665736,230.6699981689453,0.0241009971273161,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0
2024-08-08,CRWD,Technology,Software Infrastructure,82.546B,233.8800048828125,242.0399932861328,229.72000122070312,240.52000427246097,240.52000427246097,6675000,-2.0,0.9247393126671132,26.0,-0.0769230769230769,-13350000.0,-1.2578438577647126,0.0427017218611212,227.84000142415368,8.11473825521742,240.52000427246097,0.0267411676990127,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0
2024-08-09,CRWD,Technology,Software Infrastructure,82.546B,242.17999267578125,246.0099945068359,238.8000030517578,240.8999938964844,240.8999938964844,5938900,-3.0,0.9380211443514436,37.0,-0.081081081081081,-17816700.0,-1.6786986262649104,0.0015798670267483,229.7057146344866,8.901704777253855,240.8999938964844,0.0238314812591195,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0
2024-08-12,CRWD,Technology,Software Infrastructure,82.546B,242.0,242.8699951171875,235.6000061035156,239.33999633789065,239.33999633789065,3729400,1.0,0.9971351325511932,16.0,0.0625,3729400.0,0.3513859837563834,-0.006475706094306,231.86571393694197,9.17886377340566,15.119995117187528,0.0223068685283806,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0
2024-08-13,CRWD,Technology,Software Infrastructure,82.546B,242.0,248.97000122070312,240.0050048828125,248.11000061035156,248.11000061035156,5126800,0.0,0.9013417038050564,22.0,0.0,0.0,0.0,0.0366424517700743,236.182856968471,8.598463290632775,30.220001220703125,0.023612556813118,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0
2024-08-14,CRWD,Technology,Software Infrastructure,82.546B,250.0,258.9599914550781,249.25599670410156,256.2200012207031,256.2200012207031,5713900,2.0,0.9516974840727116,72.0,0.0277777777777777,11427800.0,1.0,0.0326871169658655,241.0642852783203,8.930776555507093,34.16999816894531,0.0220601710084847,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0
