Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Event_Flag
8/1/24,ON,Technology,Semiconductors,27.575B,76.27999878,76.90000153,70.98000336,71.90000153,71.90000153,11569500,-1,0.936095214,5,-0.2,-11569500,1,0,71.90000153,71.90000153,71.90000153,0.04499682,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0
8/2/24,ON,Technology,Semiconductors,27.575B,69.5,69.84999847,67.12999725,67.94999695,67.94999695,11552900,-2,0.949744443,9,-0.222222222,-23105800,1.997130386,-0.054937476,69.92499924,2.793075023,67.94999695,0.038846662,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0
8/5/24,ON,Technology,Semiconductors,27.575B,66.84999847,71.91999817,66.51000214,68.97000122,68.97000122,10311900,-2,0.840496555,4,-0.5,-20623800,1.782600804,0.015011101,69.60666656,2.050522156,68.97000122,0.031444665,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0
8/6/24,ON,Technology,Semiconductors,27.575B,69.01999664,70.72000122,67.44999695,68.51000214,68.51000214,6388300,0,0.971335471,2,0,0,0,-0.006669553,69.33250046,1.761749781,68.51000214,0.024833415,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0
8/7/24,ON,Technology,Semiconductors,27.575B,70.08000183,71.20999908,66.18000031,66.38999939,66.38999939,7370100,1,0.998804778,4,0.25,7370100,1,-0.030944427,68.74400024,2.014816177,66.38999939,0.023808058,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0
8/8/24,ON,Technology,Semiconductors,27.575B,68.94999695,72.48000336,68.23000336,72.23000336,72.23000336,9541700,0,0.987369597,1,0,0,0,0.087965116,69.32500076,2.296292011,72.23000336,0.052468626,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0
8/9/24,ON,Technology,Semiconductors,27.575B,70.97000122,71.88999939,69.91999817,71.30000305,71.30000305,4275600,0,0,0,0,0,0,-0.01287554,69.60714395,2.225166121,71.30000305,0.046449131,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0
8/12/24,ON,Technology,Semiconductors,27.575B,71.31999969,71.66000366,69.61000061,70.37000275,70.37000275,3962500,0,0.728741258,2,0,0,0,-0.013043482,69.38857269,2.028896642,-1.529998779,0.040955313,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0
8/13/24,ON,Technology,Semiconductors,27.575B,71.38999939,73.33999634,70.72000122,72.91000366,72.91000366,5650600,1,0.999998689,1,1,5650600,0.766692447,0.036094938,70.09714508,2.291832659,4.960006714,0.038921062,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0
8/14/24,ON,Technology,Semiconductors,27.575B,73.05000305,73.23999786,70.27999878,71.08000183,71.08000183,5065100,-1,0.999973893,1,-1,-5065100,-0.687249834,-0.025099462,70.39857374,2.257377574,2.11000061,0.037452742,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0
8/15/24,ON,Technology,Semiconductors,27.575B,73,76.62000275,72.81999969,75.87999725,75.87999725,8367500,1,0.999980569,1,1,8367500,1,0.067529478,71.45143018,2.866306428,7.369995117,0.04487071,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0
8/16/24,ON,Technology,Semiconductors,27.575B,75,76.48000336,74.81999969,75.83999634,75.83999634,5390100,0,0,0,0,0,0,-0.00052716,72.80142975,2.242699812,9.449996948,0.039770796,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0
8/19/24,ON,Technology,Semiconductors,27.575B,75.63999939,77.76999664,75.01000214,77.72000122,77.72000122,5014000,0,0,0,0,0,0,0.024789095,73.58571516,2.879186999,5.489997864,0.034851045,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0
8/20/24,ON,Technology,Semiconductors,27.575B,76.77999878,77.08000183,75.20999908,75.81999969,75.81999969,5060000,1,0.947048247,2,0.5,5060000,0.604720645,-0.024446751,74.23142896,2.78649212,4.519996643,0.035648178,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,14.89,15.93,14.78,15.88,0
8/21/24,ON,Technology,Semiconductors,27.575B,76.95999908,77.94000244,75.88999939,76.68000031,76.68000031,5330300,0,0,0,0,0,0,0.011342662,75.13285719,2.308827599,6.309997559,0.030970154,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.25,17.17,15.92,16.27,0
8/22/24,ON,Technology,Semiconductors,27.575B,76.97000122,77,73.11000061,73.37000275,73.37000275,7232300,0,0,0,0,0,0,-0.043166374,75.19857134,2.240552716,0.459999084,0.035734487,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,18.06,15.76,17.55,0
8/23/24,ON,Technology,Semiconductors,27.575B,74.66999817,76.44999695,74.33000183,76.36000061,76.36000061,5685500,0,0,0,0,0,0,0.04075232,75.95285688,1.32439516,5.279998779,0.037704516,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,17.12,17.21,15.61,15.86,0
8/26/24,ON,Technology,Semiconductors,27.575B,76.22000122,76.25,74.37999725,74.81999969,74.81999969,5173700,0,0,0,0,0,0,-0.020167639,75.80142866,1.392939252,-1.059997559,0.03490581,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.67,15.81,16.15,0
8/27/24,ON,Technology,Semiconductors,27.575B,74.33999634,76.68000031,73.08999634,76.05999756,76.05999756,3806000,0,0,0,0,0,0,0.01657308,75.8328574,1.396432038,0.220001221,0.031251881,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.21,16.81,15.37,15.43,0
8/28/24,ON,Technology,Semiconductors,27.575B,76,76.18000031,73.70999908,74.62999725,74.62999725,4758900,0,0.99630934,1,0,0,0,-0.018800951,75.39142827,1.170589423,-3.090003967,0.029065412,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.51,17.89,15.46,17.11,0
8/29/24,ON,Technology,Semiconductors,27.575B,75.93000031,78.61000061,75.48000336,76.30000305,76.30000305,4845200,0,0.882100423,3,0,0,0,0.022377139,75.46000017,1.213163737,0.480003357,0.027596122,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.54,16.57,15.19,15.65,0
8/30/24,ON,Technology,Semiconductors,27.575B,78.12000275,78.47000122,76.66000366,77.87000275,77.87000275,4811900,0,0,0,0,0,0,0.020576666,75.63000052,1.469013771,1.190002441,0.025090849,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.67,16.04,14.78,15,0
9/3/24,ON,Technology,Semiconductors,27.575B,76.41000366,76.41000366,69.91999817,70.76000214,70.76000214,10785900,0,0.984446853,2,0,0,0,-0.091306027,75.25714329,2.257732841,-2.61000061,0.051414636,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.76,21.99,15.71,20.72,0
9/4/24,ON,Technology,Semiconductors,27.575B,69.88999939,72.16000366,69.27999878,70.52999878,70.52999878,6158400,0,0.987357756,3,0,0,0,-0.003250471,74.42428589,2.794583639,-5.830001831,0.044960959,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,23.2,23.31,19.34,21.32,0
9/5/24,ON,Technology,Semiconductors,27.575B,69.66999817,71.90000153,69.41000366,70.25,70.25,4791500,0,0.767252266,2,0,0,0,-0.003969925,73.77142879,3.192248497,-4.569999695,0.039178526,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,20.75,21.53,19.21,19.9,0
9/6/24,ON,Technology,Semiconductors,27.575B,70.01000214,71.27999878,67.41000366,67.91999817,67.91999817,8467500,-2,0.937587738,6,-0.333333333,-16935000,-16935000,-0.033167286,72.60857173,3.666941059,-8.13999939,0.035487777,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.98,23.76,18.83,22.38,0
9/9/24,ON,Technology,Semiconductors,27.575B,68.80000305,70.23999786,68.58999634,69.38999939,69.38999939,6394600,0,0,0,0,0,0,0.021643128,71.86000061,3.719974823,-5.239997864,0.035533439,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.32,21.41,19.29,19.45,0
9/10/24,ON,Technology,Semiconductors,27.575B,68.31999969,68.34999847,66.95999908,68.23000336,68.23000336,4376700,0,0.999400288,2,0,0,0,-0.016717049,70.70714351,3.346365642,-8.069999695,0.031109621,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.86,20.74,18.9,19.08,0
9/11/24,ON,Technology,Semiconductors,27.575B,68.45999908,70.73000336,66.36000061,70.58000183,70.58000183,7463400,0,0,0,0,0,0,0.034442303,69.66571481,1.176617641,-7.290000916,0.033856499,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.41,21.41,17.55,17.69,0
