Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Event_Flag
2024-08-01,PD,Technology,Software Application,1.736B,20.899999618530273,21.104999542236328,19.8799991607666,20.010000228881836,20.010000228881836,1234800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.010000228881836,20.010000228881836,20.010000228881836,0.0187734797051983,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0
2024-08-02,PD,Technology,Software Application,1.736B,19.06999969482422,19.68000030517578,18.799999237060547,19.450000762939453,19.450000762939453,1256200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0279859799868515,19.730000495910645,0.3959794198287039,19.450000762939453,0.0197890762268537,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0
2024-08-05,PD,Technology,Software Application,1.736B,18.219999313354492,19.270000457763672,18.100000381469727,18.709999084472656,18.709999084472656,1095800,-10.0,0.9598261120263488,512.0,-0.01953125,-10958000.0,-10958000.0,-0.0380463572976724,19.390000025431316,0.6520742367571618,18.709999084472656,0.0222818689038555,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0
2024-08-06,PD,Technology,Software Application,1.736B,18.84000015258789,18.84000015258789,18.309999465942383,18.399999618530273,18.399999618530273,1001200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0165686521171265,19.142499923706055,0.7269748332950374,18.399999618530273,0.017621789009705,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0
2024-08-07,PD,Technology,Software Application,1.736B,18.86000061035156,19.459999084472656,18.719999313354492,18.760000228881836,18.760000228881836,871300,0.0,0.0,0.0,0.0,0.0,0.0,0.0195652509682127,19.06599998474121,0.6524036400047019,18.760000228881836,0.0225107819068963,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0
2024-08-08,PD,Technology,Software Application,1.736B,19.06999969482422,19.11000061035156,18.479999542236328,18.540000915527344,18.540000915527344,839500,0.0,0.0,0.0,0.0,0.0,0.0,-0.011727042146609,18.978333473205566,0.6217852612132934,18.540000915527344,0.0192016607699322,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,0
2024-08-09,PD,Technology,Software Application,1.736B,18.61000061035156,18.75,18.31999969482422,18.399999618530273,18.399999618530273,649300,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075513101447486,18.895714351109095,0.6082451763642218,18.399999618530273,0.0164167102384851,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0
2024-08-12,PD,Technology,Software Application,1.736B,18.579999923706055,18.604999542236328,18.045000076293945,18.079999923706055,18.079999923706055,681500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0173912881227428,18.62000002179827,0.4303877006801609,-1.9300003051757812,0.0148314126320257,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0
2024-08-13,PD,Technology,Software Application,1.736B,18.149999618530273,18.81999969482422,18.059999465942383,18.81999969482422,18.81999969482422,1014000,0.0,0.0,0.0,0.0,0.0,0.0,0.0409291910531424,18.52999986921038,0.2600640575048136,-0.6300010681152344,0.0272115986759752,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0
2024-08-14,PD,Technology,Software Application,1.736B,18.86000061035156,18.899999618530273,18.520000457763672,18.81999969482422,18.81999969482422,730900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.545714242117747,0.275611887378224,0.1100006103515625,0.0235457776544179,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0
